"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"hungarian"	"hu"	116413	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hungarian"	"hu"	116413	"4"	NA	NA	NA	"Kérjük, jelölje be, ha egyetért:
"	"Consent_Form_hu"	TRUE	"1"	"Elmúltam 18 éves és hozzájárulásomat adom a válaszaim felhasználásához"	"Consent_Yes_hu"	FALSE	FALSE	NA	NA	NA	NA
"hungarian"	"hu"	116413	"9"	NA	NA	NA	"Jelöljön meg egy választ.
"	"Q01_Think_Brain_Frequency_hu"	FALSE	"1"	"Gyakran"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"hungarian"	"hu"	116413	"9"	NA	NA	NA	"Jelöljön meg egy választ.
"	"Q01_Think_Brain_Frequency_hu"	FALSE	"2"	"Időnként"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"hungarian"	"hu"	116413	"9"	NA	NA	NA	"Jelöljön meg egy választ.
"	"Q01_Think_Brain_Frequency_hu"	FALSE	"3"	"Ritkán"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"hungarian"	"hu"	116413	"9"	NA	NA	NA	"Jelöljön meg egy választ.
"	"Q01_Think_Brain_Frequency_hu"	FALSE	"4"	"Soha"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"hungarian"	"hu"	116413	"12"	NA	NA	"Testi egészség"	NA	"Q02_PhyHealthInfl_hu"	FALSE	"1"	"Nagyon erősen"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"hungarian"	"hu"	116413	"12"	NA	NA	"Testi egészség"	NA	"Q02_PhyHealthInfl_hu"	FALSE	"2"	"Erősen"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"hungarian"	"hu"	116413	"12"	NA	NA	"Testi egészség"	NA	"Q02_PhyHealthInfl_hu"	FALSE	"3"	"Mérsékelten"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"hungarian"	"hu"	116413	"12"	NA	NA	"Testi egészség"	NA	"Q02_PhyHealthInfl_hu"	FALSE	"4"	"Gyengén"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"hungarian"	"hu"	116413	"12"	NA	NA	"Testi egészség"	NA	"Q02_PhyHealthInfl_hu"	FALSE	"5"	"Egyáltalán nem"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"hungarian"	"hu"	116413	"12"	NA	NA	"Étkezési szokások"	NA	"Q02_DietInfl_hu"	FALSE	"1"	"Nagyon erősen"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"hungarian"	"hu"	116413	"12"	NA	NA	"Étkezési szokások"	NA	"Q02_DietInfl_hu"	FALSE	"2"	"Erősen"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"hungarian"	"hu"	116413	"12"	NA	NA	"Étkezési szokások"	NA	"Q02_DietInfl_hu"	FALSE	"3"	"Mérsékelten"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
"hungarian"	"hu"	116413	"12"	NA	NA	"Étkezési szokások"	NA	"Q02_DietInfl_hu"	FALSE	"4"	"Gyengén"	"Weak"	FALSE	FALSE	2	NA	NA	NA
