"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"swedish"	"se"	119016	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"swedish"	"se"	119016	"4"	NA	NA	NA	"Vänligen fyll i rutan nedan. 






"	"Consent_Form_se"	TRUE	"1"	"Jag är över 18 år och godkänner att dessa data används inom forskning"	"Consent_Yes_se"	FALSE	FALSE	NA	NA	NA	NA
"swedish"	"se"	119016	"9"	NA	NA	NA	"Välj ett svar.
"	"Q01_Think_Brain_Frequency_se"	FALSE	"1"	"Ofta"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"swedish"	"se"	119016	"9"	NA	NA	NA	"Välj ett svar.
"	"Q01_Think_Brain_Frequency_se"	FALSE	"2"	"Ibland"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"swedish"	"se"	119016	"9"	NA	NA	NA	"Välj ett svar.
"	"Q01_Think_Brain_Frequency_se"	FALSE	"3"	"Sällan"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"swedish"	"se"	119016	"9"	NA	NA	NA	"Välj ett svar.
"	"Q01_Think_Brain_Frequency_se"	FALSE	"4"	"Aldrig"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Fysisk hälsa"	NA	"Q02_PhyHealthInfl_se"	FALSE	"1"	"Mycket stor inverkan"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Fysisk hälsa"	NA	"Q02_PhyHealthInfl_se"	FALSE	"2"	"Stor inverkan"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Fysisk hälsa"	NA	"Q02_PhyHealthInfl_se"	FALSE	"3"	"Måttlig inverkan"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Fysisk hälsa"	NA	"Q02_PhyHealthInfl_se"	FALSE	"4"	"Liten inverkan"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Fysisk hälsa"	NA	"Q02_PhyHealthInfl_se"	FALSE	"5"	"Ingen inverkan"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_se"	FALSE	"1"	"Mycket stor inverkan"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_se"	FALSE	"2"	"Stor inverkan"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_se"	FALSE	"3"	"Måttlig inverkan"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_se"	FALSE	"4"	"Liten inverkan"	"Weak"	FALSE	FALSE	2	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_se"	FALSE	"5"	"Ingen inverkan"	"NoInfluence"	FALSE	FALSE	2	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Miljö (t.ex. luftföroreningar, ljud)"	NA	"Q02_PhyEnvironmentInfl_se"	FALSE	"1"	"Mycket stor inverkan"	"VeryStrong"	FALSE	FALSE	3	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Miljö (t.ex. luftföroreningar, ljud)"	NA	"Q02_PhyEnvironmentInfl_se"	FALSE	"2"	"Stor inverkan"	"Strong"	FALSE	FALSE	3	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Miljö (t.ex. luftföroreningar, ljud)"	NA	"Q02_PhyEnvironmentInfl_se"	FALSE	"3"	"Måttlig inverkan"	"Moderate"	FALSE	FALSE	3	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Miljö (t.ex. luftföroreningar, ljud)"	NA	"Q02_PhyEnvironmentInfl_se"	FALSE	"4"	"Liten inverkan"	"Weak"	FALSE	FALSE	3	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Miljö (t.ex. luftföroreningar, ljud)"	NA	"Q02_PhyEnvironmentInfl_se"	FALSE	"5"	"Ingen inverkan"	"NoInfluence"	FALSE	FALSE	3	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Social miljö (t.ex. familj, socialt nätverk)"	NA	"Q02_SocEnvironmentInfl_se"	FALSE	"1"	"Mycket stor inverkan"	"VeryStrong"	FALSE	FALSE	4	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Social miljö (t.ex. familj, socialt nätverk)"	NA	"Q02_SocEnvironmentInfl_se"	FALSE	"2"	"Stor inverkan"	"Strong"	FALSE	FALSE	4	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Social miljö (t.ex. familj, socialt nätverk)"	NA	"Q02_SocEnvironmentInfl_se"	FALSE	"3"	"Måttlig inverkan"	"Moderate"	FALSE	FALSE	4	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Social miljö (t.ex. familj, socialt nätverk)"	NA	"Q02_SocEnvironmentInfl_se"	FALSE	"4"	"Liten inverkan"	"Weak"	FALSE	FALSE	4	NA	NA	NA
"swedish"	"se"	119016	"12"	NA	NA	"Social miljö (t.ex. familj, socialt nätverk)"	NA	"Q02_SocEnvironmentInfl_se"	FALSE	"5"	"Ingen inverkan"	"NoInfluence"	FALSE	FALSE	4	NA	NA	NA
