"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"catalan"	"cat"	119157	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"catalan"	"cat"	119157	"4"	NA	NA	NA	"Si us plau, marqui aquesta casella.






"	"Consent_Form_cat"	TRUE	"1"	"Tinc més de 18 anys i dono el meu consentiment per utilitzar aquestes dades amb finalitats d’investigació."	"Consent_Yes_cat"	FALSE	FALSE	NA	NA	NA	NA
"catalan"	"cat"	119157	"9"	NA	NA	NA	"Seleccioni una resposta.




"	"Q01_Think_Brain_Frequency_cat"	FALSE	"1"	"Freqüentment"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"catalan"	"cat"	119157	"9"	NA	NA	NA	"Seleccioni una resposta.




"	"Q01_Think_Brain_Frequency_cat"	FALSE	"2"	"A vegades"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"catalan"	"cat"	119157	"9"	NA	NA	NA	"Seleccioni una resposta.




"	"Q01_Think_Brain_Frequency_cat"	FALSE	"3"	"Rarament"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"catalan"	"cat"	119157	"9"	NA	NA	NA	"Seleccioni una resposta.




"	"Q01_Think_Brain_Frequency_cat"	FALSE	"4"	"Mai"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Salut física"	NA	"Q02_PhyHealthInfl_cat"	FALSE	"1"	"Influència molt forta"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Salut física"	NA	"Q02_PhyHealthInfl_cat"	FALSE	"2"	"Influència forta"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Salut física"	NA	"Q02_PhyHealthInfl_cat"	FALSE	"3"	"Influència moderada"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Salut física"	NA	"Q02_PhyHealthInfl_cat"	FALSE	"4"	"Poca influència"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Salut física"	NA	"Q02_PhyHealthInfl_cat"	FALSE	"5"	"Sense influència"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Dieta"	NA	"Q02_DietInfl_cat"	FALSE	"1"	"Influència molt forta"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Dieta"	NA	"Q02_DietInfl_cat"	FALSE	"2"	"Influència forta"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Dieta"	NA	"Q02_DietInfl_cat"	FALSE	"3"	"Influència moderada"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Dieta"	NA	"Q02_DietInfl_cat"	FALSE	"4"	"Poca influència"	"Weak"	FALSE	FALSE	2	NA	NA	NA
"catalan"	"cat"	119157	"12"	NA	NA	"Dieta"	NA	"Q02_DietInfl_cat"	FALSE	"5"	"Sense influència"	"NoInfluence"	FALSE	FALSE	2	NA	NA	NA
