"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"english"	"en"	114338	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"english"	"en"	114338	"4"	NA	NA	NA	"Please tick the box.
"	"Consent_Form_en"	TRUE	"1"	"I am above 18 years of age and I consent to the use of these data for research"	"Consent_Yes_en"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"9"	NA	NA	NA	"Select one answer.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"1"	"Frequently"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"9"	NA	NA	NA	"Select one answer.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"2"	"Occasionally"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"9"	NA	NA	NA	"Select one answer.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"3"	"Rarely"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"9"	NA	NA	NA	"Select one answer.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"4"	"Never"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical health"	NA	"Q02_PhyHealthInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical health"	NA	"Q02_PhyHealthInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical health"	NA	"Q02_PhyHealthInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical health"	NA	"Q02_PhyHealthInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical health"	NA	"Q02_PhyHealthInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Diet"	NA	"Q02_DietInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical environment (e.g. air pollution and noise)"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical environment (e.g. air pollution and noise)"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical environment (e.g. air pollution and noise)"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical environment (e.g. air pollution and noise)"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Physical environment (e.g. air pollution and noise)"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Social environment (e.g. family, social network)"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Social environment (e.g. family, social network)"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Social environment (e.g. family, social network)"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Social environment (e.g. family, social network)"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Social environment (e.g. family, social network)"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Education"	NA	"Q02_EducationInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Education"	NA	"Q02_EducationInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Education"	NA	"Q02_EducationInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Education"	NA	"Q02_EducationInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Education"	NA	"Q02_EducationInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Profession"	NA	"Q02_ProfessionInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Profession"	NA	"Q02_ProfessionInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Profession"	NA	"Q02_ProfessionInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Profession"	NA	"Q02_ProfessionInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Profession"	NA	"Q02_ProfessionInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Family income"	NA	"Q02_IncomeInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	7	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Family income"	NA	"Q02_IncomeInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	7	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Family income"	NA	"Q02_IncomeInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	7	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Family income"	NA	"Q02_IncomeInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	7	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Family income"	NA	"Q02_IncomeInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	7	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Genetics and family medical history"	NA	"Q02_GeneticsInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	8	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Genetics and family medical history"	NA	"Q02_GeneticsInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	8	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Genetics and family medical history"	NA	"Q02_GeneticsInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	8	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Genetics and family medical history"	NA	"Q02_GeneticsInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	8	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Genetics and family medical history"	NA	"Q02_GeneticsInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	8	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Substance use (e.g. alcohol, smoking and drugs)"	NA	"Q02_SubstanceInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	9	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Substance use (e.g. alcohol, smoking and drugs)"	NA	"Q02_SubstanceInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	9	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Substance use (e.g. alcohol, smoking and drugs)"	NA	"Q02_SubstanceInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	9	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Substance use (e.g. alcohol, smoking and drugs)"	NA	"Q02_SubstanceInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	9	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Substance use (e.g. alcohol, smoking and drugs)"	NA	"Q02_SubstanceInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	9	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Sleeping habits"	NA	"Q02_SleepHabitsInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	10	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Sleeping habits"	NA	"Q02_SleepHabitsInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	10	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Sleeping habits"	NA	"Q02_SleepHabitsInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	10	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Sleeping habits"	NA	"Q02_SleepHabitsInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	10	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Sleeping habits"	NA	"Q02_SleepHabitsInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	10	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Having goals that make life meaningful"	NA	"Q02_LifeGoalsInfl_en"	FALSE	"1"	"Very strong influence"	"VeryStrong"	FALSE	FALSE	11	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Having goals that make life meaningful"	NA	"Q02_LifeGoalsInfl_en"	FALSE	"2"	"Strong influence"	"Strong"	FALSE	FALSE	11	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Having goals that make life meaningful"	NA	"Q02_LifeGoalsInfl_en"	FALSE	"3"	"Moderate influence"	"Moderate"	FALSE	FALSE	11	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Having goals that make life meaningful"	NA	"Q02_LifeGoalsInfl_en"	FALSE	"4"	"Weak influence"	"Weak"	FALSE	FALSE	11	NA	NA	NA
"english"	"en"	114338	"12"	NA	NA	"Having goals that make life meaningful"	NA	"Q02_LifeGoalsInfl_en"	FALSE	"5"	"No influence"	"NoInfluence"	FALSE	FALSE	11	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"In the womb (before birth)"	NA	"Q03_Womb_en"	FALSE	"1"	"Very important"	"VeryImportant"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"In the womb (before birth)"	NA	"Q03_Womb_en"	FALSE	"2"	"Important"	"Important"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"In the womb (before birth)"	NA	"Q03_Womb_en"	FALSE	"3"	"Moderately important"	"ModImportant"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"In the womb (before birth)"	NA	"Q03_Womb_en"	FALSE	"4"	"Not important"	"NotImportant"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Childhood (from birth to 12 years)"	NA	"Q03_Child_en"	FALSE	"1"	"Very important"	"VeryImportant"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Childhood (from birth to 12 years)"	NA	"Q03_Child_en"	FALSE	"2"	"Important"	"Important"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Childhood (from birth to 12 years)"	NA	"Q03_Child_en"	FALSE	"3"	"Moderately important"	"ModImportant"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Childhood (from birth to 12 years)"	NA	"Q03_Child_en"	FALSE	"4"	"Not important"	"NotImportant"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Adolescence (13 to 18 years)"	NA	"Q03_Adolescence_en"	FALSE	"1"	"Very important"	"VeryImportant"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Adolescence (13 to 18 years)"	NA	"Q03_Adolescence_en"	FALSE	"2"	"Important"	"Important"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Adolescence (13 to 18 years)"	NA	"Q03_Adolescence_en"	FALSE	"3"	"Moderately important"	"ModImportant"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Adolescence (13 to 18 years)"	NA	"Q03_Adolescence_en"	FALSE	"4"	"Not important"	"NotImportant"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Young adulthood (19-45)"	NA	"Q03_YoungAdult_en"	FALSE	"1"	"Very important"	"VeryImportant"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Young adulthood (19-45)"	NA	"Q03_YoungAdult_en"	FALSE	"2"	"Important"	"Important"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Young adulthood (19-45)"	NA	"Q03_YoungAdult_en"	FALSE	"3"	"Moderately important"	"ModImportant"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Young adulthood (19-45)"	NA	"Q03_YoungAdult_en"	FALSE	"4"	"Not important"	"NotImportant"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Middle age (46-65)"	NA	"Q03_MiddleAge_en"	FALSE	"1"	"Very important"	"VeryImportant"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Middle age (46-65)"	NA	"Q03_MiddleAge_en"	FALSE	"2"	"Important"	"Important"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Middle age (46-65)"	NA	"Q03_MiddleAge_en"	FALSE	"3"	"Moderately important"	"ModImportant"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Middle age (46-65)"	NA	"Q03_MiddleAge_en"	FALSE	"4"	"Not important"	"NotImportant"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Old age (over 65 years)"	NA	"Q03_OlderAge_en"	FALSE	"1"	"Very important"	"VeryImportant"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Old age (over 65 years)"	NA	"Q03_OlderAge_en"	FALSE	"2"	"Important"	"Important"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Old age (over 65 years)"	NA	"Q03_OlderAge_en"	FALSE	"3"	"Moderately important"	"ModImportant"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"15"	NA	NA	"Old age (over 65 years)"	NA	"Q03_OlderAge_en"	FALSE	"4"	"Not important"	"NotImportant"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"1"	"Diabetes"	"Diabetes"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"2"	"Alzheimer’s disease and other forms of dementia"	"Alzheimer"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"3"	"Arthritis"	"Arthritis"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"4"	"Bipolar disorder"	"Bipolar"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"5"	"Cancer"	"Cancer"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"6"	"Schizophrenia"	"Schizophrenia"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"7"	"Parkinson’s disease"	"Parkinson"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"8"	"Hypertension (high blood pressure)"	"Hypertension"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"9"	"Addiction (e.g. drug, alcohol)"	"Addiction"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"10"	"Stroke"	"Stroke"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"11"	"Depression"	"Depression"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"12"	"Migraine"	"Migraine"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"18"	NA	NA	NA	NA	NA	FALSE	"13"	"Anxiety"	"Anxiety"	FALSE	FALSE	NA	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Have a healthy diet"	NA	"Q05_HealthyDietGen_en"	FALSE	"1"	"Frequently"	"Frequently"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Have a healthy diet"	NA	"Q05_HealthyDietGen_en"	FALSE	"2"	"Occasionally"	"Occasionally"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Have a healthy diet"	NA	"Q05_HealthyDietGen_en"	FALSE	"3"	"Rarely"	"Rarely"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Have a healthy diet"	NA	"Q05_HealthyDietGen_en"	FALSE	"4"	"Never"	"Never"	FALSE	FALSE	1	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Excercise"	NA	"Q05_ExcerciseGen_en"	FALSE	"1"	"Frequently"	"Frequently"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Excercise"	NA	"Q05_ExcerciseGen_en"	FALSE	"2"	"Occasionally"	"Occasionally"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Excercise"	NA	"Q05_ExcerciseGen_en"	FALSE	"3"	"Rarely"	"Rarely"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Excercise"	NA	"Q05_ExcerciseGen_en"	FALSE	"4"	"Never"	"Never"	FALSE	FALSE	2	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Sleep enough"	NA	"Q05_SleepGen_en"	FALSE	"1"	"Frequently"	"Frequently"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Sleep enough"	NA	"Q05_SleepGen_en"	FALSE	"2"	"Occasionally"	"Occasionally"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Sleep enough"	NA	"Q05_SleepGen_en"	FALSE	"3"	"Rarely"	"Rarely"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Sleep enough"	NA	"Q05_SleepGen_en"	FALSE	"4"	"Never"	"Never"	FALSE	FALSE	3	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Practice relaxing activities"	NA	"Q05_RelaxGen_en"	FALSE	"1"	"Frequently"	"Frequently"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Practice relaxing activities"	NA	"Q05_RelaxGen_en"	FALSE	"2"	"Occasionally"	"Occasionally"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Practice relaxing activities"	NA	"Q05_RelaxGen_en"	FALSE	"3"	"Rarely"	"Rarely"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Practice relaxing activities"	NA	"Q05_RelaxGen_en"	FALSE	"4"	"Never"	"Never"	FALSE	FALSE	4	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Drink alcohol"	NA	"Q05_AlcoholGen_en"	FALSE	"1"	"Frequently"	"Frequently"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Drink alcohol"	NA	"Q05_AlcoholGen_en"	FALSE	"2"	"Occasionally"	"Occasionally"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Drink alcohol"	NA	"Q05_AlcoholGen_en"	FALSE	"3"	"Rarely"	"Rarely"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Drink alcohol"	NA	"Q05_AlcoholGen_en"	FALSE	"4"	"Never"	"Never"	FALSE	FALSE	5	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Smoke"	NA	"Q05_SmokeGen_en"	FALSE	"1"	"Frequently"	"Frequently"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Smoke"	NA	"Q05_SmokeGen_en"	FALSE	"2"	"Occasionally"	"Occasionally"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Smoke"	NA	"Q05_SmokeGen_en"	FALSE	"3"	"Rarely"	"Rarely"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Smoke"	NA	"Q05_SmokeGen_en"	FALSE	"4"	"Never"	"Never"	FALSE	FALSE	6	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Stimulate my intellect (e.g. crosswords, learn new things)"	NA	"Q05_IntellectGen_en"	FALSE	"1"	"Frequently"	"Frequently"	FALSE	FALSE	7	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Stimulate my intellect (e.g. crosswords, learn new things)"	NA	"Q05_IntellectGen_en"	FALSE	"2"	"Occasionally"	"Occasionally"	FALSE	FALSE	7	NA	NA	NA
"english"	"en"	114338	"21"	NA	NA	"Stimulate my intellect (e.g. crosswords, learn new things)"	NA	"Q05_IntellectGen_en"	FALSE	"3"	"Rarely"	"Rarely"	FALSE	FALSE	7	NA	NA	NA
