"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"norwegian"	"no"	117805	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"norwegian"	"no"	117805	"4"	NA	NA	NA	"Vennligst merk av boksen.






"	"Consent_Form_no"	TRUE	"1"	"Jeg er over 18 år og samtykker til at mine svar brukes til forskning"	"Consent_Yes_no"	FALSE	FALSE	NA	NA	NA	NA
"norwegian"	"no"	117805	"9"	NA	NA	NA	"Velg ett svar. 




"	"Q01_Think_Brain_Frequency_no"	FALSE	"1"	"Ofte"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"norwegian"	"no"	117805	"9"	NA	NA	NA	"Velg ett svar. 




"	"Q01_Think_Brain_Frequency_no"	FALSE	"2"	"Av og til"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"norwegian"	"no"	117805	"9"	NA	NA	NA	"Velg ett svar. 




"	"Q01_Think_Brain_Frequency_no"	FALSE	"3"	"Sjelden"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"norwegian"	"no"	117805	"9"	NA	NA	NA	"Velg ett svar. 




"	"Q01_Think_Brain_Frequency_no"	FALSE	"4"	"Aldri"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk helse"	NA	"Q02_PhyHealthInfl_no"	FALSE	"1"	"Veldig stor påvirkning"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk helse"	NA	"Q02_PhyHealthInfl_no"	FALSE	"2"	"Stor påvirkning"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk helse"	NA	"Q02_PhyHealthInfl_no"	FALSE	"3"	"Moderat påvirkning"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk helse"	NA	"Q02_PhyHealthInfl_no"	FALSE	"4"	"Svak påvirkning"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk helse"	NA	"Q02_PhyHealthInfl_no"	FALSE	"5"	"Ingen påvirkning"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Kosthold"	NA	"Q02_DietInfl_no"	FALSE	"1"	"Veldig stor påvirkning"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Kosthold"	NA	"Q02_DietInfl_no"	FALSE	"2"	"Stor påvirkning"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Kosthold"	NA	"Q02_DietInfl_no"	FALSE	"3"	"Moderat påvirkning"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Kosthold"	NA	"Q02_DietInfl_no"	FALSE	"4"	"Svak påvirkning"	"Weak"	FALSE	FALSE	2	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Kosthold"	NA	"Q02_DietInfl_no"	FALSE	"5"	"Ingen påvirkning"	"NoInfluence"	FALSE	FALSE	2	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk miljø (f. eks. luftforurensning, støy)"	NA	"Q02_PhyEnvironmentInfl_no"	FALSE	"1"	"Veldig stor påvirkning"	"VeryStrong"	FALSE	FALSE	3	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk miljø (f. eks. luftforurensning, støy)"	NA	"Q02_PhyEnvironmentInfl_no"	FALSE	"2"	"Stor påvirkning"	"Strong"	FALSE	FALSE	3	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk miljø (f. eks. luftforurensning, støy)"	NA	"Q02_PhyEnvironmentInfl_no"	FALSE	"3"	"Moderat påvirkning"	"Moderate"	FALSE	FALSE	3	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk miljø (f. eks. luftforurensning, støy)"	NA	"Q02_PhyEnvironmentInfl_no"	FALSE	"4"	"Svak påvirkning"	"Weak"	FALSE	FALSE	3	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Fysisk miljø (f. eks. luftforurensning, støy)"	NA	"Q02_PhyEnvironmentInfl_no"	FALSE	"5"	"Ingen påvirkning"	"NoInfluence"	FALSE	FALSE	3	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Sosialt miljø (f. eks. familie, sosialt nettverk)"	NA	"Q02_SocEnvironmentInfl_no"	FALSE	"1"	"Veldig stor påvirkning"	"VeryStrong"	FALSE	FALSE	4	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Sosialt miljø (f. eks. familie, sosialt nettverk)"	NA	"Q02_SocEnvironmentInfl_no"	FALSE	"2"	"Stor påvirkning"	"Strong"	FALSE	FALSE	4	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Sosialt miljø (f. eks. familie, sosialt nettverk)"	NA	"Q02_SocEnvironmentInfl_no"	FALSE	"3"	"Moderat påvirkning"	"Moderate"	FALSE	FALSE	4	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Sosialt miljø (f. eks. familie, sosialt nettverk)"	NA	"Q02_SocEnvironmentInfl_no"	FALSE	"4"	"Svak påvirkning"	"Weak"	FALSE	FALSE	4	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Sosialt miljø (f. eks. familie, sosialt nettverk)"	NA	"Q02_SocEnvironmentInfl_no"	FALSE	"5"	"Ingen påvirkning"	"NoInfluence"	FALSE	FALSE	4	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Utdanning"	NA	"Q02_EducationInfl_no"	FALSE	"1"	"Veldig stor påvirkning"	"VeryStrong"	FALSE	FALSE	5	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Utdanning"	NA	"Q02_EducationInfl_no"	FALSE	"2"	"Stor påvirkning"	"Strong"	FALSE	FALSE	5	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Utdanning"	NA	"Q02_EducationInfl_no"	FALSE	"3"	"Moderat påvirkning"	"Moderate"	FALSE	FALSE	5	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Utdanning"	NA	"Q02_EducationInfl_no"	FALSE	"4"	"Svak påvirkning"	"Weak"	FALSE	FALSE	5	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Utdanning"	NA	"Q02_EducationInfl_no"	FALSE	"5"	"Ingen påvirkning"	"NoInfluence"	FALSE	FALSE	5	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Yrke"	NA	"Q02_ProfessionInfl_no"	FALSE	"1"	"Veldig stor påvirkning"	"VeryStrong"	FALSE	FALSE	6	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Yrke"	NA	"Q02_ProfessionInfl_no"	FALSE	"2"	"Stor påvirkning"	"Strong"	FALSE	FALSE	6	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Yrke"	NA	"Q02_ProfessionInfl_no"	FALSE	"3"	"Moderat påvirkning"	"Moderate"	FALSE	FALSE	6	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Yrke"	NA	"Q02_ProfessionInfl_no"	FALSE	"4"	"Svak påvirkning"	"Weak"	FALSE	FALSE	6	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Yrke"	NA	"Q02_ProfessionInfl_no"	FALSE	"5"	"Ingen påvirkning"	"NoInfluence"	FALSE	FALSE	6	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Inntekt"	NA	"Q02_IncomeInfl_no"	FALSE	"1"	"Veldig stor påvirkning"	"VeryStrong"	FALSE	FALSE	7	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Inntekt"	NA	"Q02_IncomeInfl_no"	FALSE	"2"	"Stor påvirkning"	"Strong"	FALSE	FALSE	7	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Inntekt"	NA	"Q02_IncomeInfl_no"	FALSE	"3"	"Moderat påvirkning"	"Moderate"	FALSE	FALSE	7	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Inntekt"	NA	"Q02_IncomeInfl_no"	FALSE	"4"	"Svak påvirkning"	"Weak"	FALSE	FALSE	7	NA	NA	NA
"norwegian"	"no"	117805	"12"	NA	NA	"Inntekt"	NA	"Q02_IncomeInfl_no"	FALSE	"5"	"Ingen påvirkning"	"NoInfluence"	FALSE	FALSE	7	NA	NA	NA
