"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"french"	"fr"	118017	"1"	"https://www.lifebrain.uio.no/gbhs_nettskjema/lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"french"	"fr"	118017	"4"	NA	NA	NA	"Veuillez cocher la case. 




"	"Consent_Form_fr"	TRUE	"1"	"J&#39;ai plus de 18 ans et je consens à l’utilisation de mes  données à des fins de recherche."	"Consent_Yes"	FALSE	FALSE	NA	NA	NA	NA
"french"	"fr"	118017	"9"	NA	NA	NA	NA	"Q01_Think_Brain_Frequency_fr"	FALSE	"1"	"Fréquemment"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"french"	"fr"	118017	"9"	NA	NA	NA	NA	"Q01_Think_Brain_Frequency_fr"	FALSE	"2"	"Occasionnellement"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"french"	"fr"	118017	"9"	NA	NA	NA	NA	"Q01_Think_Brain_Frequency_fr"	FALSE	"3"	"Rarement"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"french"	"fr"	118017	"9"	NA	NA	NA	NA	"Q01_Think_Brain_Frequency_fr"	FALSE	"4"	"Jamais"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"french"	"fr"	118017	"12"	NA	NA	"Forme physique"	NA	"Q02_PhyHealthInfl_fr"	FALSE	"1"	"Très forte influence"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"french"	"fr"	118017	"12"	NA	NA	"Forme physique"	NA	"Q02_PhyHealthInfl_fr"	FALSE	"2"	"Forte influence"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"french"	"fr"	118017	"12"	NA	NA	"Forme physique"	NA	"Q02_PhyHealthInfl_fr"	FALSE	"3"	"Influence modérée"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"french"	"fr"	118017	"12"	NA	NA	"Forme physique"	NA	"Q02_PhyHealthInfl_fr"	FALSE	"4"	"Faible influence"	"Weak"	FALSE	FALSE	1	NA	NA	NA
