"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"german"	"ge"	119162	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"german"	"ge"	119162	"4"	NA	NA	NA	"Bitte kreuzen Sie das Kästchen an.
 




"	"Consent_Form_ge"	TRUE	"1"	"Ich bin über 18 Jahre alt und stimme der wissenschaftlichen Nutzung meiner Daten zu"	"Consent_Yes_ge"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"9"	NA	NA	NA	"Bitte eine Antwort ankreuzen.
 

 






"	"Q01_Think_Brain_Frequency_ge"	FALSE	"1"	"Oft"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"9"	NA	NA	NA	"Bitte eine Antwort ankreuzen.
 

 






"	"Q01_Think_Brain_Frequency_ge"	FALSE	"2"	"Gelegentlich"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"9"	NA	NA	NA	"Bitte eine Antwort ankreuzen.
 

 






"	"Q01_Think_Brain_Frequency_ge"	FALSE	"3"	"Selten"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"9"	NA	NA	NA	"Bitte eine Antwort ankreuzen.
 

 






"	"Q01_Think_Brain_Frequency_ge"	FALSE	"4"	"Nie"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Körperliche Gesundheit"	NA	"Q02_PhyHealthInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Körperliche Gesundheit"	NA	"Q02_PhyHealthInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Körperliche Gesundheit"	NA	"Q02_PhyHealthInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Körperliche Gesundheit"	NA	"Q02_PhyHealthInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Körperliche Gesundheit"	NA	"Q02_PhyHealthInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ernährung"	NA	"Q02_DietInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ernährung"	NA	"Q02_DietInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ernährung"	NA	"Q02_DietInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ernährung"	NA	"Q02_DietInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	2	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ernährung"	NA	"Q02_DietInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	2	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Physische Umwelt (z.B. Luftverschmutzung, Lärm)"	NA	"Q02_PhyEnvironmentInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	3	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Physische Umwelt (z.B. Luftverschmutzung, Lärm)"	NA	"Q02_PhyEnvironmentInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	3	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Physische Umwelt (z.B. Luftverschmutzung, Lärm)"	NA	"Q02_PhyEnvironmentInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	3	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Physische Umwelt (z.B. Luftverschmutzung, Lärm)"	NA	"Q02_PhyEnvironmentInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	3	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Physische Umwelt (z.B. Luftverschmutzung, Lärm)"	NA	"Q02_PhyEnvironmentInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	3	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Soziales Umfeld (z.B. Familie, soziales Netzwerk)"	NA	"Q02_SocEnvironmentInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	4	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Soziales Umfeld (z.B. Familie, soziales Netzwerk)"	NA	"Q02_SocEnvironmentInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	4	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Soziales Umfeld (z.B. Familie, soziales Netzwerk)"	NA	"Q02_SocEnvironmentInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	4	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Soziales Umfeld (z.B. Familie, soziales Netzwerk)"	NA	"Q02_SocEnvironmentInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	4	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Soziales Umfeld (z.B. Familie, soziales Netzwerk)"	NA	"Q02_SocEnvironmentInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	4	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Bildung"	NA	"Q02_EducationInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	5	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Bildung"	NA	"Q02_EducationInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	5	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Bildung"	NA	"Q02_EducationInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	5	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Bildung"	NA	"Q02_EducationInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	5	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Bildung"	NA	"Q02_EducationInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	5	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Beruf"	NA	"Q02_ProfessionInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	6	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Beruf"	NA	"Q02_ProfessionInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	6	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Beruf"	NA	"Q02_ProfessionInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	6	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Beruf"	NA	"Q02_ProfessionInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	6	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Beruf"	NA	"Q02_ProfessionInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	6	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Familieneinkommen"	NA	"Q02_IncomeInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	7	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Familieneinkommen"	NA	"Q02_IncomeInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	7	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Familieneinkommen"	NA	"Q02_IncomeInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	7	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Familieneinkommen"	NA	"Q02_IncomeInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	7	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Familieneinkommen"	NA	"Q02_IncomeInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	7	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Genetische Faktoren und familiäre Krankheitsgeschichte"	NA	"Q02_GeneticsInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	8	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Genetische Faktoren und familiäre Krankheitsgeschichte"	NA	"Q02_GeneticsInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	8	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Genetische Faktoren und familiäre Krankheitsgeschichte"	NA	"Q02_GeneticsInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	8	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Genetische Faktoren und familiäre Krankheitsgeschichte"	NA	"Q02_GeneticsInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	8	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Genetische Faktoren und familiäre Krankheitsgeschichte"	NA	"Q02_GeneticsInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	8	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Substanzgebrauch (z.B. Alkohol, Rauchen, Drogen)"	NA	"Q02_SubstanceInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	9	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Substanzgebrauch (z.B. Alkohol, Rauchen, Drogen)"	NA	"Q02_SubstanceInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	9	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Substanzgebrauch (z.B. Alkohol, Rauchen, Drogen)"	NA	"Q02_SubstanceInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	9	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Substanzgebrauch (z.B. Alkohol, Rauchen, Drogen)"	NA	"Q02_SubstanceInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	9	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Substanzgebrauch (z.B. Alkohol, Rauchen, Drogen)"	NA	"Q02_SubstanceInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	9	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Schlafgewohnheiten"	NA	"Q02_SleepHabitsInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	10	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Schlafgewohnheiten"	NA	"Q02_SleepHabitsInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	10	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Schlafgewohnheiten"	NA	"Q02_SleepHabitsInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	10	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Schlafgewohnheiten"	NA	"Q02_SleepHabitsInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	10	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Schlafgewohnheiten"	NA	"Q02_SleepHabitsInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	10	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ziele zu haben, die dem Leben Sinn verleihen"	NA	"Q02_LifeGoalsInfl_ge"	FALSE	"1"	"Sehr starker Einfluss"	"VeryStrong"	FALSE	FALSE	11	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ziele zu haben, die dem Leben Sinn verleihen"	NA	"Q02_LifeGoalsInfl_ge"	FALSE	"2"	"Starker Einfluss"	"Strong"	FALSE	FALSE	11	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ziele zu haben, die dem Leben Sinn verleihen"	NA	"Q02_LifeGoalsInfl_ge"	FALSE	"3"	"Moderater Einfluss"	"Moderate"	FALSE	FALSE	11	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ziele zu haben, die dem Leben Sinn verleihen"	NA	"Q02_LifeGoalsInfl_ge"	FALSE	"4"	"Schwacher Einfluss"	"Weak"	FALSE	FALSE	11	NA	NA	NA
"german"	"ge"	119162	"12"	NA	NA	"Ziele zu haben, die dem Leben Sinn verleihen"	NA	"Q02_LifeGoalsInfl_ge"	FALSE	"5"	"Kein Einfluss"	"NoInfluence"	FALSE	FALSE	11	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im Mutterleib (vor der Geburt)"	NA	"Q03_Womb_ge"	FALSE	"1"	"Sehr wichtig"	"VeryImportant"	FALSE	FALSE	1	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im Mutterleib (vor der Geburt)"	NA	"Q03_Womb_ge"	FALSE	"2"	"Important Wichtig"	"Important"	FALSE	FALSE	1	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im Mutterleib (vor der Geburt)"	NA	"Q03_Womb_ge"	FALSE	"3"	"Mäßig wichtig"	"ModImportant"	FALSE	FALSE	1	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im Mutterleib (vor der Geburt)"	NA	"Q03_Womb_ge"	FALSE	"4"	"Unwichtig"	"NotImportant"	FALSE	FALSE	1	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"In der Kindheit (von der Geburt bis 12 Jahre)"	NA	"Q03_Child_ge"	FALSE	"1"	"Sehr wichtig"	"VeryImportant"	FALSE	FALSE	2	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"In der Kindheit (von der Geburt bis 12 Jahre)"	NA	"Q03_Child_ge"	FALSE	"2"	"Important Wichtig"	"Important"	FALSE	FALSE	2	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"In der Kindheit (von der Geburt bis 12 Jahre)"	NA	"Q03_Child_ge"	FALSE	"3"	"Mäßig wichtig"	"ModImportant"	FALSE	FALSE	2	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"In der Kindheit (von der Geburt bis 12 Jahre)"	NA	"Q03_Child_ge"	FALSE	"4"	"Unwichtig"	"NotImportant"	FALSE	FALSE	2	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"In der Jugend (12 bis 18 Jahre)"	NA	"Q03_Adolescence_ge"	FALSE	"1"	"Sehr wichtig"	"VeryImportant"	FALSE	FALSE	3	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"In der Jugend (12 bis 18 Jahre)"	NA	"Q03_Adolescence_ge"	FALSE	"2"	"Important Wichtig"	"Important"	FALSE	FALSE	3	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"In der Jugend (12 bis 18 Jahre)"	NA	"Q03_Adolescence_ge"	FALSE	"3"	"Mäßig wichtig"	"ModImportant"	FALSE	FALSE	3	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"In der Jugend (12 bis 18 Jahre)"	NA	"Q03_Adolescence_ge"	FALSE	"4"	"Unwichtig"	"NotImportant"	FALSE	FALSE	3	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im jungen Erwachsenenalter (19 bis 45 Jahre)"	NA	"Q03_YoungAdult_ge"	FALSE	"1"	"Sehr wichtig"	"VeryImportant"	FALSE	FALSE	4	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im jungen Erwachsenenalter (19 bis 45 Jahre)"	NA	"Q03_YoungAdult_ge"	FALSE	"2"	"Important Wichtig"	"Important"	FALSE	FALSE	4	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im jungen Erwachsenenalter (19 bis 45 Jahre)"	NA	"Q03_YoungAdult_ge"	FALSE	"3"	"Mäßig wichtig"	"ModImportant"	FALSE	FALSE	4	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im jungen Erwachsenenalter (19 bis 45 Jahre)"	NA	"Q03_YoungAdult_ge"	FALSE	"4"	"Unwichtig"	"NotImportant"	FALSE	FALSE	4	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im mittleren Erwachsenenalter (45 bis 65 Jahre)"	NA	"Q03_MiddleAge_ge"	FALSE	"1"	"Sehr wichtig"	"VeryImportant"	FALSE	FALSE	5	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im mittleren Erwachsenenalter (45 bis 65 Jahre)"	NA	"Q03_MiddleAge_ge"	FALSE	"2"	"Important Wichtig"	"Important"	FALSE	FALSE	5	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im mittleren Erwachsenenalter (45 bis 65 Jahre)"	NA	"Q03_MiddleAge_ge"	FALSE	"3"	"Mäßig wichtig"	"ModImportant"	FALSE	FALSE	5	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im mittleren Erwachsenenalter (45 bis 65 Jahre)"	NA	"Q03_MiddleAge_ge"	FALSE	"4"	"Unwichtig"	"NotImportant"	FALSE	FALSE	5	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im höheren Lebensalter (über 65 Jahre)"	NA	"Q03_OlderAge_ge"	FALSE	"1"	"Sehr wichtig"	"VeryImportant"	FALSE	FALSE	6	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im höheren Lebensalter (über 65 Jahre)"	NA	"Q03_OlderAge_ge"	FALSE	"2"	"Important Wichtig"	"Important"	FALSE	FALSE	6	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im höheren Lebensalter (über 65 Jahre)"	NA	"Q03_OlderAge_ge"	FALSE	"3"	"Mäßig wichtig"	"ModImportant"	FALSE	FALSE	6	NA	NA	NA
"german"	"ge"	119162	"15"	NA	NA	"Im höheren Lebensalter (über 65 Jahre)"	NA	"Q03_OlderAge_ge"	FALSE	"4"	"Unwichtig"	"NotImportant"	FALSE	FALSE	6	NA	NA	NA
"german"	"ge"	119162	"18"	NA	NA	NA	NA	NA	FALSE	"1"	"Diabetes (Zuckerkrankheit)"	"Diabetes"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"18"	NA	NA	NA	NA	NA	FALSE	"2"	"Alzheimer-Erkrankung oder andere Formen der Demenz"	"Alzheimer"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"18"	NA	NA	NA	NA	NA	FALSE	"3"	"Arthrose"	"Arthritis"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"18"	NA	NA	NA	NA	NA	FALSE	"4"	"Bipolare Störung"	"Bipolar"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"18"	NA	NA	NA	NA	NA	FALSE	"5"	"Krebs"	"Cancer"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"18"	NA	NA	NA	NA	NA	FALSE	"6"	"Schizophrenie"	"Schizophrenia"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"18"	NA	NA	NA	NA	NA	FALSE	"7"	"Parkinson-Krankheit"	"Parkinson"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"18"	NA	NA	NA	NA	NA	FALSE	"8"	"Bluthochdruck"	"Hypertension"	FALSE	FALSE	NA	NA	NA	NA
"german"	"ge"	119162	"18"	NA	NA	NA	NA	NA	FALSE	"9"	"Suchterkrankungen (z.B. Drogen, Alkohol)"	"Addiction"	FALSE	FALSE	NA	NA	NA	NA
