"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"danish"	"dk"	119773	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"danish"	"dk"	119773	"4"	NA	NA	NA	"Venligst sæt kryds i nedenstående boks.




"	"Consent_Form"	TRUE	"1"	"Jeg er over 18 år og giver mit samtykke til at disse data benyttes til forskning"	"Consent_Yes"	FALSE	FALSE	NA	NA	NA	NA
"danish"	"dk"	119773	"9"	NA	NA	NA	"Sæt kun et enkelt kryds.




"	"Q01_Think_Brain_Frequency"	FALSE	"1"	"Ofte"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"danish"	"dk"	119773	"9"	NA	NA	NA	"Sæt kun et enkelt kryds.




"	"Q01_Think_Brain_Frequency"	FALSE	"2"	"Sommetider"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"danish"	"dk"	119773	"9"	NA	NA	NA	"Sæt kun et enkelt kryds.




"	"Q01_Think_Brain_Frequency"	FALSE	"3"	"Sjældent"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"danish"	"dk"	119773	"9"	NA	NA	NA	"Sæt kun et enkelt kryds.




"	"Q01_Think_Brain_Frequency"	FALSE	"4"	"Aldrig"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"danish"	"dk"	119773	"12"	NA	NA	"Fysisk sundhed"	NA	"Q02_PhyHealthInfl"	FALSE	"1"	"I meget høj grad"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"danish"	"dk"	119773	"12"	NA	NA	"Fysisk sundhed"	NA	"Q02_PhyHealthInfl"	FALSE	"2"	"I høj grad"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"danish"	"dk"	119773	"12"	NA	NA	"Fysisk sundhed"	NA	"Q02_PhyHealthInfl"	FALSE	"3"	"I nogen grad"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"danish"	"dk"	119773	"12"	NA	NA	"Fysisk sundhed"	NA	"Q02_PhyHealthInfl"	FALSE	"4"	"I lille grad"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"danish"	"dk"	119773	"12"	NA	NA	"Fysisk sundhed"	NA	"Q02_PhyHealthInfl"	FALSE	"5"	"Slet ikke"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"danish"	"dk"	119773	"12"	NA	NA	"Kost"	NA	"Q02_DietInfl"	FALSE	"1"	"I meget høj grad"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"danish"	"dk"	119773	"12"	NA	NA	"Kost"	NA	"Q02_DietInfl"	FALSE	"2"	"I høj grad"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"danish"	"dk"	119773	"12"	NA	NA	"Kost"	NA	"Q02_DietInfl"	FALSE	"3"	"I nogen grad"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
