"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"ukranian"	"ukr"	121893	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ukranian"	"ukr"	121893	"4"	NA	NA	NA	"Будь ласка, зробіть позначку в клітинці: 


"	"Consent_Form_ukr"	TRUE	"1"	"Я старше за 18 років і дозволяю використовувати  ці дані для дослідження"	"Consent_Yes_ukr"	FALSE	FALSE	NA	NA	NA	NA
"ukranian"	"ukr"	121893	"9"	NA	NA	NA	"Виберіть одну відповідь.




"	"Q01_Think_Brain_Frequency_ukr"	FALSE	"1"	"Часто"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"ukranian"	"ukr"	121893	"9"	NA	NA	NA	"Виберіть одну відповідь.




"	"Q01_Think_Brain_Frequency_ukr"	FALSE	"2"	"Іноді"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"ukranian"	"ukr"	121893	"9"	NA	NA	NA	"Виберіть одну відповідь.




"	"Q01_Think_Brain_Frequency_ukr"	FALSE	"3"	"Рідко"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"ukranian"	"ukr"	121893	"9"	NA	NA	NA	"Виберіть одну відповідь.




"	"Q01_Think_Brain_Frequency_ukr"	FALSE	"4"	"Ніколи"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Фізичне здоров’я"	NA	"Q02_PhyHealthInfl_ukr"	FALSE	"1"	"Дуже сильний вплив"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Фізичне здоров’я"	NA	"Q02_PhyHealthInfl_ukr"	FALSE	"2"	"Сильний вплив"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Фізичне здоров’я"	NA	"Q02_PhyHealthInfl_ukr"	FALSE	"3"	"Помірний вплив"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Фізичне здоров’я"	NA	"Q02_PhyHealthInfl_ukr"	FALSE	"4"	"Слабкий вплив"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Фізичне здоров’я"	NA	"Q02_PhyHealthInfl_ukr"	FALSE	"5"	"Жодного впливу"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Дієта"	NA	"Q02_DietInfl_ukr"	FALSE	"1"	"Дуже сильний вплив"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Дієта"	NA	"Q02_DietInfl_ukr"	FALSE	"2"	"Сильний вплив"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Дієта"	NA	"Q02_DietInfl_ukr"	FALSE	"3"	"Помірний вплив"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Дієта"	NA	"Q02_DietInfl_ukr"	FALSE	"4"	"Слабкий вплив"	"Weak"	FALSE	FALSE	2	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Дієта"	NA	"Q02_DietInfl_ukr"	FALSE	"5"	"Жодного впливу"	"NoInfluence"	FALSE	FALSE	2	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Довкілля  (наприклад, забруднення повітря, шум)"	NA	"Q02_PhyEnvironmentInfl_ukr"	FALSE	"1"	"Дуже сильний вплив"	"VeryStrong"	FALSE	FALSE	3	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Довкілля  (наприклад, забруднення повітря, шум)"	NA	"Q02_PhyEnvironmentInfl_ukr"	FALSE	"2"	"Сильний вплив"	"Strong"	FALSE	FALSE	3	NA	NA	NA
"ukranian"	"ukr"	121893	"12"	NA	NA	"Довкілля  (наприклад, забруднення повітря, шум)"	NA	"Q02_PhyEnvironmentInfl_ukr"	FALSE	"3"	"Помірний вплив"	"Moderate"	FALSE	FALSE	3	NA	NA	NA
