"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"simplified chinese"	"ch"	131674	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"simplified chinese"	"ch"	131674	"4"	NA	NA	NA	"请勾选下面的按钮。
"	"Consent_Form_en"	TRUE	"1"	"我的年龄已超过 18 岁&#xff0c;同意将这些数据用于研究"	"Consent_Yes_en"	FALSE	FALSE	NA	NA	NA	NA
"simplified chinese"	"ch"	131674	"9"	NA	NA	NA	"请选择一个答案。
"	"Q01_Think_Brain_Frequency_en"	FALSE	"1"	"经常"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"simplified chinese"	"ch"	131674	"9"	NA	NA	NA	"请选择一个答案。
"	"Q01_Think_Brain_Frequency_en"	FALSE	"2"	"偶尔"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"simplified chinese"	"ch"	131674	"9"	NA	NA	NA	"请选择一个答案。
"	"Q01_Think_Brain_Frequency_en"	FALSE	"3"	"很少"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"simplified chinese"	"ch"	131674	"9"	NA	NA	NA	"请选择一个答案。
"	"Q01_Think_Brain_Frequency_en"	FALSE	"4"	"从来没有"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"身体健康"	NA	"Q02_PhyHealthInfl_en"	FALSE	"1"	"影响非常大"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"身体健康"	NA	"Q02_PhyHealthInfl_en"	FALSE	"2"	"影响很大"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"身体健康"	NA	"Q02_PhyHealthInfl_en"	FALSE	"3"	"中等影响"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"身体健康"	NA	"Q02_PhyHealthInfl_en"	FALSE	"4"	"影响很小"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"身体健康"	NA	"Q02_PhyHealthInfl_en"	FALSE	"5"	"没有影响"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"饮食"	NA	"Q02_DietInfl_en"	FALSE	"1"	"影响非常大"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"饮食"	NA	"Q02_DietInfl_en"	FALSE	"2"	"影响很大"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"饮食"	NA	"Q02_DietInfl_en"	FALSE	"3"	"中等影响"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"饮食"	NA	"Q02_DietInfl_en"	FALSE	"4"	"影响很小"	"Weak"	FALSE	FALSE	2	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"饮食"	NA	"Q02_DietInfl_en"	FALSE	"5"	"没有影响"	"NoInfluence"	FALSE	FALSE	2	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"物理环境&#xff08;如空气污染、噪音&#xff09;"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"1"	"影响非常大"	"VeryStrong"	FALSE	FALSE	3	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"物理环境&#xff08;如空气污染、噪音&#xff09;"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"2"	"影响很大"	"Strong"	FALSE	FALSE	3	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"物理环境&#xff08;如空气污染、噪音&#xff09;"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"3"	"中等影响"	"Moderate"	FALSE	FALSE	3	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"物理环境&#xff08;如空气污染、噪音&#xff09;"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"4"	"影响很小"	"Weak"	FALSE	FALSE	3	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"物理环境&#xff08;如空气污染、噪音&#xff09;"	NA	"Q02_PhyEnvironmentInfl_en"	FALSE	"5"	"没有影响"	"NoInfluence"	FALSE	FALSE	3	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"社会环境&#xff08;如家庭、社交网络&#xff09;"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"1"	"影响非常大"	"VeryStrong"	FALSE	FALSE	4	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"社会环境&#xff08;如家庭、社交网络&#xff09;"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"2"	"影响很大"	"Strong"	FALSE	FALSE	4	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"社会环境&#xff08;如家庭、社交网络&#xff09;"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"3"	"中等影响"	"Moderate"	FALSE	FALSE	4	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"社会环境&#xff08;如家庭、社交网络&#xff09;"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"4"	"影响很小"	"Weak"	FALSE	FALSE	4	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"社会环境&#xff08;如家庭、社交网络&#xff09;"	NA	"Q02_SocEnvironmentInfl_en"	FALSE	"5"	"没有影响"	"NoInfluence"	FALSE	FALSE	4	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"教育"	NA	"Q02_EducationInfl_en"	FALSE	"1"	"影响非常大"	"VeryStrong"	FALSE	FALSE	5	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"教育"	NA	"Q02_EducationInfl_en"	FALSE	"2"	"影响很大"	"Strong"	FALSE	FALSE	5	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"教育"	NA	"Q02_EducationInfl_en"	FALSE	"3"	"中等影响"	"Moderate"	FALSE	FALSE	5	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"教育"	NA	"Q02_EducationInfl_en"	FALSE	"4"	"影响很小"	"Weak"	FALSE	FALSE	5	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"教育"	NA	"Q02_EducationInfl_en"	FALSE	"5"	"没有影响"	"NoInfluence"	FALSE	FALSE	5	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"职业"	NA	"Q02_ProfessionInfl_en"	FALSE	"1"	"影响非常大"	"VeryStrong"	FALSE	FALSE	6	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"职业"	NA	"Q02_ProfessionInfl_en"	FALSE	"2"	"影响很大"	"Strong"	FALSE	FALSE	6	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"职业"	NA	"Q02_ProfessionInfl_en"	FALSE	"3"	"中等影响"	"Moderate"	FALSE	FALSE	6	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"职业"	NA	"Q02_ProfessionInfl_en"	FALSE	"4"	"影响很小"	"Weak"	FALSE	FALSE	6	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"职业"	NA	"Q02_ProfessionInfl_en"	FALSE	"5"	"没有影响"	"NoInfluence"	FALSE	FALSE	6	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"家庭收入"	NA	"Q02_IncomeInfl_en"	FALSE	"1"	"影响非常大"	"VeryStrong"	FALSE	FALSE	7	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"家庭收入"	NA	"Q02_IncomeInfl_en"	FALSE	"2"	"影响很大"	"Strong"	FALSE	FALSE	7	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"家庭收入"	NA	"Q02_IncomeInfl_en"	FALSE	"3"	"中等影响"	"Moderate"	FALSE	FALSE	7	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"家庭收入"	NA	"Q02_IncomeInfl_en"	FALSE	"4"	"影响很小"	"Weak"	FALSE	FALSE	7	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"家庭收入"	NA	"Q02_IncomeInfl_en"	FALSE	"5"	"没有影响"	"NoInfluence"	FALSE	FALSE	7	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"遗传学和家庭病史"	NA	"Q02_GeneticsInfl_en"	FALSE	"1"	"影响非常大"	"VeryStrong"	FALSE	FALSE	8	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"遗传学和家庭病史"	NA	"Q02_GeneticsInfl_en"	FALSE	"2"	"影响很大"	"Strong"	FALSE	FALSE	8	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"遗传学和家庭病史"	NA	"Q02_GeneticsInfl_en"	FALSE	"3"	"中等影响"	"Moderate"	FALSE	FALSE	8	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"遗传学和家庭病史"	NA	"Q02_GeneticsInfl_en"	FALSE	"4"	"影响很小"	"Weak"	FALSE	FALSE	8	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"遗传学和家庭病史"	NA	"Q02_GeneticsInfl_en"	FALSE	"5"	"没有影响"	"NoInfluence"	FALSE	FALSE	8	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"物质使用&#xff08;如酒精、吸烟、毒品&#xff09;"	NA	"Q02_SubstanceInfl_en"	FALSE	"1"	"影响非常大"	"VeryStrong"	FALSE	FALSE	9	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"物质使用&#xff08;如酒精、吸烟、毒品&#xff09;"	NA	"Q02_SubstanceInfl_en"	FALSE	"2"	"影响很大"	"Strong"	FALSE	FALSE	9	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"物质使用&#xff08;如酒精、吸烟、毒品&#xff09;"	NA	"Q02_SubstanceInfl_en"	FALSE	"3"	"中等影响"	"Moderate"	FALSE	FALSE	9	NA	NA	NA
"simplified chinese"	"ch"	131674	"12"	NA	NA	"物质使用&#xff08;如酒精、吸烟、毒品&#xff09;"	NA	"Q02_SubstanceInfl_en"	FALSE	"4"	"影响很小"	"Weak"	FALSE	FALSE	9	NA	NA	NA
