"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"turkish"	"tu"	132336	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"turkish"	"tu"	132336	"4"	NA	NA	NA	"Lütfen kutucuğu işaretleyiniz.
"	"Consent_Form_en"	TRUE	"1"	"18 yaşın üzerindeyim ve araştırma için bu verilerin kullanılmasına izin veriyorum."	"Consent_Yes_en"	FALSE	FALSE	NA	NA	NA	NA
"turkish"	"tu"	132336	"9"	NA	NA	NA	"Lütfen bir cevabı seçiniz.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"1"	"Sıklıkla"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"turkish"	"tu"	132336	"9"	NA	NA	NA	"Lütfen bir cevabı seçiniz.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"2"	"Zaman zaman"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"turkish"	"tu"	132336	"9"	NA	NA	NA	"Lütfen bir cevabı seçiniz.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"3"	"Nadiren"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"turkish"	"tu"	132336	"9"	NA	NA	NA	"Lütfen bir cevabı seçiniz.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"4"	"Hiçbir zaman"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Fiziksel sağlık"	NA	"Q02_PhyHealthInfl_en"	FALSE	"1"	"Çok güçlü"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Fiziksel sağlık"	NA	"Q02_PhyHealthInfl_en"	FALSE	"2"	"Güçlü"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Fiziksel sağlık"	NA	"Q02_PhyHealthInfl_en"	FALSE	"3"	"Orta"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Fiziksel sağlık"	NA	"Q02_PhyHealthInfl_en"	FALSE	"4"	"Zayıf"	"Weak"	FALSE	FALSE	1	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Fiziksel sağlık"	NA	"Q02_PhyHealthInfl_en"	FALSE	"5"	"Etkisi yok"	"NoInfluence"	FALSE	FALSE	1	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Beslenme"	NA	"Q02_DietInfl_en"	FALSE	"1"	"Çok güçlü"	"VeryStrong"	FALSE	FALSE	2	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Beslenme"	NA	"Q02_DietInfl_en"	FALSE	"2"	"Güçlü"	"Strong"	FALSE	FALSE	2	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Beslenme"	NA	"Q02_DietInfl_en"	FALSE	"3"	"Orta"	"Moderate"	FALSE	FALSE	2	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Beslenme"	NA	"Q02_DietInfl_en"	FALSE	"4"	"Zayıf"	"Weak"	FALSE	FALSE	2	NA	NA	NA
"turkish"	"tu"	132336	"12"	NA	NA	"Beslenme"	NA	"Q02_DietInfl_en"	FALSE	"5"	"Etkisi yok"	"NoInfluence"	FALSE	FALSE	2	NA	NA	NA
