"language"	"suffix"	"form_id"	"element_no"	"img_url"	"img_text"	"question"	"question_descr"	"question_codebook"	"question_mandatory"	"answer_order"	"answer_option"	"answer_codebook"	"answer_preselected"	"answer_correct"	"question_order"	"max_selected"	"question_preselected"	"question_rangemarks"
"dutch"	"du"	135043	"1"	"https://www.lifebrain.uio.no/26.05.20-lifebrain-banner-1771x417.jpg"	"Lifebrain logo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"dutch"	"du"	135043	"4"	NA	NA	NA	"Vink het vakje aan.
"	"Consent_Form_en"	TRUE	"1"	"Ik ben 18 jaar of ouder, en ik geef toestemming voor het gebruik van deze gegevens voor onderzoek"	"Consent_Yes_en"	FALSE	FALSE	NA	NA	NA	NA
"dutch"	"du"	135043	"9"	NA	NA	NA	"Selecteer één optie.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"1"	"Vaak"	"Frequently"	FALSE	FALSE	NA	NA	NA	NA
"dutch"	"du"	135043	"9"	NA	NA	NA	"Selecteer één optie.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"2"	"Af en toe"	"Occasionally"	FALSE	FALSE	NA	NA	NA	NA
"dutch"	"du"	135043	"9"	NA	NA	NA	"Selecteer één optie.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"3"	"Zelden"	"Rarely"	FALSE	FALSE	NA	NA	NA	NA
"dutch"	"du"	135043	"9"	NA	NA	NA	"Selecteer één optie.
"	"Q01_Think_Brain_Frequency_en"	FALSE	"4"	"Nooit"	"Never"	FALSE	FALSE	NA	NA	NA	NA
"dutch"	"du"	135043	"12"	NA	NA	"Fysieke gezondheid"	NA	"Q02_PhyHealthInfl_en"	FALSE	"1"	"Zeer sterke invloed"	"VeryStrong"	FALSE	FALSE	1	NA	NA	NA
"dutch"	"du"	135043	"12"	NA	NA	"Fysieke gezondheid"	NA	"Q02_PhyHealthInfl_en"	FALSE	"2"	"Sterke invloed"	"Strong"	FALSE	FALSE	1	NA	NA	NA
"dutch"	"du"	135043	"12"	NA	NA	"Fysieke gezondheid"	NA	"Q02_PhyHealthInfl_en"	FALSE	"3"	"Matige invloed"	"Moderate"	FALSE	FALSE	1	NA	NA	NA
"dutch"	"du"	135043	"12"	NA	NA	"Fysieke gezondheid"	NA	"Q02_PhyHealthInfl_en"	FALSE	"4"	"Weinig invloed"	"Weak"	FALSE	FALSE	1	NA	NA	NA
