form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
114338	4903486	english	en	Yes	Occasionally	Moderate	Strong	Moderate	Weak	Very strong	Strong	Strong	Moderate	Strong	Strong	Moderate	Very important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Schizophrenia	Occasionally	Frequently	Frequently	Occasionally	Frequently	Frequently	Frequently	Rarely	Occasionally	Occasionally	Occasionally	NA	NA	NA	NA	NA	NA	NA	NA	NA	Accurate;Cheap;NoPain	Probably not	NA	NA	Other reasons	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Diagnose;FamilySupport;WorseMemory	GiveupHobby;NotHelp;StartNoFun	GP;GroupSupport;SupportFamily	No	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Moderately	Moderately	Moderately	Great extent	Moderately	Moderately	No	26-40	Norway	Male	GradSchool	Single	Student;Unemployed	Yes	Excellent	Excellent	No	No	3	2	3	4	1	2	2	3	2	2	3	1	1	1	1	2	1	2	1	1	2	1	1	1	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	127	2	5	1	Spend time alone and enjoy ones own company	NA	NA	There is enough health hysteria as it is	Dont spend time on bad friends and meaningless activities	Spend more time in nature	NA	NA	NA
114338	4913285	english	en	Yes	Frequently	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Arthritis;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Frequently	Never	Rarely	Occasionally	Never	Frequently	Never	Frequently	NA	NA	NA	NA	NA	NA	NA	NA	NA	Accurate;Cheap;Quick	Definitely	Learn about the risk	Probably	NA	Likely	Likely	Likely	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Diagnose;PersonalAdvice;WorseMemory	Alone;Expensive;NoTime	Checkup;GP;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Not at all	Moderately	Great extent	Great extent	Moderately	Moderately	Yes	26-40	Spain	Male	GradSchool	Unmarried	Employed	Yes	NA	NA	No	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	4	3	2	4	1	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	3	2	1	1	2	2	2	157	2	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
114338	4933808	english	en	Yes	Frequently	Very strong	Strong	Strong	Moderate	Moderate	Strong	Very strong	Strong	Very strong	Strong	Strong	Very important	Very important	Important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Frequently	Rarely	Occasionally	Rarely	Frequently	Occasionally	Frequently	Rarely	Rarely	Occasionally	Occasionally	NA	Occasionally	Rarely	Occasionally	Never	Rarely	Never	Accurate;Cheap	Definitely	Learn about the risk	Probably	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	NA	Diagnose;ImpactKnown;WorseMemory	Expensive;NoInfo;NoNeed	Checkup;GP	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Great extent	Moderately	Not at all	Great extent	Great extent	Not at all	Moderately	No	26-40	Switzerland	Male	GradSchool	DomesticPartner	Disabled;Employed;Stay-at-home	Yes	NA	NA	Yes	No	1	2	2	3	3	2	1	2	1	2	2	1	1	2	1	2	1	2	2	1	3	2	3	1	2	1	3	3	2	2	NA	2	3	2	4	3	4	1	1	1	1	1	2	1	1	1	2	2	2	2	2	NA	1	1	1	1	1	1	1	2	1	2	3	1	1	3	2	2	161	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
114338	4936886	english	en	Yes	Frequently	Very strong	Moderate	Strong	Weak	Strong	Very strong	Very strong	Moderate	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia	Rarely	Frequently	Frequently	Occasionally	Frequently	Frequently	Frequently	Never	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Occasionally	Occasionally	Rarely	NoPain;OnlineCriteria;SocialSecurity	Probably	Information;Respond	Probably	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Diagnose;Family;FamilySupport	Expensive;NoInfo	Checkup;GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Not at all	Great extent	Moderately	Not at all	Moderately	Great extent	Not at all	Moderately	No	26-40	Spain	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	Yes	No	1	3	2	4	2	1	1	3	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	3	1	2	3	2	1	3	2	2	157	1	5	3	Brain games, investigating about brain health, listnening to podcast related to brain activity and enhance my memory.	NA	NA	NA	Trust that everything is going to be alright.	NA	NA	NA	NA
114338	4948775	english	en	Yes	Rarely	Strong	Very strong	Strong	Moderate	Strong	Strong	Strong	Very strong	Strong	Strong	Strong	Very important	Very important	Important	Very important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Frequently	Rarely	Occasionally	Never	Occasionally	Occasionally	Occasionally	Never	Never	NA	Frequently	Frequently	Frequently	Rarely	Occasionally	Occasionally	Accurate;OnlineCriteria;SocialSecurity	Probably not	NA	NA	Don't want to know	Definitely not	Definitely	Definitely	Definitely	Definitely	Already do	Very likely	Already do	Very likely	Already do	Very likely	Likely	Very likely	Already do	NA	Diagnose;ImpactKnown;WorseMemory	GiveupHobby;NoInfo;NoTime	Checkup;GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Unknown	Great extent	Great extent	Great extent	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	No	41-60	Norway	Female	GradSchool	DomesticPartner	Employed	No	Excellent	NA	No	No	2	1	2	3	2	2	2	1	2	2	2	1	1	2	1	1	2	2	1	1	1	1	3	2	4	2	2	2	4	4	NA	1	1	1	3	2	2	4	1	1	1	1	3	1	3	1	3	1	2	1	3	NA	1	1	1	1	1	3	1	1	1	2	2	1	1	3	2	3	127	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
114338	4948924	english	en	Yes	Frequently	Strong	No influence	Strong	No influence	Moderate	Moderate	Very strong	No influence	Very strong	Moderate	Strong	Important	Important	Very important	Very important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Occasionally	Frequently	Rarely	Frequently	Never	Occasionally	Rarely	Frequently	Occasionally	Occasionally	NA	Frequently	Rarely	Frequently	Frequently	Occasionally	Frequently	Accurate;Cheap;SocialSecurity	Definitely	Information	Definitely	NA	Definitely	Definitely	Definitely	Unlikely	Definitely	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Already do	NA	Diagnose;PersonalAdvice;WorseMemory	GiveupHobby;NoMotivation;StartNoFun	Checkup;GP;GroupSupport	Yes	Yes	Yes	Yes	Yes	No	Great extent	Great extent	Great extent	Not at all	Moderately	Great extent	Great extent	Not at all	Moderately	Yes	41-60	Norway	Male	GradSchool	Unmarried	Employed	No	Excellent	NA	Yes	No	2	5	2	5	3	3	1	5	1	3	2	2	2	1	1	1	2	3	2	2	2	1	3	1	4	2	3	1	2	2	NA	1	3	1	1	2	1	1	1	1	3	1	2	2	1	1	1	1	2	2	3	NA	1	1	1	1	1	2	1	1	1	3	2	1	1	3	2	3	127	2	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
114338	4948993	english	en	Yes	Frequently	Very strong	Very strong	Strong	Moderate	Strong	Very strong	Very strong	Strong	Very strong	Very strong	Strong	Very important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Frequently	Frequently	Frequently	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Frequently	Occasionally	Occasionally	Frequently	Occasionally	NA	Frequently	Frequently	Occasionally	Rarely	Occasionally	Occasionally	Accurate;Cheap;Quick	Probably	Information;Respond	Probably	NA	Likely	Likely	Definitely	Definitely	Likely	Already do	Already do	Already do	Likely	Unlikely	Likely	Likely	Likely	Likely	NA	Diagnose;ImpactKnown;PersonalAdvice	NoInfo;NoMotivation;NotHelp	Checkup;GP	Yes	Yes	Yes	Yes	Yes	No	Great extent	Moderately	Moderately	Not at all	Moderately	Moderately	Moderately	Moderately	Moderately	No	41-60	Norway	Female	GradSchool	DomesticPartner	Employed;Student	Yes	NA	NA	No	Yes	1	1	2	3	2	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	2	2	1	2	NA	1	1	2	3	2	2	2	2	1	1	2	3	3	3	2	4	2	2	2	2	NA	1	1	1	1	1	2	1	2	2	3	2	2	2	2	2	3	127	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
114338	4949203	english	en	Yes	Occasionally	Very strong	Strong	Strong	Strong	Strong	Strong	Very strong	Strong	Strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Occasionally	Frequently	Frequently	Frequently	Frequently	Never	Occasionally	Occasionally	Occasionally	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Accurate;NoPain;OnlineCriteria	Probably	Learn about the risk	Probably	NA	Likely	Definitely	Definitely	Definitely	Definitely	Likely	Very likely	Already do	Already do	Likely	Very likely	Likely	Very likely	Already do	NA	Diagnose;Family;Fun	NoInfo;NoTime	Checkup;GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	No	Great extent	Not at all	Great extent	Moderately	Moderately	Great extent	Great extent	Moderately	Moderately	No	41-60	Norway	Female	GradSchool	DomesticPartner	Disabled;Employed	Yes	NA	NA	Yes	No	1	2	2	2	2	2	1	2	2	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	4	2	2	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	3	3	2	1	2	1	3	NA	1	1	1	1	1	2	1	3	1	2	2	1	1	2	2	3	127	1	5	3	Code crosswords	NA	NA	NA	NA	NA	NA	NA	NA
114338	4949947	english	en	Yes	Occasionally	Strong	Strong	Very strong	Moderate	Strong	Strong	Very strong	Moderate	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Frequently	Frequently	Rarely	Frequently	Never	Frequently	Frequently	Occasionally	Occasionally	Rarely	NA	Frequently	Rarely	Frequently	Occasionally	Rarely	Occasionally	Accurate;Cheap;SocialSecurity	Definitely	Learn about the risk	Probably	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	NA	Diagnose;Fun;ImpactKnown	Alone;NoInfo;NoMotivation	GP;GroupSupport;SupportFamily	Yes	Yes	Yes	Yes	Yes	No	Great extent	Moderately	Great extent	Moderately	Moderately	Moderately	Moderately	Not at all	Moderately	No	26-40	Norway	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	Yes	No	2	2	1	3	2	2	1	3	1	1	1	1	1	1	1	1	1	3	2	1	1	1	3	1	4	1	1	2	2	3	NA	1	3	1	2	3	2	2	1	1	1	1	1	1	1	1	2	1	2	1	1	NA	1	1	1	1	1	2	1	2	1	2	2	2	2	3	2	2	127	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
114338	4950500	english	en	Yes	Frequently	Strong	Very strong	Very strong	Moderate	Strong	Moderate	Very strong	Very strong	Very strong	Strong	Very strong	Important	Important	Moderately important	Very important	Not important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Frequently	Frequently	Occasionally	Frequently	Frequently	Frequently	Frequently	Never	Frequently	Frequently	Frequently	Frequently	Rarely	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Accurate;Cheap;OnlineCriteria	Definitely	Learn about the risk	Definitely	NA	NA	Definitely	Definitely	Definitely	Definitely	Likely	Already do	Already do	Already do	Already do	Already do	Already do	Unlikely	Very likely	Not at all	Diagnose;ImpactKnown;WorseMemory	NoInfo;NotHelp	Checkup;GP;MobileApp	Unknown	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Moderately	Moderately	Great extent	Not at all	Moderately	No	71-80	Norway	Male	GradSchool	DomesticPartner	Pensioned	Yes	NA	NA	No	No	2	1	1	3	2	3	1	1	1	2	1	2	2	3	1	4	2	1	1	2	1	1	1	1	4	1	1	1	1	3	1	1	1	1	1	1	1	NA	1	1	1	1	2	3	3	3	3	3	3	4	1	5	3	1	1	1	1	1	1	2	2	3	2	2	1	3	2	5	127	2	5	3	Physical activities, intellectual activities	NA	NA	NA	NA	NA	NA	NA	NA
