form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
116413	4979638	hungarian	hu	Yes	Frequently	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Cancer;Diabetes;Hypertension;Migraine;Parkinson;Stroke	Occasionally	Occasionally	Frequently	Frequently	Rarely	Rarely	Rarely	Rarely	Rarely	Never	Occasionally	Occasionally	Frequently	Never	Never	Never	Frequently	Rarely	Never	Rarely	Accurate;Cheap;Quick	Definitely	Prepare	Probably	NA	Definitely not	Definitely	Likely	Definitely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Not at all	ImpactKnown	GiveupHobby;NotHelp;NoTime	GP	Yes	Yes	Yes	Yes	Yes	No	Moderately	Not at all	Moderately	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	No	61-70	Hungary	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	Yes	Yes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	3	3	3	3	4	2	2	1	4	4	4	1	3	4	3	4	1	2	1	2	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	2	2	3	2	3	3	1	1	3	3	4	107	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
116413	4979813	hungarian	hu	Yes	Rarely	Strong	Very strong	Very strong	Strong	Strong	Strong	Very strong	Very strong	Strong	Strong	Strong	Important	Important	Important	Important	Important	Important	Addiction;Alzheimer;Bipolar;Depression;Diabetes;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Occasionally	Never	Occasionally	Occasionally	Never	Occasionally	Never	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Never	Occasionally	Accurate;NoPain;Quick	Probably	Information;Prepare	Probably not	NA	Unlikely	Likely	Definitely	Likely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Diagnose	Alone;GiveupHobby	GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Great extent	Moderately	Not at all	Great extent	Great extent	Not at all	Moderately	Yes	41-60	Hungary	Female	GradSchool	Single	Employed	Yes	Excellent	NA	No	No	2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	4	2	2	4	2	4	2	2	2	2	2	2	2	2	4	2	3	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	1	1	3	2	3	107	1	5	1	olvasás	NA	NA	NA	NA	lazítanék, relaxálnék, pihennék	NA	NA	NA
116413	4980413	hungarian	hu	Yes	Frequently	Very strong	Very strong	Very strong	Strong	Strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Arthritis;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Occasionally	Frequently	Never	Occasionally	Occasionally	Never	Occasionally	Never	Occasionally	Occasionally	Occasionally	Never	Never	Occasionally	Occasionally	Occasionally	Never	Occasionally	Accurate;NoPain;Quick	Definitely	Learn about the risk	Definitely	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Likely	Very likely	Very likely	Not at all	Diagnose;WorseMemory	NoInfo	Checkup	Yes	Yes	No	No	No	No	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	Yes	41-60	Hungary	Male	GradSchool	DomesticPartner	Employed	Yes	Excellent	NA	No	Yes	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	4	2	2	4	2	4	2	2	2	4	4	2	2	2	4	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	5	1	1	2	2	2	2	1	2	2	2	2	1	1	3	2	3	107	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
116413	4980540	hungarian	hu	Yes	Occasionally	Strong	Strong	Strong	Strong	Weak	Strong	Very strong	Strong	Strong	Moderate	Very strong	Important	Moderately important	Very important	Very important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Rarely	Rarely	Rarely	Rarely	Rarely	Rarely	Never	Rarely	Never	Never	Rarely	Rarely	Never	Rarely	Rarely	Rarely	Rarely	Never	Rarely	Accurate;Cheap;Quick	Definitely	Information	Probably	NA	Unlikely	Likely	Likely	Unlikely	Likely	Unlikely	Likely	Likely	Likely	Likely	Likely	Likely	Already do	Already do	Not at all	Affordable;WorseMemory	Alone;NoMotivation;NoTime	GP	No	Yes	Yes	Yes	NA	Yes	Great extent	Moderately	Moderately	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	Yes	41-60	Hungary	Male	GradSchool	Single	Employed	Yes	NA	NA	No	Yes	2	2	2	2	4	2	1	2	2	3	1	2	3	1	1	2	2	3	3	3	3	3	3	3	4	3	4	4	3	3	4	3	3	3	3	4	3	3	2	2	3	2	4	2	2	2	2	2	2	3	3	5	2	1	1	1	NA	1	1	2	2	3	3	1	1	3	3	3	107	2	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
116413	5039084	hungarian	hu	Yes	Rarely	Strong	Strong	Strong	Moderate	Strong	Moderate	Strong	Strong	Strong	Strong	Strong	Important	Important	Important	Important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Occasionally	Occasionally	Rarely	Occasionally	Frequently	Never	Frequently	Rarely	Frequently	Occasionally	Rarely	Never	Rarely	Occasionally	Occasionally	Occasionally	Rarely	Occasionally	Accurate;Quick	Definitely	Learn about the risk	Definitely	NA	NA	Definitely	Definitely	Definitely	Definitely	Very likely	Likely	Likely	Already do	Already do	Likely	Already do	Likely	Already do	Not at all	Diagnose;WorseMemory	NotHelp	Checkup;GP	Unknown	Yes	Unknown	Yes	Yes	Unknown	Great extent	Moderately	Moderately	Not at all	Moderately	Great extent	Great extent	Not at all	Moderately	No	61-70	Hungary	Female	GradSchool	Divorced	Employed	Yes	NA	NA	Yes	Yes	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	4	1	3	1	2	3	4	3	2	2	2	3	2	NA	1	1	1	1	1	2	2	3	3	2	3	2	3	5	3	1	3	1	1	3	1	2	2	3	2	1	1	3	2	4	107	1	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
116413	5067073	hungarian	hu	Yes	Occasionally	Moderate	Very strong	Strong	Weak	Very strong	Strong	Strong	Strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Frequently	Occasionally	Rarely	Occasionally	Never	Occasionally	Rarely	Frequently	Rarely	Rarely	NA	Occasionally	Occasionally	Frequently	Occasionally	Rarely	Occasionally	Accurate;NoPain;SocialSecurity	Probably	Prepare;Respond	Probably	NA	Likely	Likely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	NA	Family;FamilySupport;WorseMemory	Alone;NotHelp;NoTime	GroupSupport;MobileApp;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	No	41-60	Hungary	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	Yes	3	1	2	4	1	2	2	2	1	2	1	1	1	1	1	1	1	3	2	1	1	2	3	2	4	2	3	1	3	3	NA	2	2	1	2	3	2	2	2	1	1	1	1	1	1	1	2	1	2	1	1	NA	1	1	3	1	1	1	1	2	2	3	3	1	1	3	3	3	107	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
116413	5068400	hungarian	hu	Yes	Frequently	Strong	Strong	Very strong	Strong	Very strong	Strong	Strong	Strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Bipolar;Depression;Diabetes;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Occasionally	Never	Occasionally	Occasionally	Frequently	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	NA	Never	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Accurate;NoPain;Quick	Definitely	Information;Prepare	Definitely	NA	Definitely	Likely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Diagnose;ImpactKnown;WorseMemory	Expensive	GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Unknown	Great extent	Moderately	Moderately	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	No	26-40	Hungary	Female	HighSchool	Unmarried	Employed	Yes	Excellent	NA	No	Yes	2	2	1	2	1	2	2	2	1	2	1	1	1	1	1	2	1	3	2	2	2	4	2	2	1	2	2	2	2	2	NA	4	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	3	1	2	2	3	3	1	1	3	3	2	107	1	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
116413	5068423	hungarian	hu	Yes	Frequently	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Frequently	Rarely	Frequently	Frequently	Never	Frequently	Frequently	Frequently	Frequently	Frequently	Never	Rarely	Frequently	Frequently	Frequently	Frequently	Frequently	Accurate;NoPain;Quick	Definitely	Learn about the risk	Definitely	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Already do	Already do	Already do	Already do	Already do	Already do	Already do	Already do	Already do	NA	Diagnose;Family;WorseMemory	NoNeed	Checkup;GP;MobileApp	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Great extent	Great extent	Moderately	Moderately	Not at all	Not at all	No	41-60	Hungary	Female	GradSchool	Divorced	Employed	No	Excellent	NA	No	No	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	4	1	1	1	1	1	4	3	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	3	NA	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	107	1	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
116413	5068493	hungarian	hu	Yes	Frequently	Strong	Strong	Strong	Moderate	Very strong	Very strong	Moderate	Strong	Very strong	Very strong	Very strong	Very important	Very important	Important	Important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Frequently	Occasionally	Frequently	Never	Frequently	Rarely	Frequently	Frequently	Frequently	Frequently	Frequently	Occasionally	Frequently	Frequently	Rarely	Frequently	Accurate;Quick	Definitely	Learn about the risk	Definitely	NA	Unlikely	Unlikely	Definitely	Likely	Definitely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Unlikely	Very likely	Not at all	Likely	Diagnose;ImpactKnown;WorseMemory	Expensive	GP;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Unknown	Great extent	Moderately	Moderately	Moderately	Not at all	Great extent	Great extent	Not at all	Great extent	No	41-60	Hungary	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	No	Yes	2	2	2	3	1	1	3	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	4	1	3	1	1	1	1	1	2	1	1	3	1	3	3	1	2	1	1	1	1	1	2	1	4	1	5	2	1	1	3	1	1	3	1	2	2	2	3	1	1	3	1	3	107	1	5	3	Olvasás kártyajáték tanulás munka	NA	NA	NA	NA	Tanulás	NA	NA	NA
116413	5068548	hungarian	hu	Yes	Occasionally	Strong	Moderate	Strong	Moderate	Strong	Moderate	Strong	Moderate	Strong	Strong	Very strong	Important	Important	Very important	Very important	Important	Important	Alzheimer;Bipolar;Migraine;Parkinson;Stroke	Never	Rarely	Frequently	Frequently	Never	Occasionally	Frequently	Never	Rarely	Never	Frequently	Never	Never	Never	Never	Never	Never	Never	Never	Never	Accurate;Cheap;OnlineCriteria	Definitely	Information;Respond	Definitely	NA	Unlikely	Likely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Diagnose;ImpactKnown;WorseMemory	NoInfo	GP;SupportFamily	Yes	Yes	Yes	Unknown	No	No	Great extent	Not at all	Moderately	Not at all	Not at all	Great extent	Great extent	Not at all	Moderately	No	41-60	Hungary	Female	GradSchool	Unmarried	Employed	No	NA	NA	No	No	2	3	2	3	2	3	2	3	2	2	1	2	2	1	1	2	2	4	3	1	1	4	2	1	4	3	4	1	4	4	4	4	4	4	4	4	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	3	2	2	1	3	2	3	3	1	1	3	2	3	107	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
