form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
118017	4953336	french	fr	Yes	Frequently	Strong	Strong	Moderate	Moderate	Moderate	Strong	Strong	Strong	Strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia	Rarely	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Frequently	Occasionally	Occasionally	Occasionally	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Occasionally	Frequently	Occasionally	Accurate;Cheap;SocialSecurity	Probably	Information;Respond	Probably not	NA	Definitely not	Likely	Definitely	Unlikely	Definitely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Very likely	Likely	Very likely	Diagnose;ImpactKnown;WorseMemory	Alone;NoInfo;NotHelp	Checkup;GP	Yes	Yes	Yes	Yes	Unknown	Yes	Great extent	Moderately	Moderately	Moderately	Not at all	Moderately	Great extent	Not at all	Not at all	No	41-60	Switzerland	Female	HighSchool	Single	Employed	No	NA	NA	No	No	2	2	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	3	2	1	1	2	2	2	1	2	2	2	2	1	1	2	2	2	2	1	2	4	2	1	3	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	3	1	1	2	2	2	3	2	1	3	3	3	166	1	3	1	cours de langue, mot croisés. reportages scientifiques	NA	NA	NA	NA	reconsidérer tout le mode de vie	NA	NA	NA
118017	4972439	french	fr	Yes	Frequently	Strong	Strong	Very strong	Moderate	Weak	Moderate	Strong	Strong	Moderate	Moderate	Strong	Important	Important	Important	Important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Frequently	Occasionally	Never	Occasionally	Frequently	Never	Occasionally	Never	Rarely	Frequently	Frequently	Frequently	Occasionally	Occasionally	Frequently	Occasionally	Rarely	Occasionally	Accurate;Quick;SocialSecurity	Definitely	Respond	Definitely	NA	Likely	Definitely	Likely	Unlikely	Definitely	Already do	Very likely	Very likely	Likely	Already do	Likely	Already do	Unlikely	Already do	Already do	Diagnose;ImpactKnown	NotHelp;StartNoFun	Checkup	Yes	Yes	Unknown	Unknown	Unknown	Unknown	Great extent	Moderately	Moderately	Moderately	Moderately	Moderately	Great extent	Not at all	Moderately	Yes	71-80	Belgium	Male	GradSchool	DomesticPartner	Pensioned	Yes	NA	NA	No	Yes	2	2	1	3	4	3	2	2	3	3	2	2	2	2	2	1	2	2	2	1	2	4	2	1	4	2	4	3	1	1	1	2	2	1	2	3	2	2	1	2	3	1	3	1	1	2	3	2	3	4	3	3	1	1	3	3	3	3	1	2	2	2	2	2	1	3	2	5	19	2	5	3	Surveiller ma tension	NA	NA	NA	Ecrire mon testament	Prendre de la metformin	NA	NA	NA
118017	4978838	french	fr	Yes	Frequently	Very strong	Moderate	Moderate	Moderate	Very strong	Very strong	Very strong	Strong	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Never	Occasionally	Frequently	Occasionally	Frequently	Frequently	Occasionally	Never	Occasionally	Occasionally	Frequently	Occasionally	Frequently	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Frequently	Cheap;NoPain;OnlineCriteria	Probably not	NA	NA	Other reasons	Definitely	Definitely	Definitely	Likely	Unlikely	Already do	Already do	Very likely	Already do	Likely	Already do	Already do	Already do	Already do	NA	Affordable;Diagnose;WorseMemory	Expensive;GiveupHobby;StartNoFun	Checkup;GP;GroupSupport;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Moderately	Not at all	Not at all	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	No	26-40	Norway	Female	HighSchool	Single	Employed;Unemployed	Yes	NA	Poor	No	No	1	3	3	3	1	1	1	2	1	1	1	1	1	1	1	1	1	4	2	1	2	1	1	2	4	2	2	1	2	1	2	1	1	2	2	2	1	1	1	1	2	3	3	3	1	3	2	3	3	3	3	NA	1	1	1	1	1	1	2	3	3	2	2	2	2	2	2	2	129	1	3	1	Meditation, exercise de respiration, jeûne	NA	NA	Le cerveau est puissant. Si les resultats etaient positifs Par erreur, rien que la pensee et croyance de ces resultats etant positifs peuvent changer/influencer la donne.	NA	NA	NA	NA	NA
118017	4995662	french	fr	Yes	Occasionally	Strong	Very strong	Strong	Moderate	Very strong	Strong	Strong	Strong	Strong	Very strong	Strong	Very important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia	Rarely	Occasionally	Frequently	Frequently	Frequently	Frequently	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Frequently	Frequently	Frequently	Frequently	Occasionally	Frequently	Frequently	Frequently	Accurate;OnlineCriteria;SocialSecurity	Probably	Learn about the risk	Probably	NA	Unlikely	Likely	Likely	Likely	Definitely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	NA	Diagnose;PersonalAdvice;WorseMemory	Alone;NoInfo	Checkup;GP;GroupSupport	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Moderately	Not at all	Not at all	Yes	41-60	Spain	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	Yes	Yes	2	1	2	3	1	2	2	2	2	1	2	1	1	1	1	2	1	3	2	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	3	2	2	2	1	1	2	1	2	1	1	1	1	2	NA	1	1	3	1	1	1	1	2	2	2	2	1	2	3	3	3	52	1	5	3	Découvrir de nouvelles manières de faire (des recettes de cuisine, travailler avec la main gauche...)	NA	NA	NA	Je chercherais d'autres personnes avec un risque similaire pour partager les questions... et les réponses!	NA	NA	NA	NA
118017	5053573	french	fr	Yes	Occasionally	Moderate	Moderate	Strong	Weak	Strong	Very strong	Strong	Strong	Moderate	Strong	Very strong	Important	Important	Important	Important	Important	Important	Alzheimer;Anxiety;Bipolar;Depression;Migraine;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Frequently	Never	Frequently	Frequently	Frequently	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Frequently	Frequently	Frequently	Occasionally	Accurate;SocialSecurity	Probably	Information	Probably	NA	Likely	Likely	Likely	Definitely	Definitely	Very likely	Already do	Very likely	Already do	Very likely	Very likely	Already do	Already do	Already do	Already do	Diagnose;WorseMemory	NotHelp	Checkup;GP	Yes	Yes	Unknown	Unknown	No	Unknown	Great extent	Great extent	Not at all	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	No	71-80	France	Male	VocationSchool	DomesticPartner	Pensioned	No	NA	NA	No	No	3	3	2	4	2	1	2	2	3	2	1	2	2	2	2	2	2	3	2	1	1	2	2	1	4	1	1	1	2	1	1	2	2	1	1	1	2	2	2	2	1	1	1	3	1	3	1	1	3	3	3	3	1	1	3	3	2	3	1	1	3	3	3	1	1	3	3	5	62	2	4	3	SCRABBLE.LECTURE .VOYAGER	NA	NA	NA	NA	VOYAGER	NA	NA	NA
118017	5066615	french	fr	Yes	Never	Moderate	Moderate	Very strong	Moderate	Strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very important	Very important	Important	Important	Not important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Rarely	Occasionally	Rarely	Rarely	Rarely	Never	Occasionally	Rarely	Rarely	Occasionally	Rarely	Never	Rarely	Rarely	Rarely	Rarely	Rarely	Rarely	NoPain;Quick;SocialSecurity	Probably	Information;Prepare	Probably	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Unlikely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Affordable;Diagnose;ImpactKnown	Alone;NoInfo;NotHelp	Checkup;GP	Yes	Yes	Yes	Yes	Yes	No	Great extent	Great extent	Great extent	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	No	26-40	France	Female	GradSchool	Single	Employed	Yes	NA	NA	No	No	3	3	1	3	2	1	1	1	1	1	1	1	1	2	2	4	2	3	2	3	2	3	3	3	4	2	3	3	2	3	4	3	3	3	3	3	3	1	1	1	1	1	4	1	1	2	1	1	1	1	1	NA	1	1	1	1	1	2	1	1	1	3	3	1	1	3	3	2	62	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
118017	5077093	french	fr	Yes	Frequently	Strong	Strong	Very strong	Moderate	Moderate	Very strong	Strong	Strong	Strong	Strong	NA	Important	Very important	Important	Important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Frequently	Occasionally	Frequently	Frequently	Never	Occasionally	Frequently	Never	Occasionally	Occasionally	Frequently	Occasionally	Frequently	Occasionally	Never	Occasionally	Occasionally	Occasionally	Rarely	Frequently	Accurate;Cheap;Quick	Definitely	Information;Respond	Definitely	NA	Likely	Definitely	Definitely	Likely	Likely	Likely	Very likely	Very likely	Likely	Already do	Likely	Already do	Likely	Already do	NA	Diagnose;ImpactKnown	NoInfo;NotHelp;StartNoFun	Checkup	Unknown	Yes	Unknown	Yes	Unknown	Yes	Great extent	Moderately	Great extent	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	Yes	71-80	Belgium	Male	GradSchool	DomesticPartner	Pensioned;Volunteer-work	Yes	NA	NA	No	No	2	2	1	3	3	1	2	2	2	2	NA	2	1	2	2	1	2	1	2	1	1	4	2	1	4	2	2	1	2	1	2	4	2	2	2	3	1	2	1	1	2	2	2	1	1	2	3	2	3	2	3	NA	3	1	3	1	3	1	1	2	1	2	2	1	1	3	2	5	19	2	5	3	lire, jouer aux cartes	NA	NA	NA	J'écrirais mon testament	jouer au golf	NA	NA	NA
118017	5079050	french	fr	Yes	Occasionally	Very strong	Strong	Very strong	Strong	Strong	Very strong	Very strong	Strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Frequently	Frequently	Occasionally	Frequently	Never	Rarely	Never	Occasionally	Occasionally	Frequently	NA	Frequently	Occasionally	Frequently	Rarely	Never	Occasionally	Accurate;Cheap;NoPain	Probably	Information;Respond	Probably	NA	Likely	Likely	Likely	Likely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Diagnose;WorseMemory	NoInfo;NoTime;StartNoFun	Checkup;GP;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Great extent	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	No	41-60	Belgium	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	No	1	2	1	2	2	1	1	2	1	2	1	1	1	1	2	1	1	3	2	1	1	1	2	1	4	3	4	2	2	1	NA	1	2	1	3	4	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	2	1	2	2	1	1	3	2	3	19	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
118017	5081481	french	fr	Yes	Frequently	Moderate	Strong	Strong	Moderate	Moderate	Moderate	Strong	Strong	Strong	Strong	Strong	Very important	Very important	Moderately important	Important	Moderately important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Occasionally	Frequently	Frequently	Frequently	Frequently	Never	Occasionally	Rarely	Occasionally	Frequently	Occasionally	Frequently	Frequently	Occasionally	Frequently	Occasionally	Never	Occasionally	Cheap;Quick;SocialSecurity	Definitely	Prepare;Respond	Definitely	NA	Likely	Definitely	Likely	Likely	Likely	Likely	Likely	Already do	Likely	Already do	Likely	Likely	Already do	Already do	Likely	Diagnose;ImpactKnown;WorseMemory	Alone;NoInfo;NotHelp	Checkup;GP;SupportFamily	Unknown	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Not at all	Moderately	Moderately	Not at all	Moderately	Yes	71-80	Belgium	Male	GradSchool	DomesticPartner	Pensioned	No	NA	NA	Yes	Yes	3	2	2	3	3	3	2	2	2	2	2	1	1	3	2	3	2	3	1	2	1	1	1	1	4	2	3	2	1	2	1	1	2	1	2	4	2	2	1	2	2	2	2	2	3	2	3	2	2	3	3	2	3	1	1	1	1	1	1	2	2	3	3	2	2	3	2	5	19	2	5	3	Mots croisés, sudokus, télévision documentaires, débats, conférences...	NA	NA	NA	NA	...je ferais un effort pour respecter ces bonnes intentions :-)...	NA	NA	NA
118017	5108034	french	fr	Yes	Frequently	Strong	Strong	Moderate	Moderate	Strong	Strong	Strong	Very strong	Strong	Strong	Strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia	Rarely	Rarely	Frequently	Frequently	Frequently	Occasionally	Occasionally	Frequently	Occasionally	Occasionally	Frequently	Occasionally	Occasionally	Never	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Occasionally	Accurate;NoPain;SocialSecurity	Definitely	Information;Prepare	Definitely	NA	Unlikely	Definitely	Definitely	Unlikely	Definitely	Already do	Already do	Likely	Likely	Likely	Likely	Already do	Already do	Unlikely	NA	ImpactKnown	NoInfo;NotHelp	Checkup;GP	Yes	Yes	Yes	Unknown	Yes	No	Great extent	Moderately	Moderately	Not at all	Not at all	Moderately	Moderately	Not at all	Moderately	Yes	61-70	Belgium	Male	GradSchool	Unmarried	Employed;Volunteer-work	No	NA	NA	Yes	No	2	2	3	3	2	2	2	1	2	2	2	1	1	1	1	1	1	3	3	1	1	1	2	2	1	2	2	1	2	2	4	1	1	2	2	2	2	3	1	1	3	1	3	3	2	2	2	2	3	3	4	NA	1	1	1	3	1	2	1	2	2	3	3	2	2	3	2	4	19	2	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
118017	5108979	french	fr	Yes	Frequently	Very strong	Very strong	Very strong	No influence	No influence	Moderate	Moderate	Very strong	Very strong	Very strong	Moderate	Very important	Very important	Very important	Very important	Moderately important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Never	Rarely	Frequently	Frequently	Never	Rarely	Rarely	Frequently	Frequently	Never	Frequently	Never	Frequently	Frequently	Never	Frequently	Never	Frequently	Rarely	Occasionally	Accurate;SocialSecurity	Probably	Prepare;Respond	Definitely	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Not at all	Not at all	Very likely	Not at all	Diagnose;Family;WorseMemory	Alone;NotHelp;NoTime	Checkup;GP;GroupSupport;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Unknown	Great extent	Great extent	Moderately	Moderately	Moderately	Moderately	Moderately	Not at all	Not at all	No	41-60	France	Female	GradSchool	DomesticPartner	Disabled;Employed;Stay-at-home	No	NA	NA	Yes	Yes	1	1	1	5	5	3	3	1	1	1	3	1	1	1	1	3	1	4	3	1	1	4	3	3	1	1	4	1	4	1	1	4	1	4	1	3	2	2	1	1	1	1	1	1	2	1	1	1	5	5	1	5	1	1	1	1	1	3	1	1	2	2	2	2	2	3	3	3	62	1	5	3	Lecture	NA	NA	NA	NA	Je ne sais pas	NA	NA	NA
118017	5109035	french	fr	Yes	Frequently	Strong	Very strong	Moderate	Moderate	Strong	Strong	Strong	Moderate	Strong	Very strong	Strong	Important	Very important	Important	Very important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	Occasionally	Occasionally	Frequently	Never	Occasionally	Frequently	Never	Rarely	Frequently	Rarely	Occasionally	Occasionally	Frequently	Never	Occasionally	Frequently	Rarely	Frequently	Rarely	Accurate;OnlineCriteria	Definitely	Information;Respond	Definitely	NA	Likely	Likely	Likely	Likely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	WorseMemory	Alone;Expensive;NoInfo	SupportFamily	Yes	Yes	Yes	Yes	Yes	Unknown	Great extent	Great extent	Great extent	Moderately	Moderately	Moderately	Great extent	Moderately	Moderately	No	41-60	Belgium	Female	GradSchool	DomesticPartner	Disabled	No	NA	Poor	Yes	No	2	1	3	3	2	2	2	3	2	1	2	2	1	2	1	1	2	4	2	2	1	4	2	1	4	3	1	3	2	2	1	4	2	1	3	1	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	3	1	1	1	2	2	2	1	2	2	3	19	1	5	3	Apprendre de nouvelles choses	NA	NA	NA	NA	NA	NA	NA	NA
