form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
119016	4959465	swedish	se	Yes	Frequently	Strong	Strong	Very strong	Strong	Very strong	Strong	Strong	Strong	Very strong	Strong	Strong	Very important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Occasionally	Frequently	Occasionally	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Rarely	Frequently	Frequently	Frequently	Frequently	Frequently	Occasionally	Frequently	Accurate;Quick;SocialSecurity	Probably not	NA	NA	Don't want to know	Definitely	Definitely	Likely	Definitely	Definitely	Likely	Likely	Already do	Likely	Very likely	Very likely	Likely	Already do	Unlikely	NA	FamilySupport;PersonalAdvice	NoInfo;StartNoFun	GP	Yes	Yes	Yes	Yes	Yes	Unknown	Great extent	Great extent	Moderately	Moderately	Moderately	Great extent	Moderately	Moderately	Moderately	No	26-40	Sweden	Female	PrimarySchool	Single	Disabled	Yes	NA	NA	Yes	Yes	2	2	1	2	1	2	2	2	1	2	2	1	1	1	1	2	1	3	2	1	2	1	2	2	1	1	2	2	2	3	1	1	1	1	1	2	1	1	1	2	1	1	2	2	3	2	1	1	2	3	4	NA	1	1	1	1	1	3	1	1	2	2	2	1	2	2	2	2	161	1	1	1	Tittar på intressanta dokumentärer	NA	NA	NA	NA	NA	NA	NA	NA
119016	4973136	swedish	se	Yes	Occasionally	Strong	Strong	Very strong	Moderate	Strong	Strong	Strong	Moderate	Very strong	Strong	Strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Occasionally	Frequently	Frequently	Frequently	Occasionally	Never	Frequently	Never	Occasionally	Frequently	Occasionally	Rarely	Frequently	Never	Occasionally	Never	Never	Occasionally	Accurate;NoPain;SocialSecurity	Probably	Respond	Probably	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Already do	Very likely	Likely	Very likely	Likely	Very likely	Already do	NA	FamilySupport;ImpactKnown	NoInfo;NotHelp	Checkup;GP;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Great extent	Great extent	Not at all	Moderately	Great extent	Great extent	Not at all	Moderately	Yes	26-40	Sweden	Male	GradSchool	DomesticPartner	Employed	No	Excellent	Excellent	No	No	2	2	1	3	2	2	2	3	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	2	4	1	4	2	1	2	3	1	4	2	4	4	2	2	1	1	1	1	1	1	3	1	2	1	2	1	3	NA	1	1	3	1	1	1	1	1	1	3	2	1	1	3	2	2	161	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119016	4973432	swedish	se	Yes	Frequently	Very strong	Strong	Strong	Moderate	Very strong	Strong	Very strong	Moderate	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Migraine;Parkinson;Schizophrenia;Stroke	Never	Frequently	Frequently	Occasionally	Never	Rarely	Frequently	Never	Occasionally	Frequently	Frequently	Frequently	Frequently	Frequently	Never	Rarely	Frequently	Occasionally	Frequently	Frequently	Accurate;Cheap;Quick	Definitely	Respond	Probably not	NA	Likely	Likely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	PersonalAdvice;WorseMemory	NoInfo	Checkup;GroupSupport	Yes	Yes	Yes	No	Yes	Yes	Great extent	Great extent	Not at all	Not at all	Moderately	Moderately	Moderately	Moderately	Moderately	No	41-60	Sweden	Female	HighSchool	DomesticPartner	Employed	Yes	NA	NA	No	Yes	1	2	2	3	1	2	1	3	1	1	1	1	1	1	1	1	1	4	1	1	2	4	3	1	4	2	1	1	1	1	1	4	3	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	2	1	1	1	1	3	3	2	2	2	2	2	3	161	1	3	3	Äter prebiotika	NA	NA	NA	NA	NA	NA	NA	NA
119016	4973449	swedish	se	Yes	Frequently	Very strong	Strong	Moderate	Moderate	Moderate	Very strong	Strong	Moderate	Strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Occasionally	Never	Frequently	Frequently	Never	Occasionally	Frequently	Frequently	Occasionally	Frequently	Occasionally	Never	Frequently	Frequently	Frequently	Frequently	Frequently	Cheap;Quick	Probably	Information;Respond	Probably not	NA	Definitely not	Likely	Definitely	Definitely	Unlikely	Very likely	Very likely	Very likely	Already do	Likely	Very likely	Very likely	Very likely	Already do	NA	ImpactKnown	NoNeed	Checkup	No	Yes	Yes	Yes	Yes	Yes	Moderately	Moderately	Moderately	Not at all	Moderately	Moderately	Moderately	Moderately	Not at all	No	41-60	Sweden	Female	HighSchool	Unmarried	Stay-at-home;Unemployed	No	Excellent	Excellent	No	Yes	1	2	3	3	3	1	2	3	2	2	1	1	1	1	1	1	1	3	2	1	2	4	1	1	4	2	1	1	2	1	2	4	1	1	1	1	1	4	2	1	1	3	1	1	1	3	2	1	1	1	3	NA	2	1	1	1	1	1	2	2	2	3	2	2	2	2	3	3	161	1	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
119016	4973754	swedish	se	Yes	Rarely	Weak	Moderate	Strong	Moderate	Strong	Moderate	Very strong	Very strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Moderately important	Very important	Addiction;Alzheimer;Anxiety;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Frequently	Never	Occasionally	Never	Frequently	Frequently	Frequently	Frequently	Frequently	NA	Frequently	Never	Frequently	Frequently	Frequently	Frequently	Accurate;Cheap;NoPain	Definitely	Information;Respond	Probably	NA	Definitely	Likely	Definitely	Definitely	Definitely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Unlikely	Very likely	Very likely	NA	Diagnose;ImpactKnown;PersonalAdvice	NoInfo;NotHelp;NoTime	Checkup;GP	Unknown	Yes	No	Unknown	Yes	No	Great extent	Moderately	Moderately	Not at all	Moderately	Not at all	Moderately	Not at all	Moderately	No	41-60	Finland	Female	GradSchool	DomesticPartner	Employed	No	Excellent	NA	No	Yes	4	3	2	3	2	3	1	1	1	2	1	1	1	1	1	3	1	2	1	1	1	1	4	2	4	1	1	1	1	1	NA	1	4	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	4	1	1	NA	3	1	2	3	1	2	1	2	2	3	2	3	2	3	2	3	48	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119016	5177021	swedish	se	Yes	Frequently	Strong	Moderate	Very strong	Moderate	Moderate	Moderate	Very strong	Moderate	Moderate	Moderate	Very strong	Moderately important	Moderately important	Very important	Moderately important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Occasionally	Frequently	Never	Frequently	Rarely	Never	Frequently	Never	Frequently	Frequently	Occasionally	Never	Never	Occasionally	Rarely	Never	Never	Rarely	Accurate;SocialSecurity	Probably not	NA	NA	Don't want to know	Likely	Likely	Likely	Likely	Definitely	Unlikely	Already do	Already do	Already do	Unlikely	Unlikely	Unlikely	Already do	Already do	NA	Fun;ImpactKnown;WorseMemory	GiveupHobby;NoMotivation;NotHelp	Checkup;MobileApp	No	Yes	No	Yes	Yes	Yes	Great extent	Great extent	Great extent	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	No	26-40	Sweden	Male	GradSchool	DomesticPartner	Employed	Yes	Excellent	NA	No	Yes	2	3	1	3	3	3	1	3	3	3	1	3	3	1	3	1	1	2	1	2	1	4	1	3	4	1	4	1	1	2	4	4	2	3	4	4	3	2	2	2	2	1	4	3	3	3	4	4	4	3	3	NA	2	1	2	1	1	1	1	1	1	3	3	1	1	3	3	2	161	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119016	5180802	swedish	se	Yes	Rarely	Moderate	Moderate	Strong	Moderate	Moderate	Strong	Very strong	Moderate	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Moderately important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Occasionally	Frequently	Rarely	Frequently	Never	Frequently	Frequently	Occasionally	Occasionally	Rarely	NA	Rarely	Occasionally	Frequently	Never	Occasionally	Frequently	Accurate;NoPain;SocialSecurity	Probably	Information;Respond	Probably	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Already do	Very likely	Very likely	NA	Diagnose;PersonalAdvice;WorseMemory	Alone;NotHelp;NoTime	Checkup;GP;SupportFamily	Yes	Yes	No	Yes	Yes	Yes	Great extent	Great extent	Great extent	Moderately	Moderately	Moderately	Great extent	Not at all	Moderately	No	26-40	Sweden	Female	GradSchool	Unmarried	Employed	No	NA	NA	No	No	3	3	2	3	3	2	1	3	1	1	1	1	1	1	1	3	1	2	1	1	2	1	3	1	4	1	1	2	2	3	NA	3	2	1	4	2	1	1	1	1	1	1	2	1	1	1	2	2	3	1	1	NA	1	1	2	1	1	1	1	1	1	2	2	2	1	3	2	2	161	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
119016	5182692	swedish	se	Yes	Frequently	Very strong	Strong	Strong	Moderate	Strong	Strong	Very strong	Strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	Occasionally	Frequently	Frequently	Never	Frequently	Frequently	Never	Frequently	Frequently	Frequently	Occasionally	Frequently	Frequently	Never	Frequently	Frequently	Frequently	Frequently	Frequently	Cheap;NoPain;SocialSecurity	Probably	Learn about the risk	Probably	NA	Unlikely	Definitely	Definitely	Definitely	Likely	Likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	Not at all	Family;ImpactKnown;WorseMemory	GiveupHobby;NotHelp;StartNoFun	Checkup;GroupSupport;MobileApp	Unknown	Yes	Yes	Unknown	Unknown	Yes	Great extent	Moderately	Moderately	Moderately	Great extent	Great extent	Great extent	Moderately	Great extent	No	61-70	Sweden	Female	GradSchool	DomesticPartner	Employed	Yes	Excellent	Excellent	Yes	No	1	2	2	3	2	2	1	2	1	2	1	1	1	1	1	1	1	4	2	1	1	4	1	1	4	1	1	1	2	1	1	4	1	1	1	1	1	3	1	1	1	2	2	1	1	1	2	1	2	1	1	5	3	1	1	3	3	1	1	2	2	2	1	1	1	2	1	4	161	1	5	3	Äter kolhydratfattig kost	NA	NA	NA	NA	NA	NA	NA	NA
119016	5203538	swedish	se	Yes	Frequently	Very strong	Very strong	Strong	Strong	Moderate	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Occasionally	Frequently	Occasionally	Occasionally	Frequently	Never	Frequently	Occasionally	Occasionally	Frequently	Occasionally	NA	Frequently	Occasionally	Frequently	Frequently	Occasionally	Frequently	Cheap;OnlineCriteria;SocialSecurity	Definitely	Information;Respond	Probably	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Diagnose;PersonalAdvice;WorseMemory	Alone;NoInfo;NotHelp	Checkup;GP	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Great extent	Not at all	Moderately	Moderately	Moderately	Not at all	Moderately	No	26-40	Sweden	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	No	No	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	4	1	2	2	1	2	NA	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	2	1	3	2	2	2	3	2	2	161	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119016	5402707	swedish	se	Yes	Frequently	Strong	Moderate	Very strong	Moderate	Strong	Very strong	Very strong	Moderate	Strong	Strong	Very strong	Very important	Important	Important	Very important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Occasionally	Never	Occasionally	Never	Occasionally	Never	Rarely	Never	Rarely	Occasionally	Occasionally	Never	Occasionally	Never	Occasionally	Occasionally	Never	Rarely	Cheap;OnlineCriteria;SocialSecurity	Definitely	Learn about the risk	Definitely	NA	Likely	Likely	Definitely	Likely	Definitely	Likely	Very likely	Very likely	Likely	Likely	Not at all	Likely	Very likely	Very likely	NA	Diagnose;WorseMemory	NoInfo;NoTime;StartNoFun	Checkup	Yes	Yes	Yes	Unknown	No	Yes	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	No	41-60	Sweden	Male	GradSchool	Unmarried	Employed	No	NA	NA	Yes	No	2	3	1	3	2	1	1	3	2	2	1	1	2	2	1	2	2	2	2	2	4	2	4	2	4	3	4	3	2	2	4	2	4	2	2	4	3	2	2	1	2	1	2	1	1	2	2	5	2	1	1	NA	1	1	1	3	2	1	1	2	2	2	2	1	1	3	2	3	161	2	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
