form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
119157	4908144	catalan	cat	Yes	Frequently	Strong	Strong	Very strong	Moderate	Moderate	Strong	Strong	Strong	Strong	Moderate	Strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Rarely	Frequently	Never	Frequently	Rarely	Frequently	Occasionally	Occasionally	NA	Frequently	Rarely	Frequently	Occasionally	Rarely	Occasionally	Accurate;Cheap;NoPain	Definitely	Learn about the risk	Definitely	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Very likely	NA	Family;ImpactKnown;WorseMemory	NoInfo;NoTime	Checkup;GP;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Moderately	Not at all	Great extent	Great extent	Not at all	Moderately	Yes	26-40	Spain	Male	GradSchool	Unmarried	Employed;Student	Yes	Excellent	NA	No	Yes	2	2	1	3	3	2	2	2	2	3	2	1	1	1	1	1	1	2	1	1	2	2	3	1	4	1	3	1	2	2	NA	1	3	1	2	3	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	NA	1	1	1	1	1	1	1	1	1	2	3	1	1	3	2	2	53	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
119157	4908235	catalan	cat	Yes	Occasionally	Strong	Strong	Strong	Strong	Strong	Strong	Strong	Moderate	Very strong	Strong	Very strong	Very important	Very important	Important	Very important	Very important	Important	Addiction;Alzheimer;Anxiety;Arthritis;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Frequently	Never	Rarely	Frequently	Rarely	Frequently	Never	Occasionally	Frequently	Occasionally	NA	Never	Occasionally	Frequently	Frequently	Never	Occasionally	Accurate;NoPain;SocialSecurity	Definitely	Prepare;Respond	Definitely	NA	Likely	Unlikely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Very likely	NA	Other motivation	Alone;NoInfo;NoTime	Checkup;GP;GroupSupport;MobileApp;OtherAssistance;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	No	26-40	Spain	Female	GradSchool	Unmarried	Employed;Stay-at-home;Student	Yes	NA	NA	No	Yes	2	2	2	2	2	2	2	3	1	2	1	1	1	2	1	1	2	3	2	2	1	4	3	1	3	1	4	2	1	2	NA	4	2	1	1	4	2	2	3	1	1	1	1	1	1	1	1	2	2	2	1	NA	1	1	1	1	1	1	1	2	2	3	3	1	1	3	3	2	53	2	5	2	NA	NA	NA	NA	NA	NA	Si a la feina es promoguéssin iniciatives, d'alimentació, d'esport, de relaxació, tallers informatius, ...	NA	disponibilitat de temps
119157	4908428	catalan	cat	Yes	Occasionally	Strong	Strong	Very strong	Moderate	Moderate	Moderate	Strong	Strong	Strong	Very strong	Very strong	Very important	Very important	Moderately important	Moderately important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Schizophrenia;Stroke	Occasionally	Occasionally	Occasionally	Frequently	Frequently	Rarely	Rarely	Never	Occasionally	Never	Occasionally	Occasionally	Occasionally	NA	Occasionally	Never	Frequently	Occasionally	Never	Occasionally	Accurate;Cheap;NoPain	Probably	Information;Respond	Probably	NA	Definitely	Unlikely	Likely	Likely	Likely	Likely	Likely	Already do	Likely	Likely	Likely	Likely	Likely	Already do	NA	Diagnose;Family;WorseMemory	NoInfo;NoMotivation;StartNoFun	Checkup;GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	No	41-60	Spain	Female	GradSchool	DomesticPartner	Employed	No	Excellent	NA	No	No	2	2	1	3	3	3	2	2	2	1	1	1	1	3	3	1	2	2	2	2	1	1	3	3	4	2	4	2	2	2	NA	2	4	1	2	4	2	1	3	2	2	2	2	2	3	2	2	2	2	2	3	NA	1	1	1	1	1	1	1	1	1	2	2	1	1	3	2	3	53	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119157	4908464	catalan	cat	Yes	Rarely	Weak	Strong	Very strong	Strong	Strong	Strong	Moderate	Very strong	Very strong	Very strong	Very strong	Important	Very important	Important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Frequently	Rarely	Frequently	Rarely	Frequently	Frequently	Occasionally	Never	Occasionally	Occasionally	Rarely	NA	Frequently	Occasionally	Frequently	Occasionally	Never	Frequently	Cheap;NoPain	Definitely	Prepare;Respond	Probably	NA	Definitely	Definitely	Likely	Definitely	Likely	Unlikely	Very likely	Likely	Already do	Unlikely	Unlikely	Unlikely	Likely	Likely	NA	Family;WorseMemory	NoTime;StartNoFun	GP;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Moderately	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	No	26-40	Spain	Male	GradSchool	Unmarried	Employed	No	Excellent	NA	Yes	No	4	2	1	2	2	2	3	1	1	1	1	2	1	2	1	2	1	2	2	1	3	1	3	1	1	2	4	2	2	3	NA	1	2	1	2	4	1	1	1	2	1	2	4	1	2	3	4	4	4	2	2	NA	1	1	1	1	1	1	1	1	2	3	3	1	1	3	3	2	53	1	5	2	Planificar el meu dia dia amb temps suficient	NA	NA	NA	NA	NA	NA	NA	NA
119157	4908590	catalan	cat	Yes	Occasionally	Very strong	Strong	Strong	Moderate	Moderate	Strong	Strong	Strong	Very strong	Very strong	Very strong	Very important	Very important	Important	Moderately important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Frequently	Frequently	Never	Occasionally	Never	Frequently	Never	Frequently	Rarely	Rarely	NA	Frequently	Never	Frequently	Occasionally	Never	Frequently	Accurate;NoPain;SocialSecurity	Probably not	NA	NA	Don't want to know	Unlikely	Definitely	Likely	Likely	Definitely	Already do	Likely	Likely	Very likely	Unlikely	Not at all	Already do	Likely	Already do	NA	Diagnose;FamilySupport;WorseMemory	GiveupHobby;NoMotivation	Checkup;GP;SupportFamily	Yes	Yes	Yes	Unknown	Unknown	Unknown	Great extent	Moderately	Great extent	Moderately	Not at all	Moderately	Moderately	Not at all	Moderately	No	18-25	Spain	Male	GradSchool	Single	Employed;Student	Yes	NA	NA	Yes	No	1	2	2	3	3	2	2	2	1	1	1	1	1	2	3	2	2	3	1	1	1	1	4	2	4	1	4	1	3	3	NA	1	4	1	2	4	1	3	1	2	2	1	3	2	2	1	4	5	3	2	3	NA	1	1	1	3	3	3	1	2	1	2	3	2	2	3	2	1	53	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
119157	4909255	catalan	cat	Yes	Frequently	Very strong	Very strong	Very strong	Weak	Strong	Moderate	Very strong	Very strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Arthritis;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Frequently	Rarely	Rarely	Occasionally	Never	Frequently	Never	Occasionally	Frequently	Frequently	NA	Rarely	Never	Frequently	Never	Never	Occasionally	Accurate;NoPain;SocialSecurity	Probably	Learn about the risk	Probably not	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	Very likely	NA	Family;PersonalAdvice	NoNeed	GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Unknown	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	No	26-40	Spain	Male	GradSchool	Unmarried	Employed	Yes	NA	NA	No	Yes	1	1	1	4	2	3	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	3	3	2	4	1	4	2	1	1	NA	3	4	1	4	4	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	NA	1	1	1	1	1	3	1	2	2	2	2	1	1	3	2	2	53	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
119157	4909274	catalan	cat	Yes	Occasionally	Strong	Very strong	Very strong	Weak	Strong	Strong	Very strong	Very strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Occasionally	Occasionally	Frequently	Occasionally	Frequently	Never	Frequently	Never	Occasionally	Occasionally	Occasionally	NA	Frequently	Frequently	Frequently	Never	Never	Occasionally	Accurate;Cheap;SocialSecurity	Definitely	Respond	Probably	NA	Definitely	Definitely	Definitely	Likely	Definitely	Already do	Very likely	Very likely	Already do	Likely	Very likely	Likely	Likely	Already do	NA	Diagnose;Family;WorseMemory	GiveupHobby;StartNoFun	Checkup;GP	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	No	26-40	Spain	Male	GradSchool	Single	Employed	Yes	NA	NA	No	No	2	1	1	4	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	2	1	4	1	4	2	2	2	NA	1	1	1	4	4	2	1	1	1	2	1	3	1	1	3	2	1	2	2	3	NA	1	1	1	1	1	1	1	2	2	3	3	1	1	3	3	2	53	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
119157	4909398	catalan	cat	Yes	Rarely	Strong	Strong	Strong	Moderate	Strong	Moderate	Strong	Strong	Very strong	Very strong	Strong	Very important	Very important	Important	Important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia	Rarely	Occasionally	Frequently	Frequently	Frequently	Rarely	Frequently	Never	Frequently	Never	Frequently	Frequently	Frequently	NA	Rarely	Occasionally	Occasionally	Never	Never	Rarely	Accurate;Cheap;NoPain	Probably	Respond	Probably	NA	Definitely	Unlikely	Definitely	Unlikely	Likely	Already do	Likely	Very likely	Already do	Already do	Already do	Already do	Likely	Already do	NA	Diagnose;PersonalAdvice;WorseMemory	GiveupHobby;NotHelp;NoTime	Checkup	Yes	Yes	No	Yes	Yes	Yes	Great extent	Great extent	Great extent	Moderately	Moderately	Great extent	Great extent	Moderately	Great extent	No	26-40	Spain	Male	GradSchool	DomesticPartner	Employed	No	NA	NA	No	No	2	2	2	3	2	3	2	2	1	1	2	1	1	2	2	2	2	3	2	1	1	1	3	1	4	1	4	1	1	1	NA	3	2	2	4	4	3	1	3	1	3	2	3	2	1	3	3	3	3	2	3	NA	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	2	53	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119157	4909447	catalan	cat	Yes	Frequently	Very strong	Strong	Strong	Moderate	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Rarely	Rarely	Frequently	Rarely	Rarely	Occasionally	Occasionally	NA	Rarely	NA	Occasionally	Rarely	Never	Rarely	Accurate;SocialSecurity	Probably	Respond	Probably not	NA	Likely	Likely	Definitely	Definitely	Definitely	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	NA	PersonalAdvice;WorseMemory	NoTime	GP	Yes	Yes	Yes	Yes	Yes	No	Great extent	Moderately	Moderately	Moderately	Not at all	Great extent	Great extent	Moderately	Moderately	No	26-40	Spain	Male	GradSchool	Single	Employed	Yes	NA	NA	No	Yes	1	2	2	3	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	2	3	3	1	3	3	2	2	NA	3	NA	2	3	4	3	2	2	1	1	1	2	1	2	2	2	2	2	2	2	NA	1	1	1	1	1	2	1	2	2	2	3	1	1	2	2	2	53	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
119157	4909737	catalan	cat	Yes	Occasionally	Very strong	Moderate	Strong	Weak	Strong	Strong	Very strong	Moderate	Strong	Moderate	Very strong	Very important	Very important	Very important	Important	Very important	Very important	Alzheimer;Anxiety;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Frequently	Rarely	Occasionally	Never	Frequently	Never	Occasionally	Frequently	Frequently	NA	Frequently	Never	Occasionally	Never	Never	Never	Accurate;Cheap	Definitely	Prepare;Respond	Probably	NA	Likely	Definitely	Likely	Definitely	Definitely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Already do	NA	Diagnose;PersonalAdvice;WorseMemory	NoInfo	GP	Unknown	Unknown	Unknown	Unknown	No	No	Great extent	Great extent	Great extent	Moderately	Not at all	Moderately	Great extent	Not at all	Moderately	No	41-60	Spain	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	No	No	1	3	2	4	2	2	1	3	2	3	1	1	1	1	2	1	1	2	1	1	1	1	3	2	4	1	4	2	1	1	NA	1	4	2	4	4	4	2	1	2	1	1	2	1	1	2	2	2	2	2	3	NA	3	3	3	3	2	2	1	1	1	2	3	2	1	3	2	3	53	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
