form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
119161	4912054	spanish	sp	Yes	Never	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia	Rarely	Rarely	Occasionally	Occasionally	Never	Occasionally	Occasionally	Never	Occasionally	Occasionally	Rarely	Never	Never	NA	Never	Never	Never	Never	Never	Never	Accurate;NoPain;SocialSecurity	Probably	Respond	Definitely not	NA	NA	NA	Definitely	NA	NA	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Other motivation	NoTime	Checkup;GP;GroupSupport;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Moderately	Not at all	Great extent	Moderately	Not at all	Moderately	No	41-60	Spain	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	No	Yes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	2	4	2	2	4	2	2	3	4	4	NA	4	4	4	4	4	4	NA	NA	1	NA	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	2	2	2	3	1	2	3	2	3	55	1	5	3	NA	NA	NA	NA	NA	NA	disponer de más tiempo libre	NA	NA
119161	4923118	spanish	sp	Yes	Occasionally	Strong	Moderate	Strong	Moderate	Strong	Strong	Strong	Moderate	Strong	Strong	Strong	Very important	Very important	Important	Important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Rarely	Frequently	Frequently	Never	Occasionally	Frequently	Never	Frequently	Frequently	Occasionally	Rarely	Frequently	NA	Never	Frequently	Frequently	Frequently	Occasionally	Occasionally	Cheap;Quick;SocialSecurity	Definitely	Learn about the risk	Definitely	NA	Unlikely	Unlikely	Likely	Definitely	Likely	Likely	Very likely	Unlikely	Very likely	Likely	Likely	Likely	Likely	Already do	NA	ImpactKnown;PersonalAdvice	NoInfo;NotHelp	GP;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Moderately	Moderately	Moderately	Not at all	Moderately	No	61-70	Spain	Female	VocationSchool	Divorced	Pensioned	No	NA	NA	Yes	Yes	2	3	2	3	2	2	2	3	2	2	2	1	1	2	2	2	2	2	3	1	1	4	2	1	4	1	1	2	3	1	NA	4	1	1	1	2	2	3	3	2	1	2	2	1	4	1	2	2	2	2	3	NA	1	1	3	1	1	1	1	2	2	3	2	2	2	3	2	4	55	1	4	4	Crucigrama	NA	NA	NA	Aprovechar el tiempo	Lectura	NA	NA	NA
119161	4923125	spanish	sp	Yes	Occasionally	NA	NA	NA	NA	NA	NA	Strong	NA	NA	NA	NA	NA	NA	NA	Very important	NA	NA	Arthritis;Cancer;Diabetes;Hypertension;Stroke	NA	Frequently	NA	Occasionally	NA	NA	Frequently	Frequently	Frequently	Occasionally	NA	Frequently	Frequently	NA	NA	NA	Frequently	Frequently	Occasionally	NA	NoPain;Quick;SocialSecurity	Probably	Prepare;Respond	Probably	NA	Definitely	NA	NA	Definitely	NA	NA	Very likely	NA	NA	NA	NA	Very likely	NA	Very likely	NA	ImpactKnown;WorseMemory	NoInfo	GP;SupportFamily	NA	Yes	NA	Yes	Yes	NA	Great extent	NA	NA	NA	NA	NA	NA	NA	NA	No	61-70	Spain	Female	VocationSchool	Widowed	Pensioned	No	NA	NA	Yes	No	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	2	NA	NA	1	1	1	2	NA	1	1	NA	NA	NA	1	1	2	NA	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA	1	NA	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	4	55	1	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA
119161	4923135	spanish	sp	Yes	Rarely	Moderate	Strong	Strong	Strong	Strong	Strong	Weak	Strong	Moderate	Strong	Strong	Important	Very important	Important	Important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Rarely	Occasionally	Occasionally	Frequently	Frequently	Occasionally	Rarely	Frequently	Frequently	Occasionally	Rarely	Occasionally	NA	Frequently	Frequently	Occasionally	Frequently	Frequently	Occasionally	Accurate;SocialSecurity	Definitely	Respond	Probably	NA	Likely	Likely	Definitely	Likely	Definitely	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	NA	WorseMemory	NoMotivation	GP;SupportFamily	Yes	Yes	Unknown	Yes	Yes	No	Great extent	Moderately	Moderately	Not at all	Not at all	Not at all	Moderately	Not at all	Not at all	No	41-60	Spain	Female	VocationSchool	Unmarried	Employed	No	NA	NA	No	No	3	2	2	2	2	2	4	2	3	2	2	2	1	2	2	2	2	3	3	2	2	1	1	2	3	1	1	2	3	2	NA	1	1	2	1	1	2	2	2	1	2	1	4	4	4	4	4	4	4	4	4	NA	1	1	3	1	1	2	1	2	2	3	3	3	2	3	3	3	55	1	4	2	Meditar	NA	NA	NA	NA	NA	NA	NA	NA
119161	4923167	spanish	sp	Yes	Occasionally	Moderate	Strong	Weak	Strong	Strong	Strong	Moderate	Strong	Strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Bipolar;Cancer;Hypertension;Migraine;Schizophrenia;Stroke	Occasionally	Occasionally	Frequently	Occasionally	Rarely	Occasionally	Occasionally	Never	Frequently	Occasionally	Frequently	Occasionally	Frequently	NA	Rarely	Occasionally	Occasionally	Frequently	Occasionally	Frequently	Accurate;Cheap;SocialSecurity	Definitely	Learn about the risk	Definitely	NA	NA	Likely	Definitely	Likely	Definitely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Family;WorseMemory	Expensive;NoInfo	Checkup;GP	Yes	Yes	No	Yes	Yes	Yes	Great extent	Great extent	Moderately	Moderately	Moderately	Moderately	Moderately	Not at all	Moderately	No	41-60	Spain	Female	HighSchool	Unmarried	Unemployed	No	NA	NA	Yes	No	3	2	4	2	2	2	3	2	2	2	1	1	1	1	1	1	1	2	2	1	2	3	2	2	4	1	2	1	2	1	NA	3	2	2	1	2	1	NA	2	1	2	1	2	1	1	1	1	1	1	1	1	NA	1	1	2	1	1	1	1	1	2	2	2	2	2	3	2	3	55	1	3	2	Ser optimista y canalizar o intentar las emocionesas	NA	NA	NA	NA	NA	NA	NA	NA
119161	4923515	spanish	sp	Yes	Frequently	Strong	Very strong	Strong	Very strong	Very strong	Very strong	Strong	Very strong	Very strong	Very strong	Strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Migraine;Schizophrenia;Stroke	Never	Frequently	Frequently	Occasionally	Frequently	Frequently	Frequently	Rarely	Occasionally	Occasionally	Frequently	Frequently	Frequently	NA	Frequently	Rarely	Frequently	Rarely	Occasionally	Rarely	Accurate;NoPain;SocialSecurity	Definitely	Learn about the risk	Definitely	NA	Definitely	Definitely	Definitely	Likely	Definitely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Already do	Already do	Very likely	Other motivation	Other motivation	OtherAssistance	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Great extent	Moderately	Not at all	Moderately	Moderately	Not at all	Moderately	No	26-40	Spain	Male	HighSchool	Unmarried	Unemployed	No	NA	NA	No	Yes	2	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	4	1	1	2	1	1	1	3	2	2	1	1	1	NA	1	3	1	3	2	3	1	1	1	2	1	1	1	1	1	2	1	2	3	3	1	1	1	1	1	1	1	1	2	1	2	3	2	2	3	2	2	55	2	3	2	Acupuntura	NA	NA	NA	Dejar de trabajar	Viajar	Tomar medicación	Depende de lo económico y de donde vivas ....	Económico
119161	4923604	spanish	sp	Yes	Rarely	Strong	Moderate	Strong	Moderate	Very strong	Strong	Strong	Strong	Strong	Moderate	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Frequently	Never	Occasionally	Frequently	Never	Occasionally	Frequently	Occasionally	Occasionally	Occasionally	NA	Never	Frequently	Frequently	Never	Occasionally	Frequently	Accurate;NoPain;SocialSecurity	Definitely	Learn about the risk	Probably	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Likely	Likely	Very likely	Very likely	Likely	Very likely	Already do	Already do	NA	Diagnose;Fun;WorseMemory	GiveupHobby;NoMotivation;NoTime	Checkup;GP;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Moderately	Not at all	Moderately	Moderately	Moderately	Not at all	Not at all	No	41-60	Spain	Female	GradSchool	Unmarried	Employed	Yes	NA	NA	No	No	2	3	2	3	1	2	2	2	2	3	1	1	1	1	1	1	1	3	2	2	1	4	2	1	4	2	1	2	2	2	NA	4	1	1	4	2	1	2	1	1	1	1	1	2	2	1	1	2	1	3	3	NA	1	1	1	1	1	1	1	1	2	3	2	2	2	3	3	3	55	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
119161	4923730	spanish	sp	Yes	Frequently	Strong	Strong	Strong	Strong	Strong	Moderate	Strong	Strong	Strong	Strong	Strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Schizophrenia;Stroke	Never	Occasionally	Rarely	Occasionally	Rarely	Never	Frequently	Frequently	Frequently	Occasionally	Occasionally	Rarely	Occasionally	NA	Rarely	Never	Frequently	Frequently	Occasionally	Frequently	Cheap;Quick;SocialSecurity	Definitely	Respond	Definitely	NA	Definitely	Likely	Definitely	Definitely	Definitely	Likely	Very likely	Very likely	Already do	Likely	Likely	Likely	Already do	Likely	NA	WorseMemory	NoInfo	Checkup	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Moderately	Moderately	No	41-60	Spain	Female	HighSchool	DomesticPartner	Employed	No	NA	NA	No	No	2	2	2	2	2	3	2	2	2	2	2	1	1	1	1	1	1	4	2	3	2	3	4	1	1	1	2	2	3	2	NA	3	4	1	1	2	1	1	2	1	1	1	2	1	1	3	2	2	2	3	2	NA	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	3	55	1	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119161	4924457	spanish	sp	Yes	Occasionally	Strong	Very strong	Very strong	Moderate	Very strong	Strong	Strong	Moderate	Moderate	Very strong	Very strong	Very important	Very important	Important	Very important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Occasionally	Rarely	Rarely	Frequently	Never	Frequently	Rarely	Frequently	Occasionally	Rarely	NA	Never	Rarely	Frequently	Rarely	Never	Rarely	Accurate;Cheap;Quick	Definitely	Information;Respond	Probably	NA	Definitely	Likely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Already do	NA	Fun;PersonalAdvice;WorseMemory	Expensive;GiveupHobby;NoMotivation	Checkup;GP;MobileApp;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Unknown	Great extent	Moderately	Moderately	Not at all	Moderately	Moderately	Moderately	Not at all	Not at all	No	26-40	Spain	Female	GradSchool	DomesticPartner	Employed	No	NA	Excellent	No	No	2	1	1	3	1	2	2	3	3	1	1	1	1	2	1	1	2	2	1	1	2	3	3	1	4	1	3	1	2	3	NA	4	3	1	3	4	3	1	2	1	1	1	1	1	1	1	1	1	1	1	3	NA	1	1	3	1	1	3	1	2	2	3	2	2	2	3	3	2	55	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119161	4924529	spanish	sp	Yes	Occasionally	Strong	Moderate	Very strong	Very strong	Strong	Moderate	Moderate	Strong	Strong	Strong	Moderate	Important	Important	Very important	Very important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Rarely	Rarely	Occasionally	Never	Never	Rarely	Frequently	Occasionally	Never	Occasionally	Never	Rarely	NA	Never	Never	Never	Rarely	Never	Never	Accurate;Cheap;Quick	Definitely	Information;Respond	Definitely	NA	Definitely	Unlikely	Likely	Likely	Likely	Unlikely	Likely	Likely	Likely	Unlikely	Unlikely	Likely	Unlikely	Unlikely	Unlikely	FamilySupport;PersonalAdvice;WorseMemory	NoInfo;NotHelp;NoTime	Checkup;GP;SupportFamily	Yes	Yes	Unknown	Unknown	Unknown	Unknown	Moderately	Moderately	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all	Not at all	No	41-60	Spain	Male	PrimarySchool	DomesticPartner	Employed	No	NA	NA	No	No	2	3	1	1	2	3	3	2	2	2	3	2	2	1	1	2	2	2	3	3	2	4	4	3	1	2	4	2	4	3	NA	4	4	4	3	4	4	1	3	2	2	2	4	2	2	2	4	4	2	4	4	4	1	1	3	3	3	3	2	2	3	3	3	3	2	3	3	3	55	2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
