form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
119162	4931530	german	ge	Yes	Occasionally	Very strong	Strong	Strong	Strong	Strong	Very strong	Very strong	Strong	Strong	Very strong	Strong	Very important	Important	Very important	Very important	Moderately important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Occasionally	Rarely	Occasionally	Occasionally	Never	Occasionally	Never	Rarely	Frequently	Frequently	NA	Rarely	Rarely	Rarely	Rarely	Never	Rarely	Cheap;OnlineCriteria;Quick	Definitely	Learn about the risk	Definitely	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Likely	Very likely	Very likely	Likely	Unlikely	Likely	Already do	Not at all	Very likely	NA	Diagnose;ImpactKnown;WorseMemory	GiveupHobby;NoTime;StartNoFun	GP;GroupSupport;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Moderately	Great extent	Great extent	Not at all	Moderately	Yes	41-60	Germany	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	No	1	2	2	2	2	1	1	2	2	1	2	1	2	1	1	3	1	3	1	1	2	3	2	2	4	2	4	3	1	1	NA	3	3	3	3	4	3	1	1	1	1	1	2	1	1	2	4	2	3	5	1	NA	1	1	1	1	1	1	1	2	2	3	2	1	1	3	2	3	34	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119162	4934364	german	ge	Yes	Frequently	Very strong	Moderate	Very strong	Moderate	Strong	Strong	Very strong	Weak	Strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Occasionally	Frequently	Frequently	Rarely	Occasionally	Never	Frequently	Frequently	Occasionally	Frequently	Occasionally	NA	Frequently	Rarely	Occasionally	Frequently	Frequently	Occasionally	Accurate;OnlineCriteria;Quick	Definitely	Information;Respond	Probably	NA	Likely	Definitely	Likely	Likely	Definitely	Already do	Very likely	Very likely	Very likely	Unlikely	Very likely	Already do	Not at all	Very likely	NA	Diagnose;ImpactKnown	NoMotivation;NoTime	Checkup;GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Moderately	Moderately	Moderately	Great extent	Not at all	Moderately	No	41-60	Germany	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	Yes	1	3	1	3	2	2	1	4	2	2	1	1	1	1	1	1	1	3	1	2	1	1	3	2	4	1	1	2	1	2	NA	1	3	2	1	1	2	2	1	2	2	1	3	1	1	1	4	1	3	5	1	NA	1	1	1	1	1	1	1	2	2	2	2	2	1	3	2	3	34	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119162	4947646	german	ge	Yes	Frequently	Strong	Very strong	Strong	Strong	Very strong	Strong	Strong	Very strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Moderately important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Occasionally	Frequently	Never	Occasionally	Occasionally	Never	Frequently	Never	Occasionally	Occasionally	Occasionally	Never	Rarely	Occasionally	Occasionally	Frequently	Never	Occasionally	Accurate;Cheap;NoPain	Definitely	Information;Respond	Probably	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Not at all	Not at all	NA	Diagnose;ImpactKnown;WorseMemory	Expensive;NoMotivation;NoTime	Checkup;GP;GroupSupport	No	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Great extent	Moderately	Great extent	Great extent	Not at all	Moderately	Yes	26-40	Germany	Female	GradSchool	Unmarried	Employed;Student	Yes	NA	NA	No	No	2	1	2	2	1	2	2	1	1	2	1	1	1	1	1	3	1	2	2	2	1	4	2	2	4	1	4	2	2	2	4	3	2	2	1	4	2	2	1	1	1	1	1	1	1	1	1	1	1	5	5	NA	2	1	1	1	1	1	1	1	1	1	2	1	1	3	2	2	34	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
119162	4955219	german	ge	Yes	Occasionally	Moderate	Strong	Moderate	Weak	Moderate	Weak	Moderate	Strong	Strong	Strong	Very strong	Very important	Very important	Very important	Very important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Never	Rarely	Occasionally	Frequently	Rarely	Occasionally	Frequently	Never	Frequently	Frequently	Occasionally	Rarely	Frequently	NA	Never	Occasionally	Occasionally	Occasionally	Frequently	Occasionally	Cheap;NoPain;SocialSecurity	Definitely	Learn about the risk	Probably	NA	Likely	Definitely	Likely	Unlikely	Likely	Very likely	Likely	Unlikely	Unlikely	Likely	Likely	Already do	Not at all	Already do	NA	Fun;PersonalAdvice;WorseMemory	GiveupHobby;NoMotivation;StartNoFun	Checkup;GP	Unknown	Yes	Yes	Yes	Unknown	Unknown	Great extent	Moderately	Moderately	Not at all	Moderately	Great extent	Great extent	Not at all	Moderately	No	26-40	Germany	Male	GradSchool	Single	Employed	No	NA	NA	Yes	No	3	2	3	4	3	4	3	2	2	2	1	1	1	1	1	2	2	4	3	2	1	3	2	1	4	1	1	2	3	1	NA	4	2	2	2	1	2	2	1	2	3	2	1	2	4	4	2	2	3	5	3	NA	3	1	1	1	3	3	1	2	2	3	2	1	1	3	2	2	34	2	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
119162	4966660	german	ge	Yes	Occasionally	Very strong	Very strong	Moderate	Moderate	Strong	Very strong	Very strong	Very strong	Strong	Very strong	Strong	Important	Important	Very important	Very important	Important	Important	Addiction;Alzheimer;Anxiety;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Occasionally	Rarely	Occasionally	Rarely	Rarely	Occasionally	Rarely	Frequently	Occasionally	Occasionally	NA	Rarely	Frequently	Occasionally	Occasionally	Rarely	Frequently	Accurate;NoPain;SocialSecurity	Probably	Information;Respond	Probably not	NA	Definitely	NA	Likely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	NA	NA	NA	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NoInfo	GroupSupport;MobileApp;SupportFamily	Yes	Yes	Unknown	No	Yes	Yes	Great extent	NA	Great extent	NA	Great extent	Great extent	Great extent	NA	NA	Yes	41-60	Germany	Male	GradSchool	DomesticPartner	Employed	Yes	NA	Excellent	No	No	1	1	3	3	2	1	1	1	2	1	2	2	2	1	1	2	2	3	1	1	2	3	2	3	3	2	3	1	2	2	NA	3	1	2	2	3	1	1	NA	2	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	1	1	3	2	1	1	1	NA	1	NA	1	1	1	NA	NA	3	34	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119162	4973499	german	ge	Yes	Rarely	Moderate	Strong	Very strong	Moderate	Strong	Weak	Moderate	Strong	Strong	Strong	Moderate	Important	Important	Important	Important	Moderately important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia	Occasionally	Occasionally	Occasionally	Occasionally	Never	Rarely	Occasionally	Rarely	Occasionally	Occasionally	Occasionally	Never	Never	Never	Never	Never	Occasionally	Never	Never	Never	Accurate;NoPain;Quick	Definitely not	NA	NA	Other reasons	Definitely not	Definitely not	Definitely not	Definitely not	Definitely not	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	NA	NoMotivation	NoNeed	OtherAssistance	No	No	Yes	No	No	No	Moderately	Not at all	Moderately	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all	No	41-60	Germany	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	Yes	No	3	2	1	3	2	4	3	2	2	2	3	2	2	2	2	3	2	2	2	2	2	4	3	2	3	2	2	2	4	4	4	4	4	2	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	NA	2	2	1	2	2	2	2	3	2	3	3	3	3	2	3	3	34	1	5	3	NA	NA	NA	Bullshit	NA	NA	NA	NA	Hdzdjd
119162	4988779	german	ge	Yes	Rarely	Very strong	Moderate	Moderate	No influence	Moderate	Strong	Very strong	Weak	Strong	Strong	Very strong	Important	Very important	Moderately important	Moderately important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	Frequently	Frequently	Occasionally	Frequently	Rarely	Occasionally	Never	Frequently	Never	Occasionally	Frequently	Frequently	Never	Frequently	Rarely	Rarely	Never	Never	Never	Cheap;Quick;SocialSecurity	Definitely	Learn about the risk	Probably	NA	Likely	Definitely	Definitely	Likely	Definitely	Likely	Already do	Likely	Likely	Unlikely	Likely	Likely	Not at all	Very likely	NA	ImpactKnown	NoMotivation;NotHelp;NoTime	GroupSupport	Unknown	Yes	Unknown	Yes	Yes	Yes	Moderately	Moderately	Moderately	Not at all	Not at all	Moderately	Great extent	Not at all	Not at all	No	26-40	Germany	Male	GradSchool	Single	Employed	Yes	NA	NA	No	No	1	3	3	5	3	2	1	4	2	2	1	2	1	3	3	1	2	4	1	1	2	1	3	2	4	1	4	2	1	1	4	1	3	3	4	4	4	2	1	1	2	1	2	3	2	2	4	2	2	5	1	NA	3	1	3	1	1	1	2	2	2	3	3	2	1	3	3	2	34	2	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
119162	4988897	german	ge	Yes	Rarely	Strong	Strong	Strong	Strong	Moderate	Strong	Strong	Strong	Strong	Moderate	Very strong	Very important	Very important	Important	Very important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Frequently	Frequently	Frequently	Occasionally	Rarely	Never	Occasionally	Never	Frequently	Occasionally	Frequently	Frequently	Frequently	Occasionally	Rarely	Occasionally	Never	Frequently	Accurate;Cheap;NoPain	Definitely	Prepare;Respond	Probably	NA	Likely	Likely	Definitely	Definitely	Definitely	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Very likely	Already do	NA	Affordable;Diagnose;Fun	Alone;NoTime;StartNoFun	Checkup;GP;GroupSupport;MobileApp;OtherAssistance;SupportFamily	Unknown	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Moderately	Not at all	Moderately	Great extent	Not at all	Moderately	Yes	41-60	Germany	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	Yes	No	2	2	2	2	3	2	2	2	2	3	1	1	1	2	1	1	2	2	2	1	1	1	2	3	4	2	4	1	2	1	1	1	2	3	2	4	1	2	2	1	1	1	2	1	2	2	2	2	2	1	3	NA	3	1	1	1	1	1	1	2	2	2	3	2	1	3	2	3	34	1	5	3	akademisches Arbeitsumfeld	NA	NA	NA	Falls ein erbliches Risiko besteht von meinen Kindern vorsichtig in Erfahrung bringen, ob sie solche Informationen wissen wollen.	NA	NA	NA	breites Angebot an verschiedenen Aktivitäten (z.B. Volkshochschulkurse, etc)
119162	4988968	german	ge	Yes	Frequently	Strong	Strong	Strong	Strong	Strong	Moderate	Strong	Strong	Strong	Very strong	Strong	Very important	Very important	Very important	Very important	Moderately important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Frequently	Occasionally	Frequently	Occasionally	Never	Rarely	Rarely	Never	Occasionally	Never	Rarely	Occasionally	Rarely	NA	Never	Occasionally	Occasionally	Occasionally	Never	Rarely	Accurate;Cheap	Probably not	NA	NA	Don't want to know	Likely	Definitely	Definitely	Likely	Definitely	Very likely	Very likely	Very likely	Very likely	Unlikely	Very likely	Likely	NA	Very likely	NA	Fun;ImpactKnown;PersonalAdvice	NoMotivation;NotHelp;NoTime	Checkup;MobileApp	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Great extent	Moderately	Not at all	Great extent	Great extent	Not at all	Not at all	No	41-60	Germany	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	Yes	Yes	2	2	2	2	2	3	2	2	2	1	2	1	1	1	1	3	1	1	2	1	2	4	3	3	4	2	4	3	2	3	NA	4	2	2	2	4	3	2	1	1	2	1	1	1	1	1	4	1	2	NA	1	NA	1	1	1	1	1	1	1	2	1	2	3	1	1	3	3	3	34	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119162	4989078	german	ge	Yes	Occasionally	Weak	Strong	Strong	Moderate	Strong	Weak	Moderate	Strong	Moderate	Moderate	Strong	Important	Important	Important	Important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Occasionally	Occasionally	Frequently	Never	Frequently	Never	Frequently	Rarely	Rarely	NA	Occasionally	Rarely	Rarely	Rarely	Never	Rarely	Cheap;OnlineCriteria;Quick	Probably not	NA	NA	Don't want to know	NA	Definitely	Definitely	Likely	Definitely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Not at all	Already do	NA	Diagnose;ImpactKnown;WorseMemory	NotHelp;StartNoFun	Checkup;MobileApp	Yes	Yes	Yes	No	Unknown	Yes	NA	Great extent	Great extent	NA	NA	Great extent	Great extent	NA	NA	No	41-60	Germany	Male	GradSchool	Single	Employed	Yes	NA	Excellent	No	No	4	2	2	3	2	4	3	2	3	3	2	2	2	2	2	2	2	2	1	1	1	2	2	1	4	1	4	1	3	3	NA	2	3	3	3	4	3	NA	1	1	2	1	1	1	1	1	2	1	2	5	3	NA	1	1	1	2	3	1	NA	1	1	NA	NA	1	1	NA	NA	3	34	2	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
