form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
119773	4960371	danish	dk	Yes	Frequently	Moderate	Weak	Strong	Weak	Strong	Moderate	Moderate	Moderate	Very strong	Strong	Strong	Very important	Very important	Very important	Important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Occasionally	Occasionally	Frequently	Frequently	Never	Rarely	Frequently	Frequently	Occasionally	Frequently	NA	Rarely	Frequently	Frequently	Rarely	Frequently	Frequently	Accurate;SocialSecurity	Definitely	Information	Probably	NA	Unlikely	Likely	Definitely	Likely	Definitely	Likely	Very likely	Already do	Already do	Likely	Already do	Likely	Very likely	Already do	NA	Diagnose;ImpactKnown;PersonalAdvice	GiveupHobby;NoInfo;NotHelp	Checkup;GP	Yes	Yes	Yes	No	Unknown	Unknown	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	No	41-60	Denmark	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	No	3	4	2	4	2	3	3	3	1	2	2	1	1	1	2	2	1	3	1	1	2	2	1	1	4	3	1	1	2	1	NA	3	1	1	3	1	1	3	2	1	2	1	2	1	3	3	2	3	2	1	3	NA	1	1	1	2	3	3	1	2	2	2	2	1	1	3	2	3	37	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119773	5063473	danish	dk	Yes	Frequently	Strong	Moderate	Moderate	Moderate	Moderate	Strong	Strong	Moderate	Very strong	Strong	Strong	Very important	Very important	Important	Important	Moderately important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Rarely	Frequently	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Rarely	Occasionally	Rarely	Frequently	Never	Frequently	Occasionally	Occasionally	Never	Never	Occasionally	Cheap;Quick;SocialSecurity	Probably	Information;Respond	Probably	NA	Definitely	Definitely	Likely	Likely	Definitely	Very likely	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Likely	NA	Affordable;FamilySupport;Fun	NotHelp;NoTime;StartNoFun	Checkup;GP;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	No	Yes	Great extent	Great extent	Great extent	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	No	41-60	Denmark	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	Yes	2	3	3	3	3	2	2	3	1	2	2	1	1	2	2	3	1	2	3	1	2	1	1	2	2	2	3	2	3	1	4	1	2	2	4	4	2	1	1	2	2	1	1	2	2	2	2	1	2	2	2	NA	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	3	37	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119773	5063606	danish	dk	Yes	Frequently	Very strong	Moderate	Very strong	Moderate	Strong	Very strong	Very strong	Moderate	Very strong	Very strong	Very strong	Very important	Very important	Important	Important	Very important	Very important	Addiction;Alzheimer;Migraine;Parkinson;Stroke	Rarely	Frequently	Frequently	Frequently	Frequently	Occasionally	Frequently	Never	Frequently	Frequently	Frequently	Frequently	Frequently	Rarely	Frequently	Occasionally	Frequently	Occasionally	Occasionally	Occasionally	Accurate;Cheap;Quick	Probably	Respond	Probably	NA	Likely	Definitely	Definitely	Likely	Definitely	Already do	Already do	Already do	Already do	Likely	Likely	Likely	Already do	Already do	Already do	Affordable;Diagnose;FamilySupport	NoInfo;NotHelp;StartNoFun	Checkup;GP;SupportFamily	Yes	Yes	Yes	Unknown	No	Unknown	Great extent	Great extent	Moderately	Not at all	Great extent	Moderately	Moderately	Not at all	Not at all	No	41-60	Denmark	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	Yes	1	3	1	3	2	1	1	3	1	1	1	1	1	2	2	1	1	3	1	1	1	1	2	1	4	1	1	1	1	1	3	1	2	1	2	2	2	2	1	1	2	1	3	3	3	3	2	2	2	3	3	3	1	1	1	3	2	3	1	1	2	3	1	2	2	3	3	3	37	1	5	3	Ved ikke lige hvad det kunne være	NA	NA	NA	NA	NA	NA	NA	NA
119773	5063610	danish	dk	Yes	Frequently	Strong	Strong	Strong	Weak	Strong	Very strong	Strong	Moderate	Very strong	Very strong	Very strong	Important	Important	Important	Very important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Frequently	Never	Rarely	Occasionally	Occasionally	Occasionally	Rarely	Frequently	Never	Never	NA	Never	Never	Frequently	Never	Never	Occasionally	Accurate;OnlineCriteria;Quick	Definitely	Prepare;Respond	Definitely	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Diagnose;PersonalAdvice;WorseMemory	NoInfo	Checkup;GP	Yes	Yes	Yes	Unknown	Unknown	Unknown	Great extent	Moderately	Great extent	Moderately	Great extent	Moderately	Moderately	Not at all	Not at all	No	41-60	Denmark	Female	VocationSchool	Unmarried	Employed	No	NA	NA	Yes	Yes	2	2	2	4	2	1	2	3	1	1	1	2	2	2	1	2	2	3	2	1	1	4	3	2	2	2	3	1	4	4	NA	4	4	1	4	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	3	3	3	1	2	1	2	1	2	2	3	3	3	37	1	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
119773	5063642	danish	dk	Yes	Occasionally	Strong	Moderate	Moderate	Weak	Strong	Strong	Strong	Weak	Strong	Strong	Very strong	Very important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Frequently	Occasionally	Frequently	Frequently	Never	Occasionally	Rarely	Occasionally	Rarely	Occasionally	NA	Frequently	Rarely	Occasionally	Occasionally	Rarely	Occasionally	Accurate;OnlineCriteria	Probably	Information;Respond	Probably	NA	Likely	Likely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Likely	Already do	Likely	Likely	Very likely	Very likely	NA	Diagnose;ImpactKnown;PersonalAdvice	NoInfo;NoMotivation;NotHelp	Checkup;GP;SupportFamily	No	Yes	Yes	Yes	No	Yes	Great extent	Great extent	Great extent	Not at all	Moderately	Great extent	Great extent	Not at all	Moderately	Yes	26-40	Germany	Female	GradSchool	Unmarried	Employed	Yes	Excellent	NA	No	Yes	2	3	3	4	2	2	2	4	2	2	1	1	1	1	1	2	1	3	1	1	1	2	1	1	4	2	3	2	3	2	NA	1	3	2	2	3	2	2	2	1	1	1	1	1	1	2	3	2	2	1	1	NA	2	1	1	1	2	1	1	1	1	3	2	1	1	3	2	2	175	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
119773	5063652	danish	dk	Yes	Frequently	Moderate	Moderate	Moderate	Moderate	Strong	Weak	Strong	Moderate	Strong	Moderate	Strong	Important	Important	Moderately important	Moderately important	Very important	Moderately important	Addiction;Alzheimer;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Rarely	NA	Frequently	Occasionally	Never	Occasionally	Never	Never	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Never	Never	Accurate;NoPain;SocialSecurity	Definitely	Information;Respond	Definitely	NA	Definitely	Likely	Likely	Likely	Definitely	Not at all	Very likely	Already do	Likely	Likely	Likely	Likely	Already do	Already do	NA	Diagnose;Family;WorseMemory	Other motivation	GP;GroupSupport;MobileApp	Unknown	No	No	Unknown	Unknown	Unknown	Moderately	Great extent	Moderately	Moderately	Not at all	Not at all	Moderately	Not at all	Not at all	Yes	61-70	Denmark	Female	VocationSchool	Unmarried	Pensioned	No	Poor	NA	Yes	No	3	3	3	3	2	4	2	3	2	3	2	2	2	3	3	1	3	3	2	2	3	NA	1	2	4	2	4	4	2	2	2	2	2	2	2	4	4	1	2	2	2	1	5	1	3	2	2	2	2	3	3	NA	3	2	2	3	3	3	2	1	2	2	3	3	2	3	3	4	37	1	4	2	Læser	NA	NA	NA	NA	NA	NA	Intet	NA
119773	5063729	danish	dk	Yes	Occasionally	Strong	Strong	Weak	Weak	Moderate	Very strong	Strong	Strong	Strong	Strong	Very strong	Very important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Cancer;Depression;Hypertension;Migraine;Parkinson;Stroke	Never	Frequently	Frequently	Rarely	Frequently	Frequently	Occasionally	Never	Occasionally	Occasionally	Frequently	Frequently	Frequently	NA	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	NoPain;Quick;SocialSecurity	Probably	Information	Definitely	NA	Likely	Likely	Definitely	Likely	Definitely	Unlikely	Very likely	Very likely	Very likely	Unlikely	Very likely	Already do	Very likely	Very likely	NA	Diagnose;WorseMemory	GiveupHobby;NotHelp	Checkup;GP;SupportFamily	Yes	Yes	No	Unknown	Yes	Yes	Great extent	Great extent	Moderately	Not at all	Moderately	Moderately	Moderately	Not at all	Moderately	No	26-40	Denmark	Male	VocationSchool	DomesticPartner	Employed	No	NA	NA	Yes	No	2	2	4	4	3	1	2	2	2	2	1	1	1	1	1	2	1	4	1	1	3	1	1	2	4	2	2	1	1	1	NA	1	1	1	1	1	1	2	2	1	2	1	4	1	1	1	4	1	3	1	1	NA	1	1	2	3	1	1	1	1	2	3	2	2	2	3	2	2	37	2	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119773	5063822	danish	dk	Yes	Frequently	Very strong	Strong	Very strong	Very strong	Moderate	Moderate	Strong	Moderate	Very strong	Very strong	Moderate	Very important	Very important	Important	Moderately important	Very important	Important	Alzheimer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Rarely	Occasionally	Frequently	Never	Rarely	Frequently	Never	Frequently	Never	Rarely	Rarely	Occasionally	NA	Never	Rarely	Frequently	Occasionally	Never	Rarely	Accurate;Cheap;Quick	Probably not	NA	NA	Other reasons	Unlikely	Likely	Likely	Unlikely	Definitely	Likely	Likely	Unlikely	Already do	Likely	Likely	Likely	Already do	Already do	NA	Affordable;Diagnose	Alone;GiveupHobby;NoInfo	Checkup;GP	Yes	Yes	Yes	Yes	Yes	Unknown	Great extent	Great extent	Moderately	Not at all	Moderately	Great extent	Great extent	Not at all	Not at all	Yes	41-60	Denmark	Male	VocationSchool	Single	Pensioned	No	NA	NA	Yes	No	1	2	1	1	3	3	2	3	1	1	3	1	1	2	3	1	2	2	3	2	1	4	3	1	4	1	4	3	3	2	NA	4	3	1	2	4	3	3	2	2	3	1	2	2	4	3	2	2	2	3	3	NA	1	1	1	1	1	3	1	1	2	3	2	1	1	3	3	3	37	2	4	1	NA	NA	NA	I min familie har vi allerede fået konstateret TS ( Tuburøs Schelerose)	NA	NA	NA	NA	NA
119773	5063867	danish	dk	Yes	Rarely	Weak	No influence	Strong	No influence	Moderate	Moderate	Strong	Weak	Strong	Moderate	Moderate	Very important	Very important	Important	Important	Very important	Very important	Alzheimer;Anxiety;Depression;Parkinson;Schizophrenia;Stroke	Occasionally	Never	Rarely	Frequently	Occasionally	Frequently	Occasionally	Never	NA	Rarely	Rarely	Never	Occasionally	Never	Rarely	Occasionally	Occasionally	Occasionally	Never	Never	Accurate;SocialSecurity	Probably not	NA	NA	Don't want to know	Unlikely	Likely	Likely	Likely	Likely	Unlikely	Unlikely	Unlikely	Unlikely	Unlikely	Already do	Unlikely	Unlikely	Already do	NA	Diagnose;FamilySupport	Alone;NoMotivation;StartNoFun	GP;GroupSupport	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Moderately	Moderately	Great extent	Not at all	Not at all	No	71-80	Denmark	Male	VocationSchool	DomesticPartner	Pensioned	No	NA	NA	Yes	Yes	4	5	2	5	3	3	2	4	2	3	3	1	1	2	2	1	1	2	4	3	1	2	1	2	4	NA	3	3	4	2	4	3	2	2	2	4	4	3	2	2	2	2	4	4	4	4	4	3	4	4	3	NA	1	1	1	1	1	1	1	2	2	3	2	2	1	3	3	5	37	2	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
119773	5063868	danish	dk	Yes	Occasionally	Strong	Very strong	Very strong	Strong	Very strong	Very strong	Strong	Very strong	Strong	Strong	Strong	Very important	Very important	Important	Important	Very important	Very important	Addiction;Alzheimer;Anxiety;Cancer;Depression;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Never	Frequently	Frequently	Frequently	Occasionally	Occasionally	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	SocialSecurity	Definitely	Information;Respond	Probably	NA	Likely	Likely	Definitely	Definitely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	NA	Diagnose;WorseMemory	NoInfo;NoMotivation;NotHelp	Checkup;GP;SupportFamily	Yes	Yes	Yes	Unknown	Unknown	Yes	Great extent	Great extent	Great extent	Not at all	Moderately	Great extent	Moderately	Not at all	Moderately	No	71-80	Denmark	Male	GradSchool	DomesticPartner	Pensioned	No	NA	NA	No	Yes	2	1	1	2	1	1	2	1	2	2	2	1	1	2	2	1	1	2	1	1	1	1	1	1	4	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	2	1	NA	1	1	1	3	3	1	1	1	1	3	2	1	2	3	2	5	37	2	5	3	Møder nye mennesker (mentor for nyankomne i Sønderborg)	NA	NA	NA	NA	NA	NA	NA	NA
