form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
121893	5158414	ukranian	ukr	Yes	Occasionally	Moderate	Strong	Very strong	Strong	Very strong	Strong	Very strong	Strong	Very strong	Very strong	Very strong	Important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Schizophrenia;Stroke	Occasionally	Rarely	Occasionally	Frequently	Never	Rarely	Occasionally	Never	Frequently	Never	Frequently	Occasionally	Rarely	NA	Occasionally	Occasionally	Occasionally	Frequently	Occasionally	Frequently	Accurate;Cheap;OnlineCriteria	Probably	Learn about the risk	Probably	NA	Unlikely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	Already do	NA	Diagnose;WorseMemory	NoInfo;NotHelp	GP;GroupSupport;MobileApp	Yes	Yes	Unknown	Yes	No	No	Great extent	Great extent	Moderately	Moderately	Moderately	Not at all	Great extent	Not at all	Not at all	No	26-40	Ukraine	Male	GradSchool	DomesticPartner	Stay-at-home	Yes	NA	NA	No	Yes	3	2	1	2	1	2	1	2	1	1	1	2	1	1	1	2	1	2	3	2	1	4	3	2	4	1	4	1	2	3	NA	2	2	2	1	2	1	3	1	1	1	1	1	1	1	2	1	2	1	1	3	NA	1	1	3	1	2	2	1	1	2	2	2	3	1	3	3	2	175	2	5	3	Читаю, займаюсь арт-терапією	NA	NA	NA	NA	NA	NA	NA	NA
121893	5163145	ukranian	ukr	Yes	Occasionally	Moderate	Very strong	Moderate	Moderate	Strong	Strong	Very strong	Moderate	Very strong	Strong	Very strong	Very important	Important	Very important	Very important	Not important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	Occasionally	Occasionally	Occasionally	Rarely	Occasionally	Frequently	Never	Occasionally	Rarely	Occasionally	Occasionally	Occasionally	Occasionally	Rarely	Frequently	Frequently	Rarely	Rarely	Rarely	Accurate;Cheap;OnlineCriteria	Probably	Information	Probably	NA	Definitely	Likely	Definitely	Likely	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Very likely	Very likely	NA	Diagnose;FamilySupport;WorseMemory	NoInfo;NoMotivation	Checkup;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Great extent	Great extent	Not at all	Moderately	Moderately	Moderately	Moderately	Not at all	No	41-60	Ukraine	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	Yes	No	3	1	3	3	2	2	1	3	1	2	1	1	2	1	1	4	1	4	2	2	2	3	2	1	4	2	3	2	2	2	2	3	1	1	3	3	3	1	2	1	2	2	2	1	1	1	2	2	2	1	1	NA	1	1	3	1	1	1	1	1	1	3	2	2	2	2	3	3	175	1	5	3	Медитую	NA	NA	NA	NA	NA	NA	NA	NA
121893	5163249	ukranian	ukr	Yes	Rarely	Strong	Very strong	Strong	Moderate	Moderate	Moderate	Very strong	Very strong	Very strong	Strong	Very strong	Important	Important	Very important	Very important	Moderately important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Rarely	Never	Frequently	Never	Rarely	Frequently	Never	Frequently	Never	Frequently	Never	Never	Occasionally	Never	Rarely	Rarely	Occasionally	Never	Never	Cheap;SocialSecurity	Probably	Respond	Probably not	NA	Definitely	Likely	Definitely	Unlikely	Definitely	Likely	Very likely	Likely	Likely	Likely	Likely	Already do	Likely	Already do	NA	Diagnose;PersonalAdvice;WorseMemory	NoMotivation;StartNoFun	Checkup;GroupSupport;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Great extent	Great extent	Moderately	Great extent	Moderately	Great extent	Moderately	Moderately	No	26-40	Ukraine	Male	GradSchool	DomesticPartner	Employed;Student	Yes	NA	NA	Yes	No	2	1	2	3	3	3	1	1	1	2	1	2	2	1	1	3	1	2	3	4	1	4	3	1	4	1	4	1	4	4	2	4	3	3	2	4	4	1	2	1	3	1	2	1	2	2	2	2	3	2	3	NA	1	1	3	1	1	1	1	1	1	2	1	2	1	2	2	2	175	2	5	3	Аналізую причини своїх емоційних реакцій, поведінки. Відвідую психотерапевта	NA	NA	NA	NA	NA	NA	NA	NA
121893	5163270	ukranian	ukr	Yes	Occasionally	Moderate	Moderate	Very strong	Weak	Weak	Moderate	Strong	Moderate	Strong	Strong	Very strong	Important	Important	Important	Very important	Important	Important	Alzheimer;Migraine;Schizophrenia;Stroke	Never	Frequently	Frequently	Frequently	Never	Frequently	Frequently	Never	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Never	Never	Frequently	Occasionally	Rarely	Rarely	Rarely	Cheap;NoPain;Quick	Definitely	Information;Respond	Probably	NA	Unlikely	Definitely	Likely	Likely	Definitely	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Very likely	Very likely	NA	Diagnose;PersonalAdvice;WorseMemory	NoMotivation;NotHelp;NoTime	Checkup;GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Moderately	Moderately	Moderately	Great extent	Moderately	Not at all	No	41-60	Ukraine	Male	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	No	3	3	1	4	4	3	2	3	2	2	1	2	2	2	1	2	2	4	1	1	1	4	1	1	4	2	2	2	2	2	4	4	1	2	3	3	3	3	1	2	2	1	2	1	2	2	2	2	2	1	1	NA	1	1	1	1	1	1	1	1	1	2	2	2	1	2	3	3	175	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
121893	5163281	ukranian	ukr	Yes	Occasionally	Very strong	Strong	Very strong	Moderate	Strong	Moderate	Moderate	Weak	Strong	Strong	Strong	Important	Important	Important	Important	Important	Very important	Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Rarely	Rarely	Frequently	Never	Frequently	Frequently	Occasionally	Occasionally	Never	Rarely	Rarely	Occasionally	Never	Never	Frequently	Frequently	Occasionally	Never	Rarely	Accurate;Cheap;NoPain	Probably	Learn about the risk	Definitely	NA	Definitely not	Likely	Unlikely	Likely	Likely	Unlikely	Unlikely	Unlikely	Likely	Likely	Likely	Unlikely	Likely	Likely	Likely	Affordable;Diagnose;Family	Alone;NoNeed;NotHelp	GP;GroupSupport;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Moderately	Moderately	Moderately	Not at all	Not at all	Moderately	Moderately	Not at all	Not at all	No	26-40	Ukraine	Female	VocationSchool	Single	Employed	No	NA	NA	Yes	No	1	2	1	3	2	3	3	4	2	2	2	2	2	2	2	2	1	3	3	3	1	4	1	1	2	2	4	3	3	2	4	4	1	1	2	4	3	4	2	3	2	2	4	4	4	2	2	2	4	2	2	2	1	1	1	1	1	1	2	2	2	3	3	2	2	3	3	2	175	1	4	1	NA	NA	NA	NA	NA	Читати	NA	NA	NA
121893	5163828	ukranian	ukr	Yes	Frequently	Strong	Very strong	Moderate	Moderate	Very strong	Strong	Very strong	Strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Never	Occasionally	Frequently	Frequently	Frequently	Occasionally	Frequently	Never	Frequently	Frequently	Frequently	Occasionally	Frequently	NA	Frequently	Occasionally	Occasionally	Frequently	Frequently	Frequently	Accurate;Cheap;OnlineCriteria	Definitely	Information	Definitely	NA	Definitely not	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	PersonalAdvice;WorseMemory	NoMotivation;NoTime	Checkup;GP	Yes	Yes	Unknown	Yes	Yes	Unknown	Great extent	Moderately	Moderately	Not at all	Not at all	Moderately	Moderately	Not at all	Not at all	No	18-25	Ukraine	Female	GradSchool	Single	Student	No	NA	NA	Yes	No	2	1	3	3	1	2	1	2	1	2	1	1	1	1	1	1	1	4	2	1	1	1	2	1	4	1	1	1	2	1	NA	1	2	2	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	3	1	1	3	1	2	2	3	3	2	2	3	3	1	175	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
121893	5166460	ukranian	ukr	Yes	Occasionally	Moderate	Very strong	Very strong	Strong	Strong	Very strong	Moderate	Very strong	Moderate	Very strong	Strong	Important	Important	Moderately important	Important	Important	Important	Addiction;Alzheimer;Anxiety;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Frequently	Occasionally	Rarely	Never	Never	Frequently	Never	Frequently	Occasionally	Frequently	Never	Frequently	Occasionally	Never	Frequently	Never	Frequently	Accurate;Cheap	Definitely	Information	Probably	NA	Definitely not	Likely	Likely	Likely	Definitely	Very likely	Very likely	Very likely	Likely	Already do	Very likely	Already do	Very likely	Already do	NA	PersonalAdvice;WorseMemory	Expensive;NoTime	GP	Unknown	Yes	Yes	Yes	Yes	Unknown	Great extent	Moderately	Moderately	Not at all	Moderately	Great extent	Great extent	Not at all	Moderately	No	41-60	Ukraine	Male	GradSchool	DomesticPartner	Employed	No	NA	NA	Yes	Yes	3	1	1	2	2	1	3	1	3	1	2	2	2	3	2	2	2	3	2	1	1	2	3	4	4	1	4	1	2	1	4	1	2	4	1	4	1	4	2	2	2	1	1	1	1	2	3	1	3	1	3	NA	3	1	1	1	1	3	1	2	2	3	2	1	1	3	2	3	175	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
121893	5166550	ukranian	ukr	Yes	Occasionally	Moderate	Moderate	Moderate	Moderate	Strong	Moderate	Strong	Strong	Strong	Strong	Very strong	Important	Very important	Important	Moderately important	Very important	Important	Alzheimer;Anxiety;Bipolar;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Occasionally	Never	Occasionally	Frequently	Never	Frequently	Rarely	Frequently	Occasionally	Rarely	NA	Never	Occasionally	Frequently	Frequently	Occasionally	Frequently	NoPain;OnlineCriteria	Definitely	Information;Respond	Probably	NA	Unlikely	Likely	Definitely	Likely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Diagnose;WorseMemory	NoInfo;NoMotivation	GP;MobileApp;SupportFamily	Unknown	Yes	Unknown	Yes	Yes	Yes	Moderately	Great extent	Moderately	Moderately	Not at all	Moderately	Moderately	Moderately	Moderately	No	26-40	Ukraine	Male	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	No	3	3	3	3	2	3	2	2	2	2	1	2	1	2	3	1	2	3	2	1	2	4	2	1	4	1	3	1	2	3	NA	4	2	1	1	2	1	3	2	1	2	1	1	1	1	1	1	1	1	1	1	NA	3	1	3	1	1	1	2	1	2	2	3	2	2	2	2	2	175	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
121893	5168686	ukranian	ukr	Yes	Occasionally	Moderate	Strong	Strong	Moderate	Moderate	Strong	Strong	Strong	Strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Frequently	Never	Rarely	Occasionally	Never	Frequently	Never	Frequently	Rarely	Rarely	Rarely	Never	Never	Rarely	Never	Never	Rarely	Accurate;Cheap;SocialSecurity	Definitely	Information;Respond	Definitely	NA	Unlikely	Likely	Definitely	Likely	Definitely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Very likely	Very likely	Likely	Diagnose;PersonalAdvice;WorseMemory	NoMotivation;NotHelp;NoTime	Checkup;GP;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Unknown	Moderately	Not at all	Moderately	Moderately	Not at all	Not at all	Moderately	Not at all	Moderately	No	41-60	Ukraine	Male	GradSchool	DomesticPartner	Employed	No	NA	NA	No	No	3	2	2	3	3	2	2	2	2	2	1	1	1	1	1	1	1	3	2	2	1	4	3	2	4	1	4	1	3	3	3	4	4	3	4	4	3	3	2	1	2	1	2	2	2	2	2	2	2	1	1	2	1	1	3	1	1	3	2	3	2	2	3	3	2	3	2	3	175	2	5	3	Їм горіхи	NA	NA	NA	NA	NA	NA	NA	NA
121893	5172874	ukranian	ukr	Yes	Occasionally	Very strong	Very strong	Moderate	Weak	Weak	Very strong	Strong	Strong	Strong	Very strong	Very strong	Very important	Important	Moderately important	Moderately important	Moderately important	Important	Alzheimer;Bipolar;Migraine;Parkinson;Schizophrenia	Occasionally	Rarely	Rarely	Frequently	Never	Occasionally	Occasionally	Rarely	Frequently	Never	Rarely	Rarely	Rarely	NA	Never	Rarely	Rarely	Frequently	Never	Rarely	Accurate;Cheap;SocialSecurity	Definitely	Information;Respond	Definitely	NA	Likely	Unlikely	Definitely	Definitely	Likely	Likely	NA	Unlikely	Unlikely	Very likely	Likely	Very likely	Unlikely	Likely	NA	Diagnose;WorseMemory	Expensive;NotHelp;NoTime	Checkup;GP;SupportFamily	Yes	Yes	Unknown	Yes	Yes	No	Moderately	Great extent	Not at all	Not at all	Not at all	Not at all	Moderately	Moderately	Moderately	No	18-25	Ukraine	Male	HighSchool	Single	Student;Unemployed	No	NA	Excellent	No	No	1	1	3	4	4	1	2	2	2	1	1	1	2	3	3	3	2	2	3	3	1	4	2	2	3	1	4	3	3	3	NA	4	3	3	1	4	3	2	3	1	1	2	2	NA	4	4	1	2	1	4	2	NA	1	1	3	1	1	2	2	1	3	3	3	3	2	2	2	1	175	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
