form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
123887	5379410	italian	it	Yes	Occasionally	Moderate	Strong	Strong	Moderate	Strong	Moderate	Very strong	Strong	Moderate	Moderate	Moderate	Important	Important	Important	Very important	Important	Important	Addiction;Alzheimer;Bipolar;Depression;Parkinson;Schizophrenia	Occasionally	Occasionally	Rarely	Occasionally	Never	Frequently	Frequently	Never	Occasionally	NA	Frequently	Frequently	Rarely	Frequently	Never	Frequently	Frequently	Occasionally	Rarely	Occasionally	Accurate;Cheap;OnlineCriteria	Definitely	Information;Respond	Definitely	NA	Likely	Likely	Likely	Definitely	Definitely	Likely	Likely	Likely	Likely	Likely	Very likely	Likely	Unlikely	Already do	NA	ImpactKnown;PersonalAdvice;WorseMemory	GiveupHobby;NoMotivation;NotHelp	Checkup;GP;GroupSupport;MobileApp	Yes	Yes	Unknown	Yes	Unknown	No	Great extent	Great extent	Great extent	Moderately	Not at all	Great extent	Great extent	Moderately	Moderately	Yes	61-70	Italy	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	Yes	3	2	2	3	2	3	1	2	3	3	3	2	2	2	1	2	2	2	2	3	2	4	1	1	4	2	NA	1	1	3	1	4	1	1	2	3	2	2	2	2	1	1	2	2	2	2	2	1	2	4	3	NA	1	1	3	1	3	2	1	1	1	2	3	1	1	2	2	4	82	1	5	3	Meditare	NA	NA	NA	NA	NA	NA	NA	NA
123887	5383099	italian	it	Yes	Frequently	Very strong	Strong	Strong	Moderate	Strong	Strong	Strong	Moderate	Strong	Very strong	Strong	Moderately important	Important	Very important	Important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Frequently	Frequently	Never	Occasionally	Frequently	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Frequently	Frequently	Never	Occasionally	Frequently	Frequently	Occasionally	Rarely	Accurate;Cheap;Quick	Definitely	Information	Definitely	NA	Unlikely	Likely	Definitely	Definitely	Definitely	Likely	Already do	Likely	Very likely	Already do	Likely	Very likely	Likely	Unlikely	NA	Diagnose;ImpactKnown;WorseMemory	NoInfo;NotHelp	Checkup;GP;SupportFamily	Yes	Yes	No	Yes	Yes	Yes	Great extent	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Not at all	Moderately	Yes	18-25	Italy	Female	GradSchool	Unmarried	Student	Yes	NA	NA	No	No	1	2	2	3	2	2	2	3	2	1	2	3	2	1	2	1	2	2	2	1	1	4	2	1	1	1	2	2	2	1	1	4	2	1	1	2	3	3	2	1	1	1	2	3	2	1	3	2	1	2	4	NA	1	1	2	1	1	1	1	1	2	2	2	2	1	3	2	1	82	1	5	2	Leggere, ascoltare musica	NA	NA	NA	NA	NA	NA	NA	NA
123887	5383971	italian	it	Yes	Occasionally	Strong	Strong	Strong	Moderate	Moderate	Strong	Strong	Strong	Strong	Very strong	Very strong	Very important	Very important	Important	Important	Moderately important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Rarely	Occasionally	Rarely	Frequently	Occasionally	Frequently	Never	Frequently	Rarely	Frequently	Never	Rarely	NA	Frequently	Occasionally	Frequently	Frequently	Rarely	Frequently	Accurate;Quick;SocialSecurity	Definitely	Learn about the risk	Definitely	NA	Unlikely	Likely	Likely	Definitely	Definitely	Unlikely	Likely	Unlikely	Already do	Already do	Likely	Already do	Already do	Already do	NA	Diagnose;Family;FamilySupport	Alone;GiveupHobby;NotHelp	Checkup;SupportFamily	Unknown	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	Yes	41-60	Italy	Male	GradSchool	DomesticPartner	Employed	Yes	NA	NA	Yes	Yes	2	2	2	3	3	2	2	2	2	1	1	1	1	2	2	3	2	3	3	2	3	1	2	1	4	1	3	1	4	3	NA	1	2	1	1	3	1	3	2	2	1	1	4	2	4	3	3	2	3	3	3	NA	3	1	1	1	1	1	1	2	2	3	3	1	1	3	3	3	82	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
123887	5385940	italian	it	Yes	Occasionally	Strong	Strong	Moderate	Strong	Strong	Strong	Very strong	Strong	Strong	Strong	Very strong	Important	Moderately important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Frequently	Occasionally	Rarely	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Occasionally	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Accurate;Cheap;Quick	Definitely	Information;Respond	Definitely	NA	Likely	Unlikely	Definitely	Definitely	Definitely	Unlikely	Already do	Very likely	Already do	Likely	Already do	Likely	Not at all	Not at all	Not at all	Affordable;Fun;WorseMemory	Expensive;NoInfo;NoMotivation	GP	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Great extent	Moderately	Not at all	Moderately	Moderately	Great extent	Not at all	Moderately	No	41-60	Italy	Male	VocationSchool	DomesticPartner	Employed	No	NA	NA	Yes	No	2	2	3	2	2	2	1	2	2	2	1	2	3	1	1	2	1	2	2	1	2	3	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	3	1	1	1	4	3	1	3	2	3	2	5	5	5	1	1	3	1	1	1	1	1	2	3	2	2	1	3	2	3	82	2	4	3	meditare	NA	NA	NA	testamento	NA	NA	NA	NA
123887	5387414	italian	it	Yes	Frequently	Strong	Very strong	Very strong	Strong	Strong	Strong	Strong	Strong	Strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Arthritis;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Frequently	Frequently	Occasionally	Occasionally	Never	Occasionally	Frequently	Frequently	Occasionally	Frequently	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Frequently	Frequently	Accurate;Cheap;NoPain	Probably	Information;Prepare	Probably	NA	Unlikely	Likely	Definitely	Definitely	Definitely	Already do	Already do	Very likely	Very likely	Already do	Very likely	Very likely	Already do	Already do	Very likely	Affordable;Diagnose;WorseMemory	Alone;Expensive;NoInfo	GP	Yes	Yes	Yes	Yes	Yes	Unknown	Great extent	Great extent	Great extent	Moderately	Moderately	Great extent	Great extent	Not at all	Not at all	No	41-60	Italy	Female	GradSchool	DomesticPartner	Stay-at-home	Yes	NA	NA	No	Yes	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	3	2	1	1	1	2	2	4	2	1	1	2	1	1	1	2	2	2	1	1	3	2	1	1	1	3	3	1	1	3	1	1	3	3	1	1	1	1	1	1	3	1	1	1	2	2	1	1	3	3	3	82	1	5	3	leggere, studiare, esercizi cognitivi, imparare una nuova lingua, musica, cinema	NA	NA	NA	NA	viaggiare	NA	NA	NA
123887	5388946	italian	it	Yes	Frequently	Strong	Very strong	Moderate	Strong	Moderate	Strong	Very strong	Moderate	Strong	Very strong	Very strong	Very important	Very important	Important	Very important	Important	Very important	Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Occasionally	Occasionally	Frequently	Never	Occasionally	Occasionally	Never	Occasionally	Never	Frequently	Occasionally	Occasionally	Never	Never	Occasionally	Occasionally	Never	Never	Frequently	Accurate;OnlineCriteria;SocialSecurity	Definitely	Learn about the risk	Definitely	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	NA	WorseMemory	Alone;GiveupHobby;NoTime	GP;GroupSupport;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Great extent	Moderately	Not at all	No	26-40	Italy	Female	GradSchool	Unmarried	Employed	Yes	NA	NA	No	No	2	1	3	2	3	2	1	3	2	1	1	1	1	2	1	2	1	2	2	2	1	4	2	2	4	2	4	1	2	2	4	4	2	2	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	NA	1	1	1	1	1	1	1	2	2	2	2	1	1	2	3	2	82	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
123887	5391301	italian	it	Yes	Frequently	Very strong	Very strong	Moderate	Weak	Very strong	Very strong	Strong	Strong	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	Occasionally	Frequently	Frequently	Never	Occasionally	Frequently	Never	Frequently	Never	Frequently	Frequently	Frequently	Frequently	Rarely	Occasionally	Frequently	Frequently	Never	Frequently	Accurate;Cheap;SocialSecurity	Definitely	Prepare;Respond	Definitely	NA	Unlikely	Likely	Definitely	Definitely	Definitely	Very likely	Very likely	Likely	Very likely	Very likely	Likely	Already do	Already do	Already do	NA	Diagnose;FamilySupport;WorseMemory	GiveupHobby;NoInfo;NotHelp	GP;GroupSupport;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Moderately	Moderately	Not at all	Great extent	Great extent	Not at all	Moderately	Yes	26-40	Italy	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	Yes	1	1	3	4	1	1	2	2	1	1	1	1	1	1	1	1	1	4	2	1	1	4	2	1	4	1	4	1	1	1	1	3	2	1	1	4	1	3	2	1	1	1	1	1	2	1	1	2	3	3	3	NA	1	1	1	1	1	1	1	1	2	2	3	1	1	3	2	2	82	1	5	3	Hobby,  giochi stimolanti	NA	NA	NA	Contatterei i miei colleghi	NA	NA	NA	NA
123887	5391517	italian	it	Yes	Occasionally	Strong	NA	Strong	Moderate	Moderate	Moderate	Very strong	Very strong	Very strong	Strong	Very strong	Important	Very important	Important	Important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Frequently	Never	Occasionally	Frequently	Frequently	Frequently	Rarely	Occasionally	Occasionally	Occasionally	Never	Never	Occasionally	Frequently	Rarely	Never	Frequently	Accurate;Cheap	Definitely	Learn about the risk	Definitely	NA	Unlikely	Likely	Likely	Definitely	Definitely	Very likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	Not at all	Diagnose;Fun	NoInfo;NotHelp	Checkup	Yes	Yes	Yes	Yes	No	Unknown	Great extent	Moderately	Great extent	Not at all	Not at all	Great extent	Great extent	Not at all	Not at all	Yes	41-60	Italy	Female	GradSchool	Unmarried	Employed	Yes	NA	NA	Yes	Yes	2	NA	2	3	3	3	1	1	1	2	1	2	1	2	2	1	2	3	2	1	1	4	2	1	1	1	3	2	2	2	4	4	2	1	3	4	1	3	2	2	1	1	1	2	2	1	2	1	2	1	1	5	1	1	1	1	2	3	1	2	1	3	3	1	1	3	3	3	82	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
123887	5393789	italian	it	Yes	Frequently	Strong	Very strong	Very strong	Moderate	Strong	Strong	Strong	Moderate	Strong	Strong	Very strong	Very important	Very important	Very important	Very important	Important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Rarely	Rarely	Rarely	Never	Occasionally	Never	Occasionally	Rarely	Rarely	Never	Frequently	Rarely	Rarely	Occasionally	Rarely	Rarely	Accurate;Cheap;SocialSecurity	Probably	Learn about the risk	Definitely not	NA	Unlikely	Likely	Definitely	Definitely	Unlikely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	NA	Affordable;ImpactKnown;PersonalAdvice	Expensive;NoInfo;NotHelp	GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	No	Great extent	Moderately	Great extent	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	Yes	26-40	Italy	Male	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	No	2	1	1	3	2	2	2	3	2	2	1	1	1	1	1	2	1	2	1	1	1	3	3	3	4	2	4	2	3	3	4	1	3	3	2	3	3	3	2	1	1	3	1	1	1	1	1	1	2	1	1	NA	1	1	1	1	1	2	1	2	1	2	2	1	1	3	2	2	82	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
123887	5394206	italian	it	Yes	Frequently	Very strong	Very strong	Very strong	Moderate	Strong	Very strong	Very strong	Moderate	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	Never	Frequently	Frequently	Never	Never	Never	Never	Never	Occasionally	Never	Frequently	Frequently	NA	Never	Frequently	Frequently	Never	Frequently	Never	OnlineCriteria;SocialSecurity	Probably not	NA	NA	Don't want to know	Unlikely	Definitely	Definitely	Likely	Definitely	Already do	Already do	Very likely	NA	Already do	Likely	Unlikely	Already do	Already do	NA	Fun;ImpactKnown	GiveupHobby;NotHelp;StartNoFun	GroupSupport;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Moderately	Not at all	Not at all	Not at all	Not at all	Moderately	Great extent	Not at all	Not at all	No	61-70	Italy	Female	GradSchool	Unmarried	Employed	Yes	Excellent	NA	No	No	1	1	1	3	2	1	1	3	1	1	1	1	1	1	1	1	1	4	4	1	1	4	4	4	4	4	2	4	1	1	NA	4	1	1	4	1	4	3	1	1	2	1	3	3	1	NA	3	2	4	3	3	NA	1	1	1	1	1	1	2	3	3	3	3	2	1	3	3	4	82	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
