form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
125552	5404025	dutch	du	Yes	Occasionally	Moderate	Strong	Strong	Moderate	Strong	Weak	Strong	Weak	Very strong	Strong	Strong	Very important	Very important	Important	Very important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Occasionally	Rarely	Never	Occasionally	Rarely	Never	Occasionally	Occasionally	Occasionally	Rarely	Rarely	NA	Never	Occasionally	Occasionally	Occasionally	Rarely	Occasionally	Accurate;SocialSecurity	Probably	Prepare;Respond	Probably	NA	Likely	Definitely	Likely	Likely	Definitely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Very likely	Already do	NA	Diagnose;Family;WorseMemory	Expensive;NoTime	Checkup;GP;MobileApp;SupportFamily	Unknown	Yes	Unknown	Yes	Yes	Yes	Great extent	Great extent	Great extent	Moderately	Moderately	Great extent	Great extent	Not at all	Moderately	Yes	26-40	Netherlands	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	No	3	2	2	3	2	4	2	4	1	2	2	1	1	2	1	2	2	3	1	2	3	4	2	3	4	2	2	2	3	3	NA	4	2	2	2	3	2	2	1	2	2	1	2	1	1	2	2	2	2	1	3	NA	3	1	3	1	1	1	1	1	1	2	2	1	1	3	2	2	118	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
125552	5422227	dutch	du	Yes	Occasionally	Moderate	Moderate	Strong	Moderate	Strong	Moderate	Moderate	Moderate	Strong	Strong	Strong	Very important	Very important	Important	Important	Important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Occasionally	Never	Frequently	Frequently	Never	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	NA	Never	Frequently	Frequently	Frequently	Frequently	Frequently	Accurate;Cheap;Quick	Probably not	NA	NA	Don't want to know	Likely	Definitely	Likely	Definitely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Already do	NA	ImpactKnown;PersonalAdvice;WorseMemory	Alone;NotHelp;StartNoFun	Checkup;GP;SupportFamily	Unknown	Yes	Yes	Yes	Unknown	Unknown	Great extent	Moderately	Great extent	Moderately	Not at all	Moderately	Moderately	Not at all	Moderately	No	41-60	Netherlands	Female	GradSchool	Unmarried	Employed	Yes	NA	NA	No	Yes	3	3	2	3	2	3	3	3	2	2	2	1	1	2	2	2	2	2	1	1	2	4	1	1	4	2	2	2	2	2	NA	4	1	1	1	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	3	NA	3	1	1	1	3	3	1	2	1	2	3	2	2	3	2	3	118	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
125552	5438069	dutch	du	Yes	Occasionally	Strong	Moderate	Strong	Weak	Strong	Strong	Strong	Strong	Strong	Strong	Strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Rarely	Occasionally	Rarely	Rarely	Occasionally	Occasionally	NA	Occasionally	Occasionally	Rarely	Occasionally	Rarely	Rarely	OnlineCriteria	Probably not	NA	NA	Worry	Likely	Likely	Likely	Likely	Likely	Already do	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	NA	FamilySupport	Other motivation	GP	Yes	Yes	NA	Yes	Yes	Yes	Great extent	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Moderately	Moderately	No	26-40	Netherlands	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	No	Yes	2	3	2	4	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	2	2	2	3	2	3	3	2	2	NA	2	2	3	2	3	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	NA	1	1	NA	1	1	1	1	1	2	2	2	2	1	2	2	2	118	1	5	3	NA	NA	NA	NA	NA	NA	NA	het is niet altijd in mijn hand (kinderen verstoren mijn nachtrust)	NA
125552	5454105	dutch	du	Yes	Occasionally	Strong	Moderate	Strong	Moderate	Moderate	Moderate	Very strong	Moderate	Strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Rarely	Occasionally	Occasionally	Rarely	Frequently	Never	Occasionally	Frequently	Frequently	Never	Occasionally	Rarely	Occasionally	Never	Never	Rarely	Accurate;Cheap;NoPain	Definitely	Information;Respond	Probably	NA	Unlikely	Definitely	Likely	Definitely	Likely	Already do	Already do	Already do	Likely	Unlikely	Likely	Already do	Likely	Very likely	NA	Diagnose;Family;PersonalAdvice	NoMotivation;NotHelp;NoTime	Checkup;GP;MobileApp	Yes	Yes	Yes	Yes	Yes	No	Great extent	Moderately	Great extent	Moderately	Not at all	Great extent	Great extent	Not at all	Moderately	Yes	26-40	Netherlands	Female	GradSchool	Single	Employed;Student	Yes	NA	NA	No	No	2	3	2	3	3	3	1	3	2	1	1	1	1	1	1	1	1	2	1	1	1	3	2	2	3	1	4	2	1	1	4	2	3	2	4	4	3	3	1	2	1	2	3	3	3	2	4	2	3	2	1	NA	1	1	1	1	1	2	1	2	1	2	3	1	1	3	2	2	118	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
125552	5455665	dutch	du	Yes	Occasionally	Strong	Moderate	Very strong	Weak	Strong	Strong	Very strong	Moderate	Very strong	Strong	Very strong	Very important	Very important	Important	Important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Occasionally	Never	Occasionally	Occasionally	Never	Frequently	Rarely	Occasionally	Occasionally	Rarely	Never	Never	Occasionally	Rarely	Occasionally	Rarely	Occasionally	Accurate;NoPain;SocialSecurity	Definitely	Information;Respond	Probably	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Already do	Already do	Diagnose;Family;WorseMemory	NoNeed	Checkup;GP;MobileApp;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Not at all	Not at all	Not at all	Not at all	Not at all	Great extent	Not at all	Not at all	Yes	26-40	Denmark	Female	GradSchool	Unmarried	Employed	Yes	NA	NA	No	No	2	3	1	4	2	2	1	3	1	2	1	1	1	2	2	1	2	2	1	1	2	4	2	2	4	1	3	2	2	3	4	4	2	3	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	3	1	1	1	1	3	3	3	3	3	1	3	3	2	37	1	5	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
125552	5456668	dutch	du	Yes	Frequently	Strong	Strong	Strong	Moderate	Moderate	Moderate	Strong	Moderate	Very strong	Strong	Very strong	Very important	Very important	Important	Important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	Occasionally	Frequently	Frequently	Never	Occasionally	Frequently	Never	Occasionally	Occasionally	Occasionally	Occasionally	Frequently	NA	Never	Occasionally	Frequently	Never	Frequently	Frequently	Accurate;Cheap;SocialSecurity	Definitely	Information;Respond	Probably	NA	Likely	Likely	Definitely	Definitely	Definitely	Likely	Already do	Likely	Already do	Unlikely	Very likely	Likely	Already do	Already do	NA	Diagnose;FamilySupport;ImpactKnown	Alone;NotHelp;StartNoFun	Checkup;GP;GroupSupport;MobileApp;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Not at all	Moderately	Great extent	Not at all	Moderately	No	18-25	Netherlands	Female	HighSchool	Unmarried	Employed;Student	Yes	NA	NA	Yes	Yes	2	2	2	3	3	3	2	3	1	2	1	1	1	2	2	1	2	4	2	1	1	4	2	1	4	2	2	2	2	1	NA	4	2	1	4	1	1	2	2	1	1	1	2	3	2	3	4	1	2	3	3	NA	1	1	3	1	1	1	1	2	2	3	3	2	1	3	2	1	118	1	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
125552	5457041	dutch	du	Yes	Rarely	Very strong	Strong	Very strong	Weak	Very strong	Strong	Strong	Moderate	Strong	Moderate	Very strong	Very important	Very important	Important	Very important	Very important	Important	Addiction;Alzheimer;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Frequently	Never	Frequently	Frequently	Never	Occasionally	Frequently	Occasionally	Occasionally	Rarely	NA	Never	Occasionally	Frequently	Occasionally	Frequently	Frequently	Accurate;Cheap;SocialSecurity	Probably	Information;Respond	Probably	NA	Definitely	Definitely	Definitely	Likely	Likely	Already do	Very likely	Very likely	Likely	Unlikely	Very likely	Likely	Very likely	Already do	NA	FamilySupport;ImpactKnown;PersonalAdvice	Expensive;NoInfo;NotHelp	Checkup;GP;SupportFamily	Unknown	Yes	Yes	Yes	Yes	Unknown	Great extent	Moderately	Moderately	Moderately	Not at all	Moderately	Moderately	Not at all	Moderately	No	18-25	Netherlands	Female	GradSchool	Unmarried	Student	Yes	NA	NA	No	Yes	1	2	1	4	1	2	2	3	2	3	1	1	1	2	1	1	2	3	2	2	1	4	1	1	4	2	1	2	2	3	NA	4	2	1	2	1	1	1	1	1	2	2	3	1	1	2	4	1	2	1	3	NA	3	1	1	1	1	3	1	2	2	2	3	2	2	3	2	1	118	1	5	2	NA	NA	NA	NA	Literatuur opzoeken	NA	NA	NA	NA
125552	5457203	dutch	du	Yes	Occasionally	Strong	Strong	Strong	Moderate	Strong	Very strong	Very strong	Strong	Strong	Strong	Strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia	Occasionally	Frequently	Occasionally	Occasionally	Never	Frequently	Occasionally	Never	Frequently	Never	Occasionally	Frequently	Never	Never	Never	Frequently	Frequently	Occasionally	Never	Occasionally	Accurate;Cheap;NoPain	Definitely	Learn about the risk	Probably not	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Unlikely	Very likely	Already do	Likely	Already do	NA	Diagnose;ImpactKnown;WorseMemory	GiveupHobby;NoInfo;NotHelp	Checkup;GP	Yes	Yes	Unknown	Yes	Yes	Unknown	Great extent	Moderately	Not at all	Moderately	Not at all	Not at all	Great extent	Not at all	Moderately	No	18-25	Netherlands	Male	HighSchool	Unmarried	Student	No	NA	NA	No	No	2	2	2	3	2	1	1	2	2	2	2	1	1	1	1	1	1	2	1	2	2	4	1	2	4	1	4	2	1	4	4	4	1	1	2	4	2	2	1	1	1	1	1	1	1	1	4	1	3	2	3	NA	1	1	3	1	1	3	1	2	3	2	3	3	1	3	2	1	118	2	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
125552	5457253	dutch	du	Yes	Occasionally	Strong	Weak	Very strong	Weak	Weak	Moderate	Very strong	Moderate	Strong	Moderate	Strong	Very important	Moderately important	Important	Very important	Moderately important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Rarely	Never	Occasionally	Occasionally	Never	Occasionally	Never	Occasionally	Frequently	Rarely	NA	Never	Rarely	Frequently	Rarely	Never	Never	Accurate;NoPain;SocialSecurity	Probably	Learn about the risk	Probably	NA	Definitely	Likely	Definitely	Unlikely	Likely	Very likely	Likely	Very likely	Likely	Already do	Likely	Already do	Very likely	Already do	NA	ImpactKnown;PersonalAdvice;WorseMemory	Expensive;GiveupHobby;NoInfo	GP;MobileApp	Yes	Yes	Yes	Unknown	Yes	Unknown	Great extent	Great extent	Great extent	Not at all	Not at all	Great extent	Moderately	Moderately	Moderately	No	18-25	Netherlands	Female	HighSchool	Unmarried	Student	No	NA	NA	No	No	2	4	1	4	4	3	1	3	2	3	2	1	3	2	1	3	2	3	2	2	3	4	2	2	4	2	4	2	1	3	NA	4	3	1	3	4	4	1	2	1	3	2	1	2	1	2	3	2	3	1	3	NA	1	1	1	3	1	3	1	1	1	3	3	1	2	2	2	1	118	1	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
125552	5457400	dutch	du	Yes	Frequently	Strong	Very strong	Moderate	Strong	Strong	Strong	Very strong	Strong	Very strong	Strong	Very strong	Important	Very important	Very important	Important	Very important	Important	Alzheimer;Bipolar;Depression;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Occasionally	Never	Occasionally	Rarely	Never	Occasionally	Occasionally	Occasionally	Occasionally	Frequently	NA	Never	Rarely	Occasionally	Occasionally	Rarely	Occasionally	Accurate;Cheap;SocialSecurity	Definitely	Information;Respond	Definitely	NA	Likely	Definitely	Definitely	Definitely	Definitely	Likely	Already do	Very likely	Very likely	Likely	Very likely	Very likely	Likely	Already do	NA	ImpactKnown;PersonalAdvice;WorseMemory	Expensive;GiveupHobby;NoMotivation	GP;MobileApp	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Moderately	Moderately	Moderately	Moderately	Great extent	Moderately	Not at all	No	41-60	Netherlands	Male	HighSchool	DomesticPartner	Unemployed	Yes	NA	NA	No	Yes	2	1	3	2	2	2	1	2	1	2	1	2	1	1	2	1	2	2	1	1	2	4	2	3	4	2	2	2	2	1	NA	4	3	2	2	3	2	2	1	1	1	1	2	3	1	1	2	1	1	2	3	NA	1	1	1	1	1	1	1	1	2	2	2	2	1	2	3	3	118	2	3	3	Scuba diving	NA	NA	NA	NA	NA	NA	NA	NA
