form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
132336	6136996	turkish	tu	Yes	Rarely	Very strong	Moderate	Very strong	Moderate	Strong	Strong	Strong	Strong	Strong	Very strong	Very strong	Moderately important	Moderately important	Moderately important	Important	Very important	Moderately important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Parkinson;Schizophrenia;Stroke	Rarely	Rarely	Occasionally	Occasionally	Rarely	Frequently	Rarely	Occasionally	Occasionally	Never	Frequently	Occasionally	Occasionally	Rarely	Never	Frequently	Rarely	Frequently	Never	Frequently	Accurate;OnlineCriteria;SocialSecurity	Definitely	Information;Respond	Definitely	NA	Likely	Definitely	Definitely	Likely	Definitely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Diagnose;FamilySupport;PersonalAdvice	Alone;NoInfo;NoMotivation	GP;GroupSupport;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Unknown	Great extent	Moderately	Great extent	Not at all	Moderately	Moderately	Great extent	Not at all	Moderately	No	71-80	Turkey	Male	HighSchool	Divorced	Pensioned	No	NA	NA	Yes	No	1	3	1	3	2	2	2	2	2	1	1	3	3	3	2	1	3	3	3	2	2	3	1	3	2	2	4	1	2	2	3	4	1	3	1	4	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	3	1	1	3	1	2	1	3	2	2	1	3	2	5	1	2	3	4	Kitap okumak,  internet	NA	NA	NA	Gerekenleri yapar gerisini tevekkülle kabullenirim..	Benzer hastalarla teimas kurarım.	NA	NA	NA
132336	6137078	turkish	tu	Yes	Occasionally	Very strong	Very strong	Very strong	Strong	Very strong	Very strong	No influence	Strong	Strong	Very strong	Very strong	Very important	Very important	Very important	Important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Schizophrenia;Stroke	Rarely	Occasionally	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Frequently	Occasionally	Occasionally	Occasionally	Occasionally	Frequently	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Cheap;SocialSecurity	Definitely	Information;Respond	Definitely	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Diagnose;PersonalAdvice;WorseMemory	NoInfo;NoMotivation	Checkup;GP;GroupSupport;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Moderately	Moderately	Moderately	Great extent	Moderately	Moderately	No	41-60	Turkey	Female	HighSchool	DomesticPartner	Pensioned;Stay-at-home	No	NA	NA	No	No	1	1	1	2	1	1	5	2	2	1	1	1	1	1	2	1	1	3	2	2	1	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	3	1	1	3	3	Bulmaca  çözmek  kitap  okumak	NA	NA	NA	NA	NA	NA	NA	NA
132336	6137118	turkish	tu	Yes	Occasionally	Strong	Moderate	Very strong	Moderate	No influence	Moderate	Very strong	Weak	Moderate	Very strong	Strong	Not important	Important	NA	Very important	Very important	Moderately important	Alzheimer;Anxiety;Bipolar;Depression;Parkinson;Schizophrenia	Rarely	Occasionally	Occasionally	Occasionally	Never	Never	Occasionally	Never	Occasionally	Occasionally	Never	Occasionally	Occasionally	Never	Never	Rarely	Frequently	Occasionally	Occasionally	Never	Cheap;SocialSecurity	Probably	Learn about the risk	Definitely	NA	Definitely	NA	NA	NA	Definitely	NA	NA	NA	NA	Likely	NA	Very likely	NA	NA	NA	PersonalAdvice	NoInfo;NoMotivation	SupportFamily	Yes	Yes	NA	Yes	NA	NA	Great extent	NA	NA	Moderately	NA	NA	NA	Moderately	NA	No	61-70	Turkey	Female	HighSchool	Widowed	Pensioned	No	NA	NA	Yes	No	2	3	1	3	5	3	1	4	3	1	2	4	2	NA	1	1	3	3	2	2	2	4	4	2	4	2	2	4	2	2	4	4	3	1	2	2	4	1	NA	NA	NA	1	NA	NA	NA	NA	2	NA	1	NA	NA	NA	1	1	NA	1	NA	NA	1	NA	NA	2	NA	NA	NA	2	NA	4	1	1	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA
132336	6137583	turkish	tu	Yes	Occasionally	Very strong	Strong	Very strong	Moderate	Very strong	Very strong	Very strong	Strong	Very strong	Strong	Very strong	Very important	Very important	Important	Important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Never	Frequently	Occasionally	Frequently	Occasionally	Occasionally	Occasionally	Never	Occasionally	Occasionally	Frequently	Occasionally	Occasionally	Accurate;Cheap;NoPain	Definitely	Information;Respond	Probably	NA	Likely	Likely	Definitely	Definitely	Definitely	Likely	Very likely	Likely	Likely	Very likely	Very likely	Already do	Unlikely	Already do	NA	Affordable;Diagnose;Fun	GiveupHobby;NoInfo;StartNoFun	Checkup;GP;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Unknown	Great extent	Moderately	Moderately	Moderately	Not at all	Great extent	Great extent	Not at all	Moderately	No	18-25	Germany	Female	HighSchool	Single	Student	No	NA	NA	No	Yes	1	2	1	3	1	1	1	2	1	2	1	1	1	2	2	1	2	2	1	1	1	1	1	1	4	1	2	1	2	2	2	4	2	2	1	2	2	2	2	1	1	1	2	1	2	2	1	1	3	4	3	NA	1	1	1	1	1	3	1	2	2	2	3	1	1	3	2	1	71	1	3	1	Yoga, meditasyon	NA	NA	NA	NA	NA	NA	NA	NA
132336	6137789	turkish	tu	Yes	Occasionally	Weak	Strong	Very strong	No influence	Strong	Moderate	Moderate	Moderate	Strong	Strong	Very strong	Moderately important	Important	Important	Very important	Very important	Moderately important	Alzheimer;Parkinson;Schizophrenia;Stroke	Rarely	Rarely	Occasionally	Occasionally	Occasionally	Occasionally	Occasionally	Never	Frequently	Occasionally	Frequently	Rarely	Occasionally	Occasionally	Occasionally	Rarely	Occasionally	Frequently	Frequently	Frequently	Accurate;NoPain;Quick	Probably not	NA	NA	Don't want to know	Unlikely	Definitely	Likely	Definitely	Definitely	Likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	NA	Diagnose;PersonalAdvice;WorseMemory	NoInfo;NoMotivation;StartNoFun	Checkup;GP;SupportFamily	Unknown	Yes	Unknown	Yes	Yes	No	Great extent	Not at all	Moderately	Not at all	Moderately	Moderately	Moderately	Not at all	Not at all	No	26-40	Turkey	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	No	No	4	2	1	5	2	3	3	3	2	2	1	3	2	2	1	1	3	3	3	2	2	2	2	2	4	1	2	1	3	2	2	2	3	2	1	1	1	3	1	2	1	1	2	1	1	1	2	1	2	1	1	NA	3	1	3	1	1	2	1	3	2	3	2	2	2	3	3	2	1	1	5	3	Bulmaca	NA	NA	NA	NA	NA	NA	NA	NA
132336	6137826	turkish	tu	Yes	Rarely	Very strong	Very strong	Strong	Strong	Very strong	Strong	Strong	Strong	Very strong	Very strong	Very strong	Very important	Very important	Very important	Very important	Important	Very important	Alzheimer;Schizophrenia	Occasionally	Occasionally	Frequently	Occasionally	Frequently	Occasionally	Frequently	Never	Occasionally	Occasionally	Occasionally	Occasionally	Frequently	NA	Frequently	Occasionally	Frequently	Occasionally	Occasionally	Occasionally	Accurate;NoPain;SocialSecurity	Probably not	NA	NA	Don't want to know	Unlikely	Definitely	Likely	Likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Very likely	Likely	Likely	Already do	NA	Diagnose;ImpactKnown;WorseMemory	Alone;NoMotivation;NotHelp	GP	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Moderately	Moderately	Not at all	Moderately	Not at all	Great extent	Not at all	Not at all	No	41-60	Turkey	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	No	Yes	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	4	2	2	2	2	1	NA	1	2	1	2	2	2	3	1	2	2	2	2	1	2	1	2	1	2	2	3	NA	1	1	3	1	1	1	1	2	2	3	2	3	1	3	3	3	1	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
132336	6137901	turkish	tu	Yes	Occasionally	Very strong	Strong	Strong	Strong	Strong	Very strong	Very strong	Strong	Very strong	Strong	Very strong	Important	Very important	Important	Important	Very important	Important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	Frequently	Occasionally	Frequently	Occasionally	Frequently	Frequently	Frequently	Occasionally	Occasionally	Occasionally	Frequently	NA	Frequently	Occasionally	Frequently	Frequently	Frequently	Frequently	Cheap;SocialSecurity	Definitely	Information;Respond	Definitely	NA	Unlikely	Definitely	Definitely	Definitely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Affordable;PersonalAdvice;WorseMemory	Expensive;NoInfo;NoMotivation	Checkup;GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Not at all	Moderately	Moderately	Moderately	Moderately	Great extent	Great extent	Great extent	No	61-70	Turkey	Female	GradSchool	DomesticPartner	Pensioned	Yes	NA	Excellent	No	No	1	2	2	2	2	1	1	2	1	2	1	2	1	2	2	1	2	3	2	1	2	1	2	1	1	1	2	2	2	1	NA	1	2	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	3	2	2	2	2	1	1	1	4	1	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
132336	6137931	turkish	tu	Yes	Occasionally	Very strong	Strong	Strong	Moderate	Strong	Very strong	Moderate	Strong	Very strong	Strong	Strong	Important	Important	Important	Moderately important	Very important	Important	Addiction;Alzheimer;Bipolar;Parkinson;Schizophrenia	Occasionally	Occasionally	Occasionally	Frequently	NA	Frequently	Frequently	Occasionally	Frequently	Occasionally	Frequently	Occasionally	Frequently	NA	Never	Frequently	Frequently	Frequently	Occasionally	Frequently	Accurate	Definitely	Respond	Definitely	NA	Definitely not	Unlikely	Likely	Likely	Definitely	Unlikely	Likely	Likely	Already do	Very likely	Likely	Already do	Not at all	Not at all	Likely	WorseMemory	NoInfo;NotHelp;StartNoFun	GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Moderately	Moderately	Not at all	Moderately	Moderately	Moderately	Moderately	Not at all	Not at all	No	61-70	Turkey	Female	GradSchool	Widowed	Employed;Pensioned	Yes	NA	NA	No	No	1	2	2	3	2	1	3	2	1	2	2	2	2	2	3	1	2	2	2	2	1	NA	1	1	2	1	2	1	2	1	NA	4	1	1	1	2	1	4	3	2	2	1	4	2	2	3	1	2	3	5	5	2	1	1	1	1	1	1	2	2	3	2	2	2	2	3	3	4	1	1	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA
132336	6137954	turkish	tu	Yes	Rarely	Strong	Weak	Very strong	Moderate	Moderate	Strong	Moderate	Weak	Moderate	Very strong	Strong	Important	Important	NA	NA	Important	NA	Alzheimer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Never	Occasionally	Frequently	Frequently	Frequently	Occasionally	Occasionally	Never	Frequently	Never	Frequently	Rarely	Frequently	NA	Never	Rarely	Occasionally	Frequently	Never	Rarely	Cheap;NoPain;OnlineCriteria	Probably	Prepare;Respond	Probably	NA	NA	NA	NA	NA	Definitely	NA	Very likely	Very likely	NA	Very likely	Very likely	NA	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	Expensive;NoInfo;NoMotivation	GP	Yes	Yes	NA	Yes	NA	NA	Great extent	NA	NA	NA	NA	NA	NA	NA	NA	No	61-70	Turkey	Male	GradSchool	DomesticPartner	Pensioned	No	NA	NA	No	No	2	4	1	3	3	2	3	4	3	1	2	2	2	NA	NA	2	NA	4	2	1	1	1	2	2	4	1	4	1	3	1	NA	4	3	2	1	4	3	NA	NA	NA	NA	1	NA	1	1	NA	1	1	NA	NA	NA	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	4	1	2	5	3	Üzücü olaylardan uzaklaşmak	NA	NA	NA	NA	NA	NA	NA	NA
132336	6138007	turkish	tu	Yes	Occasionally	Very strong	Weak	Strong	Weak	Strong	Strong	Very strong	Moderate	Very strong	Strong	Very strong	Very important	Very important	Very important	Important	Very important	Very important	Addiction;Alzheimer;Anxiety;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Occasionally	NA	Frequently	Frequently	Occasionally	Frequently	Never	Occasionally	Frequently	Frequently	Occasionally	Frequently	NA	Frequently	Occasionally	Frequently	Occasionally	Frequently	Frequently	Accurate;Quick;SocialSecurity	Definitely	Information;Respond	Definitely	NA	Unlikely	Definitely	Definitely	NA	Likely	Already do	Very likely	Likely	Likely	Likely	Likely	Likely	Very likely	Very likely	NA	ImpactKnown;PersonalAdvice;WorseMemory	GiveupHobby;NotHelp;StartNoFun	GP;GroupSupport;SupportFamily	Yes	Yes	Unknown	Yes	Yes	Yes	Great extent	Not at all	Moderately	Moderately	Moderately	Moderately	Great extent	Not at all	Moderately	Yes	41-60	Turkey	Male	GradSchool	DomesticPartner	Employed	No	NA	NA	Yes	No	1	4	2	4	2	2	1	3	1	2	1	1	1	1	2	1	1	3	2	NA	1	1	2	1	4	2	1	1	2	1	NA	1	2	1	2	1	1	3	1	1	NA	2	3	1	2	2	2	2	2	1	1	NA	1	1	3	1	1	1	1	3	2	2	2	2	1	3	2	3	1	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
