form_id	submission_id	Consent_Form_hu	Q01_Think_Brain_Frequency_hu	Q02_DietInfl_hu	Q02_DietInfl_hu_dummy	Q02_EducationInfl_hu	Q02_EducationInfl_hu_dummy	Q02_GeneticsInfl_hu	Q02_GeneticsInfl_hu_dummy	Q02_IncomeInfl_hu	Q02_IncomeInfl_hu_dummy	Q02_LifeGoalsInfl_hu	Q02_LifeGoalsInfl_hu_dummy	Q02_PhyEnvironmentInfl_hu	Q02_PhyEnvironmentInfl_hu_dummy	Q02_PhyHealthInfl_hu	Q02_PhyHealthInfl_hu_dummy	Q02_ProfessionInfl_hu	Q02_ProfessionInfl_hu_dummy	Q02_SleepHabitsInfl_hu	Q02_SleepHabitsInfl_hu_dummy	Q02_SocEnvironmentInfl_hu	Q02_SocEnvironmentInfl_hu_dummy	Q02_SubstanceInfl_hu	Q02_SubstanceInfl_hu_dummy	Q03_Adolescence_hu	Q03_Adolescence_hu_dummy	Q03_Child_hu	Q03_Child_hu_dummy	Q03_MiddleAge_hu	Q03_MiddleAge_hu_dummy	Q03_OlderAge_hu	Q03_OlderAge_hu_dummy	Q03_Womb_hu	Q03_Womb_hu_dummy	Q03_YoungAdult_hu	Q03_YoungAdult_hu_dummy	Q04_Brain_Disease_hu	Q05_AlcoholGen_hu	Q05_AlcoholGen_hu_dummy	Q05_ExcerciseGen_hu	Q05_ExcerciseGen_hu_dummy	Q05_HealthyDietGen_hu	Q05_HealthyDietGen_hu_dummy	Q05_IntellectGen_hu	Q05_IntellectGen_hu_dummy	Q05_ProtectionGen_hu	Q05_ProtectionGen_hu_dummy	Q05_RelaxGen_hu	Q05_RelaxGen_hu_dummy	Q05_SleepGen_hu	Q05_SleepGen_hu_dummy	Q05_SmokeGen_hu	Q05_SmokeGen_hu_dummy	Q05_SocialiseGen_hu	Q05_SocialiseGen_hu_dummy	Q05_SupplementsGen_hu	Q05_SupplementsGen_hu_dummy	Q05_WorkLifeBalanceGen_hu	Q05_WorkLifeBalanceGen_hu_dummy	Q06_BrainHealth_Purpose_Spec_hu	Q06_ExcercisePurp_hu	Q06_ExcercisePurp_hu_dummy	Q06_HealthyDietPurp_hu	Q06_HealthyDietPurp_hu_dummy	Q06_OtherPurp_hu	Q06_OtherPurp_hu_dummy	Q06_ProtectionPurp_hu	Q06_ProtectionPurp_hu_dummy	Q06_RelaxPurp_hu	Q06_RelaxPurp_hu_dummy	Q06_SleepPurp_hu	Q06_SleepPurp_hu_dummy	Q06_SocialisePurp_hu	Q06_SocialisePurp_hu_dummy	Q06_SupplementsPurp_hu	Q06_SupplementsPurp_hu_dummy	Q06_WorkLifeBalancePurp_hu	Q06_WorkLifeBalancePurp_hu_dummy	Q07_Test_Criteria_hu	Q07_Test_Criteria_Spec_hu	Q08_Take_Test_hu	Q09a_Test_Reason_hu	Q09a_Test_Reason_Spec_hu	Q09b_Test_Nonpreventable_hu	Q09c_No_Test_hu	Q10_FamilyFriends_hu	Q10_FamilyFriends_hu_dummy	Q10_Library_hu	Q10_Library_hu_dummy	Q10_LifestyleChange_hu	Q10_LifestyleChange_hu_dummy	Q10_Plan_hu	Q10_Plan_hu_dummy	Q10_ProfessHelp_hu	Q10_ProfessHelp_hu_dummy	Q10_TestReactionSpec_hu	Q11_BrainStimuli_hu	Q11_BrainStimuli_hu_dummy	Q11_EatHealthy_hu	Q11_EatHealthy_hu_dummy	Q11_ExcerciseMore_hu	Q11_ExcerciseMore_hu_dummy	Q11_ImprSleepingHabits_hu	Q11_ImprSleepingHabits_hu_dummy	Q11_MoreCulture_hu	Q11_MoreCulture_hu_dummy	Q11_MoreRelax_hu	Q11_MoreRelax_hu_dummy	Q11_MoreSocial_hu	Q11_MoreSocial_hu_dummy	Q11_NoAlcohol_hu	Q11_NoAlcohol_hu_dummy	Q11_NoSmoking_hu	Q11_NoSmoking_hu_dummy	Q11_OtherChanges_hu	Q11_OtherChanges_hu_dummy	Q11_OtherChanges_Spec_hu	Q12_MotivateChange_Category_hu	Q12_OtherChangeMotivation_Spec_hu	Q13_NoChange_Motivation_hu	Q13_SpecifyNoMotivation_Spec_hu	Q14_ChangeAssistance_hu	Q14_OtherAssistance_Spec_hu	Q15_FreetestAuth_hu	Q15_FreetestAuth_hu_dummy	Q15_InformAuth_hu	Q15_InformAuth_hu_dummy	Q15_InsAuth_hu	Q15_InsAuth_hu_dummy	Q15_RelaxAuth_hu	Q15_RelaxAuth_hu_dummy	Q15_SubsAuth_hu	Q15_SubsAuth_hu_dummy	Q15_TaxAuth_hu	Q15_TaxAuth_hu_dummy	Q16_BrainHealthSpec_hu	Q16_BrainHealthSpec_hu_dummy	Q16_GP_hu	Q16_GP_hu_dummy	Q16_HealthAuthWebsites_hu	Q16_HealthAuthWebsites_hu_dummy	Q16_Newspaper_hu	Q16_Newspaper_hu_dummy	Q16_OnlineForum_hu	Q16_OnlineForum_hu_dummy	Q16_PublicResearch_hu	Q16_PublicResearch_hu_dummy	Q16_ScientificJournals_hu	Q16_ScientificJournals_hu_dummy	Q16_SocialMedia_hu	Q16_SocialMedia_hu_dummy	Q16_TVRadio_hu	Q16_TVRadio_hu_dummy	Q17_BrainResearch_Part_hu	Q18_Age_hu	Q18_Age_hu_dummy	Q19_Residence_hu	Q19_Residence_hu_dummy	Q20_Sex_hu	Q20_Sex_hu_dummy	Q21_Education_Coded_hu	Q21_Education_Coded_hu_dummy	Q22_Relationship_Status_hu	Q22_Relationship_Status_hu_dummy	Q23_Vocation_categories_hu	Q24_Exp_HealthCare_hu	Q25_Cognitive_Health_hu	Q26_Emotional_Health_hu	Q27_Illness_hu	Q28_BrainDisease_Care_hu
116413	8553880	Consent_Yes_hu	Frequently	Strong	2	Moderate	3	Strong	2	NoInfluence	5	NoInfluence	5	Strong	2	VeryStrong	1	Moderate	3	VeryStrong	1	Moderate	3	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Bipolar;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Rarely	3	Rarely	3	Rarely	3	Never	4	Rarely	3	Rarely	3	Never	4	Occasionally	2	Frequently	1	Occasionally	2	Olvasás	Rarely	3	Rarely	3	Occasionally	2	Never	4	Occasionally	2	Rarely	3	Occasionally	2	Frequently	1	Occasionally	2	Accurate;OnlineCriteria;Quick	NA	Definitely	Information;Respond	NA	ProbablyYes	NA	Likely	2	Likely	2	DefYes	1	DefYes	1	DefYes	1	Sok olyan tevékenységet folytatnék, amihez nagy szükség van az agy használatára.	Likely	2	Likely	2	Likely	2	VeryLikely	1	VeryLikely	1	Likely	2	Likely	2	VeryLikely	1	AlreadyDo	3	NA	NA	A lehetőségeinkhez mérten mindent elkövetnék agyam szintentartásához.	Diagnose;ImpactKnown;WorseMemory	NA	Alone;Expensive;NoTime	NA	Checkup;GP;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	No	41-60	3	Hungary	107	Female	1	VocationSchool	4	Unmaried	2	Unemployed	No	Average	Average	No	Yes
116413	8552961	Consent_Yes_hu	Occasionally	Strong	2	Moderate	3	Strong	2	Moderate	3	Strong	2	Moderate	3	Strong	2	Moderate	3	Strong	2	Moderate	3	Strong	2	VeryImportant	1	VeryImportant	1	Important	2	Important	2	Important	2	Important	2	Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Rarely	3	Rarely	3	Occasionally	2	Never	4	Occasionally	2	Occasionally	2	Never	4	Rarely	3	Occasionally	2	Occasionally	2	NA	Rarely	3	Rarely	3	Rarely	3	Never	4	Frequently	1	Frequently	1	Rarely	3	Occasionally	2	Rarely	3	Accurate;Cheap;Quick	NA	Probably	Respond	NA	ProbablyYes	NA	Likely	2	Likely	2	Unlikely	3	Likely	2	DefYes	1	NA	Likely	2	Likely	2	Likely	2	Likely	2	Unlikely	4	Likely	2	Unlikely	4	AlreadyDo	3	AlreadyDo	3	Unlikely	4	NA	FamilySupport;Fun;PersonalAdvice	NA	Expensive;GiveupHobby;StartNoFun	NA	Checkup;GP;SupportFamily	NA	Yes	1	Yes	1	Yes	1	Unknown	3	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	No	41-60	3	Hungary	107	Female	1	VocationSchool	4	DomesticPartner	3	Employed	No	BelowAverage	BelowAverage	Yes	No
116413	8360087	Consent_Yes_hu	Occasionally	Strong	2	Moderate	3	Moderate	3	Moderate	3	VeryStrong	1	Strong	2	Moderate	3	Moderate	3	Strong	2	Strong	2	VeryStrong	1	Important	2	Important	2	Important	2	Important	2	VeryImportant	1	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Parkinson;Schizophrenia;Stroke	Never	4	Occasionally	2	Frequently	1	Frequently	1	Rarely	3	Occasionally	2	Frequently	1	Never	4	Occasionally	2	Occasionally	2	Occasionally	2	nyelvtanulás	Occasionally	2	Occasionally	2	Occasionally	2	Rarely	3	Occasionally	2	Occasionally	2	Occasionally	2	Occasionally	2	Occasionally	2	Accurate;Quick;SocialSecurity	NA	Definitely	Respond	NA	DefYes	NA	Unlikely	3	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	PersonalAdvice;WorseMemory	NA	Expensive;NoTime	NA	GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	GreatExtent	1	NotatAll	3	Neutral	2	NotatAll	3	No	41-60	3	Hungary	107	Female	1	HighSchool	3	Divorced	4	Employed	Yes	Average	Excellent	No	Yes
116413	8329170	Consent_Yes_hu	Frequently	Strong	2	Strong	2	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	Strong	2	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	Important	2	Important	2	Important	2	VeryImportant	1	VeryImportant	1	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Frequently	1	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Occasionally	2	Never	4	Rarely	3	Never	4	Occasionally	2	Városlátogatás	Frequently	1	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Occasionally	2	Rarely	3	Never	4	Occasionally	2	Accurate;Cheap;SocialSecurity	NA	Definitely	Information;LearnRisk	NA	ProbablyYes	NA	Likely	2	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	Likely	2	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	NA	Diagnose;Family	NA	Alone;NoMotivation;StartNoFun	NA	Checkup;GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Unknown	3	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	No	41-60	3	Hungary	107	Female	1	GradSchool	5	Single	1	Unemployed	No	Average	BelowAverage	Yes	Yes
116413	8318589	Consent_Yes_hu	Frequently	Moderate	3	NoInfluence	5	VeryStrong	1	Moderate	3	VeryStrong	1	Moderate	3	Moderate	3	Moderate	3	Strong	2	VeryStrong	1	Strong	2	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Alzheimer;Bipolar;Schizophrenia	Rarely	3	Occasionally	2	Frequently	1	Frequently	1	Rarely	3	Frequently	1	Frequently	1	Never	4	Frequently	1	Frequently	1	Frequently	1	Testmozgás,a másik kézzel végzett tevékenység	Occasionally	2	Occasionally	2	Frequently	1	Rarely	3	Frequently	1	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Accurate;Cheap	NA	Definitely	Information;Respond	NA	ProbablyYes	NA	NA	NA	DefYes	1	DefYes	1	Likely	2	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	Likely	2	AlreadyDo	3	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NA	GiveupHobby;StartNoFun	NA	GP;GroupSupport;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	NA	NA	GreatExtent	1	Neutral	2	NotatAll	3	NotatAll	3	NotatAll	3	GreatExtent	1	Neutral	2	NotatAll	3	NotatAll	3	No	41-60	3	Hungary	107	Female	1	GradSchool	5	DomesticPartner	3	Stay-at-home	No	Average	Average	Yes	No
116413	8293932	Consent_Yes_hu	Occasionally	VeryStrong	1	VeryStrong	1	Moderate	3	VeryStrong	1	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	4	Occasionally	2	Occasionally	2	Occasionally	2	Frequently	1	Occasionally	2	Frequently	1	Never	4	Occasionally	2	Frequently	1	Frequently	1	NA	Occasionally	2	Occasionally	2	NA	NA	Frequently	1	Occasionally	2	Frequently	1	Rarely	3	Frequently	1	Occasionally	2	Cheap;OnlineCriteria;Quick	NA	Probably	Information;Respond	NA	Probablynot	NA	NA	NA	DefYes	1	DefYes	1	Likely	2	DefYes	1	NA	VeryLikely	1	Likely	2	Likely	2	AlreadyDo	3	Likely	2	Likely	2	Likely	2	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	Diagnose;Family;WorseMemory	NA	NoMotivation;StartNoFun	NA	Checkup;GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	NotatAll	3	GreatExtent	1	GreatExtent	1	Neutral	2	GreatExtent	1	GreatExtent	1	GreatExtent	1	NA	NA	No	41-60	3	Norway	132	Female	1	GradSchool	5	DomesticPartner	3	Employed	Yes	AboveAverage	AboveAverage	No	No
116413	8226522	Consent_Yes_hu	Occasionally	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	Strong	2	Strong	2	VeryStrong	1	Important	2	VeryImportant	1	Important	2	Important	2	VeryImportant	1	Important	2	Addiction;Alzheimer;Anxiety;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Rarely	3	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Rarely	3	Rarely	3	Occasionally	2	Rarely	3	Occasionally	2	Hobby	Rarely	3	Rarely	3	Frequently	1	Never	4	Occasionally	2	Rarely	3	Occasionally	2	Rarely	3	Occasionally	2	OnlineCriteria;Quick;SocialSecurity	NA	Definitely	Information;Respond	NA	DefYes	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	Likely	2	Likely	2	Likely	2	Likely	2	Unlikely	4	AlreadyDo	3	Unlikely	4	AlreadyDo	3	AlreadyDo	3	Likely	2	Nem idegeskednék bizonyos dolgokon	Affordable	NA	Expensive;NoMotivation	NA	Checkup;MobileApp;SupportFamily	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Yes	1	Unknown	3	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	No	41-60	3	Hungary	107	Female	1	HighSchool	3	DomesticPartner	3	Employed	Yes	Average	Average	Yes	Yes
116413	8213298	Consent_Yes_hu	Frequently	Strong	2	Strong	2	Moderate	3	Moderate	3	VeryStrong	1	Strong	2	Strong	2	Moderate	3	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	4	Rarely	3	Frequently	1	Rarely	3	Occasionally	2	Occasionally	2	Rarely	3	Never	4	Occasionally	2	Occasionally	2	Occasionally	2	Relaxáció, masszázs, idegen nyelv gyakotlása	Occasionally	2	Frequently	1	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Rarely	3	Frequently	1	Frequently	1	Accurate;OtherCriteria;Quick	Megbízható, a teszt kiértékelése legyen egyértelmű és legyen elérhető utána megoldás/kezelés/gyógyszerezés	Definitely	Information;Prepare	NA	DefYes	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	Ha kezdődő Altheimerem lenne megtetvezném az öngyilkosságot	VeryLikely	1	AlreadyDo	3	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	AlreadyDo	3	AlreadyDo	3	VeryLikely	1	Bevonnám a családom	Diagnose;PersonalAdvice;WorseMemory	NA	NotHelp	NA	Checkup;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	No	2	GreatExtent	1	NotatAll	3	Neutral	2	NotatAll	3	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	No	26-40	2	Hungary	107	Female	1	HighSchool	3	DomesticPartner	3	Employed	No	BelowAverage	Average	Yes	Yes
116413	8193519	Consent_Yes_hu	Occasionally	Strong	2	Strong	2	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	Strong	2	Strong	2	Strong	2	Strong	2	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	ModImportant	3	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	4	Rarely	3	Occasionally	2	Frequently	1	Never	4	Rarely	3	Rarely	3	Frequently	1	Rarely	3	Never	4	Frequently	1	NA	Rarely	3	Occasionally	2	Never	4	Never	4	Rarely	3	Rarely	3	Rarely	3	Never	4	Rarely	3	OnlineCriteria	NA	Definitely	LearnRisk	NA	DefYes	NA	Defnot	4	DefYes	1	Likely	2	Unlikely	3	DefYes	1	NA	Likely	2	VeryLikely	1	Likely	2	Likely	2	AlreadyDo	3	Likely	2	Unlikely	4	VeryLikely	1	Likely	2	NA	NA	NA	Diagnose	NA	Expensive	NA	GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	No	2	GreatExtent	1	Neutral	2	NotatAll	3	NotatAll	3	Neutral	2	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	No	61-70	4	Hungary	107	Female	1	GradSchool	5	DomesticPartner	3	Pensioned	No	AboveAverage	Average	Yes	No
116413	8177910	Consent_Yes_hu	Occasionally	Strong	2	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Occasionally	2	Frequently	1	Frequently	1	Never	4	Occasionally	2	Frequently	1	Never	4	Rarely	3	Frequently	1	Rarely	3	NA	Occasionally	2	Frequently	1	Rarely	3	Never	4	Rarely	3	Occasionally	2	Rarely	3	Frequently	1	Rarely	3	Accurate;Cheap;Quick	NA	Definitely	Information;Respond	NA	ProbablyYes	NA	Likely	2	DefYes	1	DefYes	1	Likely	2	DefYes	1	NA	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	Likely	2	VeryLikely	1	AlreadyDo	3	NA	NA	NA	Diagnose;Family;WorseMemory	NA	Alone;Expensive	NA	Checkup;MobileApp	NA	Yes	1	Yes	1	Yes	1	Unknown	3	Yes	1	Unknown	3	GreatExtent	1	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	No	61-70	4	Hungary	107	Female	1	GradSchool	5	Unmaried	2	Pensioned	Yes	Average	Average	Yes	Yes
