form_id	submission_id	Consent_Form_no	Q01_Think_Brain_Frequency_no	Q02_DietInfl_no	Q02_DietInfl_no_dummy	Q02_EducationInfl_no	Q02_EducationInfl_no_dummy	Q02_GeneticsInfl_no	Q02_GeneticsInfl_no_dummy	Q02_IncomeInfl_no	Q02_IncomeInfl_no_dummy	Q02_LifeGoalsInfl_no	Q02_LifeGoalsInfl_no_dummy	Q02_PhyEnvironmentInfl_no	Q02_PhyEnvironmentInfl_no_dummy	Q02_PhyHealthInfl_no	Q02_PhyHealthInfl_no_dummy	Q02_ProfessionInfl_no	Q02_ProfessionInfl_no_dummy	Q02_SleepHabitsInfl_no	Q02_SleepHabitsInfl_no_dummy	Q02_SocEnvironmentInfl_no	Q02_SocEnvironmentInfl_no_dummy	Q02_SubstanceInfl_no	Q02_SubstanceInfl_no_dummy	Q03_Adolescence_no	Q03_Adolescence_no_dummy	Q03_Child_no	Q03_Child_no_dummy	Q03_MiddleAge_no	Q03_MiddleAge_no_dummy	Q03_OlderAge_no	Q03_OlderAge_no_dummy	Q03_Womb_no	Q03_Womb_no_dummy	Q03_YoungAdult_no	Q03_YoungAdult_no_dummy	Q04_Brain_Disease_no	Q05_AlcoholGen_no	Q05_AlcoholGen_no_dummy	Q05_ExcerciseGen_no	Q05_ExcerciseGen_no_dummy	Q05_HealthyDietGen_no	Q05_HealthyDietGen_no_dummy	Q05_IntellectGen_no	Q05_IntellectGen_no_dummy	Q05_ProtectionGen_no	Q05_ProtectionGen_no_dummy	Q05_RelaxGen_no	Q05_RelaxGen_no_dummy	Q05_SleepGen_no	Q05_SleepGen_no_dummy	Q05_SmokeGen_no	Q05_SmokeGen_no_dummy	Q05_SocialiseGen_no	Q05_SocialiseGen_no_dummy	Q05_SupplementsGen_no	Q05_SupplementsGen_no_dummy	Q05_WorkLifeBalanceGen_no	Q05_WorkLifeBalanceGen_no_dummy	Q06_BrainHealth_Purpose_Spec_no	Q06_ExcercisePurp_no	Q06_ExcercisePurp_no_dummy	Q06_HealthyDietPurp_no	Q06_HealthyDietPurp_no_dummy	Q06_OtherPurp_no	Q06_OtherPurp_no_dummy	Q06_ProtectionPurp_no	Q06_ProtectionPurp_no_dummy	Q06_RelaxPurp_no	Q06_RelaxPurp_no_dummy	Q06_SleepPurp_no	Q06_SleepPurp_no_dummy	Q06_SocialisePurp_no	Q06_SocialisePurp_no_dummy	Q06_SupplementsPurp_no	Q06_SupplementsPurp_no_dummy	Q06_WorkLifeBalancePurp_no	Q06_WorkLifeBalancePurp_no_dummy	Q07_Test_Criteria_no	Q07_Test_Criteria_Spec_no	Q08_Take_Test_no	Q09a_Test_Reason_no	Q09a_Test_Reason_Spec_no	Q09b_Test_Nonpreventable_no	Q09c_No_Test_no	Q09c_OtherReason_Spec_no	Q10_FamilyFriends_no	Q10_FamilyFriends_no_dummy	Q10_Library_no	Q10_Library_no_dummy	Q10_LifestyleChange_no	Q10_LifestyleChange_no_dummy	Q10_Plan_no	Q10_Plan_no_dummy	Q10_ProfessHelp_no	Q10_ProfessHelp_no_dummy	Q10_TestReactionSpec_no	Q11_BrainStimuli_no	Q11_BrainStimuli_no_dummy	Q11_EatHealthy_no	Q11_EatHealthy_no_dummy	Q11_ExcerciseMore_no	Q11_ExcerciseMore_no_dummy	Q11_ImpSleepingHabits_no	Q11_ImpSleepingHabits_no_dummy	Q11_MoreCulture_no	Q11_MoreCulture_no_dummy	Q11_MoreRelax_no	Q11_MoreRelax_no_dummy	Q11_MoreSocial_no	Q11_MoreSocial_no_dummy	Q11_NoAlcohol_no	Q11_NoAlcohol_no_dummy	Q11_NoSmoking_no	Q11_NoSmoking_no_dummy	Q11_OtherChanges_no	Q11_OtherChanges_no_dummy	Q11_OtherChanges_Spec_no	Q12_MotivateChange_Category_no	Q12_OtherMotivationChange_Spec_no	Q13_NoChange_Motivation_no	Q13_SpecifyNoMotivation_Spec_no	Q14_ChangeAssistance_no	Q14_OtherAssistance_Spec_no	Q15_FreetestAuth_en	Q15_FreetestAuth_en_dummy	Q15_InformAuth_no	Q15_InformAuth_no_dummy	Q15_InsAuth_en	Q15_InsAuth_en_dummy	Q15_RelaxAuth_en	Q15_RelaxAuth_en_dummy	Q15_SubsAuth_no	Q15_SubsAuth_no_dummy	Q15_TaxAuth_no	Q15_TaxAuth_no_dummy	Q16_BrainHealthSpec_no	Q16_BrainHealthSpec_no_dummy	Q16_GP_no	Q16_GP_no_dummy	Q16_HealthAuthWebsites_no	Q16_HealthAuthWebsites_no_dummy	Q16_Newspaper_no	Q16_Newspaper_no_dummy	Q16_OnlineForum_no	Q16_OnlineForum_no_dummy	Q16_PublicResearch_no	Q16_PublicResearch_no_dummy	Q16_ScientificJournals_no	Q16_ScientificJournals_no_dummy	Q16_SocialMedia_no	Q16_SocialMedia_no_dummy	Q16_TVRadio_no	Q16_TVRadio_no_dummy	Q17_BrainResearch_Part_no	Q18_Age_no	Q18_Age_no_dummy	Q19_Residence_no	Q19_Residence_no_dummy	Q20_Sex_no	Q20_Sex_no_dummy	Q21_Education_Coded_no	Q21_Education_Coded_no_dummy	Q22_Relationship_Status_no	Q22_Relationship_Status_no_dummy	Q23_Vocation_categories_no	Q24_Exp_HealthCare_no	Q25_Cognitive_Health_no	Q26_Emotional_Health_no	Q27_Illness_no	Q28_BrainDisease_Care_no
117805	9043626	Consent_Yes_no	Frequently	Strong	2	Strong	2	Moderate	3	Moderate	3	Moderate	3	Moderate	3	Strong	2	Strong	2	Moderate	3	Strong	2	Moderate	3	Important	2	Important	2	Important	2	Important	2	Important	2	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Frequently	1	Occasionally	2	Frequently	1	Frequently	1	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Frequently	1	Occasionally	2	Reiser	Frequently	1	Occasionally	2	Occasionally	2	Frequently	1	Frequently	1	Occasionally	2	Occasionally	2	Frequently	1	Occasionally	2	Accurate;NoPain;Quick	NA	Probably	LearnRisk;Respond	NA	DefYes	NA	NA	Likely	2	Likely	2	Likely	2	Likely	2	DefYes	1	NA	AlreadyDo	3	Likely	2	AlreadyDo	3	Likely	2	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	Likely	2	AlreadyDo	3	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NA	Alone;NoInfo;NoMotivation	NA	Checkup	NA	Yes	1	Yes	1	Yes	1	Unknown	3	Unknown	3	Yes	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	No	61-70	4	Norway	126	Male	2	GradSchool	5	Divorced	4	Employed	Yes	Average	Average	No	No
117805	9042412	Consent_Yes_no	Frequently	Strong	2	Moderate	3	Strong	2	Moderate	3	Moderate	3	Moderate	3	VeryStrong	1	Moderate	3	Moderate	3	Strong	2	Strong	2	Important	2	ModImportant	3	VeryImportant	1	VeryImportant	1	ModImportant	3	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Parkinson;Schizophrenia;Stroke	Frequently	1	Frequently	1	Occasionally	2	Rarely	3	Occasionally	2	Occasionally	2	Frequently	1	Rarely	3	Frequently	1	Rarely	3	Frequently	1	sykler så ofte jeg kan til ulike gjøremål	Frequently	1	Occasionally	2	Occasionally	2	Rarely	3	Frequently	1	Frequently	1	Frequently	1	Rarely	3	Frequently	1	Accurate;Cheap;SocialSecurity	NA	Probably	Information;Respond	NA	ProbablyYes	NA	NA	NA	NA	NA	NA	NA	NA	Likely	2	Likely	2	søke støtte fra fastlegen	Likely	2	Likely	2	AlreadyDo	3	Likely	2	Likely	2	AlreadyDo	3	AlreadyDo	3	Likely	2	AlreadyDo	3	NA	NA	be til Gud om hjelp	Diagnose;ImpactKnown;PersonalAdvice	NA	NotHelp;OtherMotivationNoChange	fortrenge realiteten !	Checkup;GP	NA	Yes	1	Yes	1	Unknown	3	Unknown	3	Unknown	3	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	No	71-80	5	Norway	126	Female	1	GradSchool	5	Single	1	Pensioned	Yes	BelowAverage	UnderAverage	No	No
117805	9041381	Consent_Yes_no	Frequently	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Alzheimer;Anxiety;Bipolar;Migraine;Parkinson;Stroke	Rarely	3	Frequently	1	Frequently	1	Occasionally	2	Occasionally	2	Frequently	1	Frequently	1	Never	4	Frequently	1	Frequently	1	Frequently	1	bruker fastlege til å sjekke helsa med blodprøver. har ikke gjort dette før men fikk meg en påminnelse i september 2019 der det ble funnet høyt kolestrol,høye trigeldisarider og høyt sukkerindhold i blodet. fikk et illebefinnende og grunnen trur jeg var trigeldisaridenene som l på 21.5. hadde det samme illebefinnede i 2015 og ser tilbake til da at trigeldisaridene og sukkerinholdet var høyt da og men ble ikke gjort noe med deg. jeg har hadd epilepsi siden 5 års alderen  så diagnosen ble stilt på bakrunn av det uten funn av epileptisk aktivitet beggegangene. er opperert for epilepsi i 2003 og vært stabil siden 2005 med keppra og orfiril long så tester på lipider bør gjøres oftere og særlig for personer som går på sterke medisiner ikke nokk å bare måle speil på medisinene men medisenen kan gjøre mange forstyrrelser i kroppen	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	OnlineCriteria;OtherCriteria;SocialSecurity	ved bruk av entiepileptika bør det gjøres årlig.	Definitely	Respond	NA	DefYes	NA	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	etter dette med lipidene mine så har jeg oppsøkt PT trener der jeg får kostholdsveilednig,trenigsveilednig og oplæring av bruk av trenigsutstyr på senter og lær å trene rett	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	be om bedre oppfølging i helsevesnet. alt for dårlig tilbus slik det er i dag. man må nesten dø for å få hjelp og enda da så går ting for tregt og man må mase og purre på.	Diagnose;PersonalAdvice;WorseMemory	NA	Alone;Expensive;NoInfo	NA	Checkup;GP;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	No	41-60	3	Norway	126	Male	2	HighSchool	3	DomesticPartner	3	Disabled	No	Average	Average	Yes	Yes
117805	9041019	Consent_Yes_no	Frequently	Strong	2	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Occasionally	2	Occasionally	2	Never	4	Frequently	1	Rarely	3	Rarely	3	Never	4	Frequently	1	Occasionally	2	Rarely	3	NA	Never	4	Never	4	NA	NA	Never	4	Rarely	3	Rarely	3	Frequently	1	Frequently	1	Rarely	3	Accurate;Cheap;Quick	NA	Definitely	Information;Respond	NA	DefYes	NA	NA	DefYes	1	Likely	2	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose;ImpactKnown;WorseMemory	NA	NoMotivation;NotHelp;NoTime	NA	GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	No	2	GreatExtent	1	GreatExtent	1	NotatAll	3	NotatAll	3	NotatAll	3	GreatExtent	1	GreatExtent	1	NotatAll	3	NotatAll	3	No	18-25	1	Norway	126	Female	1	GradSchool	5	Single	1	Student	Yes	Average	UnderAverage	No	Yes
117805	9039142	Consent_Yes_no	Frequently	Strong	2	Strong	2	Strong	2	Moderate	3	Strong	2	Strong	2	Strong	2	Moderate	3	Strong	2	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Schizophrenia;Stroke	Occasionally	2	Rarely	3	Frequently	1	Frequently	1	Rarely	3	Occasionally	2	Never	4	Never	4	Frequently	1	Occasionally	2	Occasionally	2	Forsøker å få bedre søvn.	Rarely	3	Frequently	1	Frequently	1	Rarely	3	Occasionally	2	Never	4	Frequently	1	Occasionally	2	Occasionally	2	Accurate;NoPain;SocialSecurity	NA	Probably	OtherMotivation;Respond	Leve klokere.	ProbablyNot	NA	NA	Likely	2	Likely	2	Likely	2	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	Likely	2	Likely	2	Likely	2	VeryLikely	1	AlreadyDo	3	Likely	2	AlreadyDo	3	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NA	NotHelp;NoTime;StartNoFun	NA	Checkup;GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	No	26-40	2	Norway	126	Female	1	GradSchool	5	Divorced	4	Employed;Student	Yes	AboveAverage	Average	Yes	No
117805	9038839	Consent_Yes_no	Occasionally	NA	NA	Strong	2	Moderate	3	Moderate	3	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	VeryStrong	1	Strong	2	Important	2	VeryImportant	1	Important	2	Important	2	NA	NA	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Occasionally	2	Frequently	1	Frequently	1	Rarely	3	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Rarely	3	Occasionally	2	NA	Occasionally	2	Frequently	1	Never	4	Rarely	3	Occasionally	2	Occasionally	2	Rarely	3	Never	4	Occasionally	2	Accurate;Cheap;NoPain	NA	Probably	LearnRisk;Respond	NA	ProbablyYes	NA	NA	Unlikely	3	DefYes	1	Likely	2	Likely	2	Unlikely	3	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	Likely	2	NA	NA	VeryLikely	1	NotAtAll	5	NA	ImpactKnown	NA	NoNeed;NotHelp	NA	Checkup	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	No	2	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	No	41-60	3	Norway	126	Male	2	GradSchool	5	Single	1	Employed	No	AboveAverage	AboveAverage	No	No
117805	9027245	Consent_Yes_no	Occasionally	VeryStrong	1	Strong	2	VeryStrong	1	Moderate	3	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Bipolar;Cancer;Depression;Diabetes;Migraine;Schizophrenia;Stroke	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Never	4	Rarely	3	Rarely	3	Occasionally	2	Studerer og tegner	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Rarely	3	Rarely	3	Frequently	1	Accurate;Cheap;Quick	NA	Probably	LearnRisk;Prepare	NA	ProbablyYes	NA	NA	Likely	2	DefYes	1	DefYes	1	Likely	2	DefYes	1	Skrive testament	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	Likely	2	Likely	2	VeryLikely	1	VeryLikely	1	Være mer glad	ImpactKnown;PersonalAdvice;WorseMemory	NA	NoInfo;NotHelp	NA	Checkup;SupportFamily	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Unknown	3	Yes	1	GreatExtent	1	NotatAll	3	GreatExtent	1	NotatAll	3	Neutral	2	GreatExtent	1	Neutral	2	NotatAll	3	Neutral	2	No	26-40	2	Norway	126	Female	1	GradSchool	5	Unmarried	2	Employed	No	Average	Average	No	No
117805	9026609	Consent_Yes_no	Frequently	VeryStrong	1	Strong	2	VeryStrong	1	Weak	4	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Occasionally	2	Occasionally	2	Occasionally	2	Never	4	Rarely	3	Rarely	3	Rarely	3	Rarely	3	Occasionally	2	Rarely	3	NA	Occasionally	2	Occasionally	2	NA	NA	Never	4	NA	NA	Rarely	3	Rarely	3	Frequently	1	Rarely	3	Accurate;NoPain;SocialSecurity	NA	Definitely	LearnRisk;Respond	NA	DefYes	NA	NA	Unlikely	3	Likely	2	DefYes	1	Likely	2	DefYes	1	Depresjon vil nok være en ting.	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	Unlikely	4	Likely	2	Unlikely	4	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose	NA	Alone;NoMotivation	NA	Checkup;GP	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	No	18-25	1	Norway	126	Male	2	GradSchool	5	Single	1	Employed;Student	No	BelowAverage	UnderAverage	No	Yes
117805	9025533	Consent_Yes_no	Occasionally	Strong	2	Weak	4	Moderate	3	Moderate	3	VeryStrong	1	Weak	4	VeryStrong	1	Strong	2	Strong	2	Strong	2	VeryStrong	1	Important	2	VeryImportant	1	VeryImportant	1	VeryImportant	1	Important	2	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Schizophrenia;Stroke	Rarely	3	Occasionally	2	Occasionally	2	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Rarely	3	Occasionally	2	NA	Occasionally	2	Rarely	3	NA	NA	Frequently	1	Occasionally	2	Occasionally	2	Occasionally	2	Rarely	3	Never	4	Accurate;Cheap;SocialSecurity	NA	Probably	LearnRisk;Respond	NA	ProbablyYes	NA	NA	Likely	2	Likely	2	Likely	2	Likely	2	DefYes	1	NA	Likely	2	Likely	2	Likely	2	Likely	2	AlreadyDo	3	Likely	2	Likely	2	Likely	2	AlreadyDo	3	NA	NA	NA	ImpactKnown;PersonalAdvice;WorseMemory	NA	NoMotivation	NA	GP;GroupSupport;MobileApp;SupportFamily	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Unknown	3	GreatExtent	1	Neutral	2	GreatExtent	1	NotatAll	3	Neutral	2	GreatExtent	1	GreatExtent	1	NA	NA	Neutral	2	No	41-60	3	Norway	126	Female	1	GradSchool	5	DomesticPartner	3	Disabled	No	AboveAverage	UnderAverage	Yes	No
117805	9023231	Consent_Yes_no	Frequently	Strong	2	Moderate	3	Strong	2	Weak	4	VeryStrong	1	Strong	2	Strong	2	Weak	4	VeryStrong	1	Strong	2	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	Frequently	1	Frequently	1	Kutter kjemikalier i hjemmet	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Cheap;OnlineCriteria;Quick	NA	Definitely	Prepare;Respond	NA	DefYes	NA	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	Kutte kjemikalier i hjemmet og bruke rene produkter.	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Spise renere mat og bruke rene produkter i hjemmet	Family;ImpactKnown;PersonalAdvice	NA	Expensive	NA	Checkup;GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	No	41-60	3	Norway	126	Female	1	GradSchool	5	DomesticPartner	3	Disabled	Yes	Average	AboveAverage	Yes	Yes
