form_id	submission_id	Consent_Form_se	Q01_Think_Brain_Frequency_se	Q02_DietInfl_se	Q02_DietInfl_se_dummy	Q02_EducationInfl_se	Q02_EducationInfl_se_dummy	Q02_GeneticsInfl_se	Q02_GeneticsInfl_se_dummy	Q02_IncomeInfl_se	Q02_IncomeInfl_se_dummy	Q02_LifeGoalsInfl_se	Q02_LifeGoalsInfl_se_dummy	Q02_PhyEnvironmentInfl_se	Q02_PhyEnvironmentInfl_se_dummy	Q02_PhyHealthInfl_se	Q02_PhyHealthInfl_se_dummy	Q02_ProfessionInfl_se	Q02_ProfessionInfl_se_dummy	Q02_SleepHabitsInfl_se	Q02_SleepHabitsInfl_se_dummy	Q02_SocEnvironmentInfl_se	Q02_SocEnvironmentInfl_se_dummy	Q02_SubstanceInfl_se	Q02_SubstanceInfl_se_dummy	Q03_Adolescence_se	Q03_Adolescence_se_dummy	Q03_Child_se	Q03_Child_se_dummy	Q03_MiddleAge_se	Q03_MiddleAge_se_dummy	Q03_OlderAge_se	Q03_OlderAge_se_dummy	Q03_Womb_se	Q03_Womb_se_dummy	Q03_YoungAdult_se	Q03_YoungAdult_se_dummy	Q04_Brain_Disease_se	Q05_AlcoholGen_se	Q05_AlcoholGen_se_dummy	Q05_ExcerciseGen_se	Q05_ExcerciseGen_se_dummy	Q05_HealthyDietGen_se	Q05_HealthyDietGen_se_dummy	Q05_IntellectGen_se	Q05_IntellectGen_se_dummy	Q05_ProtectionGen_se	Q05_ProtectionGen_se_dummy	Q05_RelaxGen_se	Q05_RelaxGen_se_dummy	Q05_SleepGen_se	Q05_SleepGen_se_dummy	Q05_SmokeGen_se	Q05_SmokeGen_se_dummy	Q05_SocialiseGen_se	Q05_SocialiseGen_se_dummy	Q05_SupplementsGen_se	Q05_SupplementsGen_se_dummy	Q05_WorkLifeBalanceGen_se	Q05_WorkLifeBalanceGen_se_dummy	Q06_BrainHealth_Purpose_Spec_se	Q06_ExcercisePurp_se	Q06_ExcercisePurp_se_dummy	Q06_HealthyDietPurp_se	Q06_HealthyDietPurp_se_dummy	Q06_OtherPurp_se	Q06_OtherPurp_se_dummy	Q06_ProtectionPurp_se	Q06_ProtectionPurp_se_dummy	Q06_RelaxPurp_se	Q06_RelaxPurp_se_dummy	Q06_SleepPurp_se	Q06_SleepPurp_se_dummy	Q06_SocialisePurp_se	Q06_SocialisePurp_se_dummy	Q06_SupplementsPurp_se	Q06_SupplementsPurp_se_dummy	Q06_WorkLifeBalancePurp_se	Q06_WorkLifeBalancePurp_se_dummy	Q07_Test_Criteria_se	Q07_Test_Criteria_Spec_se	Q08_Take_Test_se	Q09a_Test_Reason_se	Q09a_Test_Reason_Spec_se	Q09b_Test_Nonpreventable_se	Q09c_No_Test_se	Q09c_OtherReason_Spec_se	Q10_FamilyFriends_se	Q10_FamilyFriends_se_dummy	Q10_Library_se	Q10_Library_se_dummy	Q10_LifestyleChange_se	Q10_LifestyleChange_se_dummy	Q10_Plan_se	Q10_Plan_se_dummy	Q10_ProfessHelp_se	Q10_ProfessHelp_se_dummy	Q10_TestReactionSpec_se	Q11_BrainStimuli_se	Q11_BrainStimuli_se_dummy	Q11_EatHealthy_se	Q11_EatHealthy_se_dummy	Q11_ExcerciseMore_se	Q11_ExcerciseMore_se_dummy	Q11_ImprSleepingHabits_se	Q11_ImprSleepingHabits_se_dummy	Q11_MoreCulture_se	Q11_MoreCulture_se_dummy	Q11_MoreRelax_se	Q11_MoreRelax_se_dummy	Q11_MoreSocial_se	Q11_MoreSocial_se_dummy	Q11_NoAlcohol_se	Q11_NoAlcohol_se_dummy	Q11_NoSmoking_se	Q11_NoSmoking_se_dummy	Q11_OtherChanges_se	Q11_OtherChanges_se_dummy	Q11_OtherChanges_Spec_se	Q12_MotivateChange_Category_se	Q12_OtherChangeMotivation_Spec_se	Q13_NoChange_Motivation_se	Q13_SpecifyNoMotivation_Spec_se	Q14_ChangeAssistance_se	Q14_OtherAssistance_Spec_se	Q15_FreetestAuth_se	Q15_FreetestAuth_se_dummy	Q15_InformAuth_se	Q15_InformAuth_se_dummy	Q15_InsAuth_se	Q15_InsAuth_se_dummy	Q15_RelaxAuth_se	Q15_RelaxAuth_se_dummy	Q15_SubsAuth_se	Q15_SubsAuth_se_dummy	Q15_TaxAuth_se	Q15_TaxAuth_se_dummy	Q16_BrainHealthSpec_se	Q16_BrainHealthSpec_se_dummy	Q16_GP_se	Q16_GP_se_dummy	Q16_HealthAuthWebsites_se	Q16_HealthAuthWebsites_se_dummy	Q16_Newspaper_se	Q16_Newspaper_se_dummy	Q16_OnlineForum_se	Q16_OnlineForum_se_dummy	Q16_PublicResearch_se	Q16_PublicResearch_se_dummy	Q16_ScientificJournals_se	Q16_ScientificJournals_se_dummy	Q16_SocialMedia_se	Q16_SocialMedia_se_dummy	Q16_TVRadio_se	Q16_TVRadio_se_dummy	Q17_BrainResearch_Part_se	Q18_Age_se	Q18_Age_se_dummy	Q19_Residence_se	Q19_Residence_se_dummy	Q20_Sex_se	Q20_Sex_se_dummy	Q21_Education_Coded_se	Q21_Education_Coded_se_dummy	Q22_Relationship_Status_se	Q22_Relationship_Status_se_dummy	Q23_Vocation_categories_se	Q24_Exp_HealthCare_se	Q25_Cognitive_Health_se	Q26_Emotional_Health_se	Q27_Illness_se	Q28_BrainDisease_Care_se
119016	9047117	Consent_Yes_se	Occasionally	Strong	2	Strong	2	Moderate	3	Moderate	3	Strong	2	Moderate	3	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Occasionally	2	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Rarely	3	Frequently	1	NA	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Occasionally	2	Occasionally	2	Occasionally	2	Rarely	3	Frequently	1	SocialSecurity	NA	Probably	Prepare;Respond	NA	ProbablyYes	NA	NA	Likely	2	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NA	NoInfo;NoMotivation	NA	Checkup;GP	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	Yes	26-40	2	Sweden	161	Female	1	GradSchool	5	Divorced	4	Employed;Student	Yes	AboveAverage	AboveAverage	No	No
119016	9044797	Consent_Yes_se	Frequently	NoInfluence	5	Weak	4	Strong	2	NoInfluence	5	Weak	4	NoInfluence	5	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	Moderate	3	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Occasionally	2	Never	4	Rarely	3	Rarely	3	Occasionally	2	Problemlösning i jobbet	Frequently	1	Never	4	Frequently	1	Never	4	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	SocialSecurity	NA	Probably	Information;Respond	NA	ProbablyYes	NA	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	Unlikely	4	Likely	2	Likely	2	Likely	2	Unlikely	4	Likely	2	Unlikely	4	Likely	2	AlreadyDo	3	NA	NA	NA	Diagnose;ImpactKnown;WorseMemory	NA	Alone;NoInfo;NoTime	NA	Checkup;GP;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	NotatAll	3	Neutral	2	NotatAll	3	Neutral	2	Neutral	2	GreatExtent	1	NotatAll	3	Neutral	2	No	26-40	2	Sweden	161	Female	1	GradSchool	5	Unmarried	2	Employed	No	BelowAverage	Average	Yes	No
119016	9035481	Consent_Yes_se	Frequently	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	VeryStrong	1	Moderate	3	VeryStrong	1	Strong	2	Moderate	3	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Important	2	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Never	4	Frequently	1	Frequently	1	Occasionally	2	Bara vara uppskatta livet	Frequently	1	Rarely	3	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Accurate;Cheap	NA	Definitely	Prepare;Respond	NA	DefYes	NA	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	Bli väldigt orolig	AlreadyDo	3	AlreadyDo	3	VeryLikely	1	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	Unlikely	4	AlreadyDo	3	NA	NA	NA	Diagnose;PersonalAdvice;WorseMemory	NA	Alone;GiveupHobby;NoInfo	NA	Checkup;GP;MobileApp	NA	No	2	Yes	1	Yes	1	Yes	1	Unknown	3	No	2	GreatExtent	1	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	No	41-60	3	Sweden	161	Female	1	GradSchool	5	DomesticPartner	3	Employed	No	AboveAverage	AboveAverage	Yes	Yes
119016	9031053	Consent_Yes_se	Frequently	Strong	2	Strong	2	VeryStrong	1	Strong	2	Strong	2	Moderate	3	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	Important	2	Important	2	Important	2	NA	NA	VeryImportant	1	Addiction;Anxiety;Bipolar;Depression;Schizophrenia	Rarely	3	Occasionally	2	Rarely	3	Rarely	3	Rarely	3	Occasionally	2	Never	4	Frequently	1	Never	4	Frequently	1	Never	4	Överleva	Frequently	1	Occasionally	2	NA	NA	Rarely	3	Occasionally	2	Frequently	1	Rarely	3	Frequently	1	Never	4	NoPain;OnlineCriteria;SocialSecurity	NA	Definitely	Information;Respond	NA	ProbablyYes	NA	NA	Likely	2	DefYes	1	NA	NA	NA	NA	NA	NA	NA	Likely	2	Likely	2	AlreadyDo	3	AlreadyDo	3	Unlikely	4	Likely	2	Unlikely	4	AlreadyDo	3	Likely	2	NA	NA	NA	Affordable;ImpactKnown;WorseMemory	NA	Alone;NoInfo;StartNoFun	NA	NA	NA	Yes	1	Yes	1	Yes	1	Yes	1	Unknown	3	Unknown	3	GreatExtent	1	Neutral	2	NotatAll	3	Neutral	2	GreatExtent	1	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	Yes	18-25	1	Sweden	161	Male	2	VocationSchool	4	Single	1	Disabled;Employed	No	BelowAverage	Poor	Yes	Yes
119016	9027906	Consent_Yes_se	Frequently	Strong	2	NoInfluence	5	Weak	4	Moderate	3	Strong	2	Strong	2	VeryStrong	1	Weak	4	Strong	2	Moderate	3	Strong	2	Important	2	Important	2	Important	2	Important	2	Important	2	Important	2	Addiction;Alzheimer;Anxiety;Arthritis;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	4	Frequently	1	Frequently	1	Frequently	1	NA	NA	Frequently	1	Occasionally	2	Frequently	1	Occasionally	2	Frequently	1	NA	NA	Tränar hjärnan specifikt. ex.vis via Lumosity	Occasionally	2	Frequently	1	Frequently	1	NA	NA	Frequently	1	Occasionally	2	NA	NA	Frequently	1	NA	NA	Accurate;SocialSecurity	NA	Definitely	Information;Respond	NA	ProbablyYes	NA	NA	Unlikely	3	Likely	2	DefYes	1	Likely	2	Unlikely	3	NA	AlreadyDo	3	AlreadyDo	3	VeryLikely	1	Likely	2	Likely	2	AlreadyDo	3	Likely	2	AlreadyDo	3	Unlikely	4	NA	NA	NA	Diagnose;ImpactKnown;WorseMemory	NA	NoInfo	NA	Checkup;GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	NA	NA	Neutral	2	Neutral	2	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	No	41-60	3	Sweden	161	Female	1	GradSchool	5	Divorced	4	Disabled	Yes	AboveAverage	BelowAverage	Yes	Yes
119016	9004480	Consent_Yes_se	Frequently	Strong	2	Strong	2	VeryStrong	1	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	4	Occasionally	2	Frequently	1	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Rarely	3	Frequently	1	Never	4	Frequently	1	Äter medicin (levertinacetam)	Occasionally	2	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Never	4	Frequently	1	Accurate;OtherCriteria;SocialSecurity	Lättillgängligt	Definitely	Prepare;Respond	NA	DefYes	NA	NA	Defnot	4	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	Likely	2	VeryLikely	1	VeryLikely	1	AlreadyDo	3	VeryLikely	1	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	ImpactKnown;PersonalAdvice	NA	NoInfo;OtherMotivationNoChange	Dålig fysisk hälsa.	Checkup;GP	NA	Unknown	3	Yes	1	Yes	1	Unknown	3	No	2	Yes	1	GreatExtent	1	NotatAll	3	Neutral	2	NotatAll	3	Neutral	2	Neutral	2	GreatExtent	1	NotatAll	3	NotatAll	3	No	41-60	3	Sweden	161	Female	1	GradSchool	5	DomesticPartner	3	Employed	No	Average	Average	Yes	Yes
119016	8988638	Consent_Yes_se	Frequently	Moderate	3	Moderate	3	Moderate	3	Strong	2	Strong	2	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	Important	2	Important	2	VeryImportant	1	Important	2	Important	2	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Frequently	1	Frequently	1	Rarely	3	Rarely	3	Occasionally	2	Frequently	1	Never	4	Rarely	3	Occasionally	2	Occasionally	2	vistas i naturen	Frequently	1	Rarely	3	Frequently	1	Rarely	3	Occasionally	2	Frequently	1	Rarely	3	Occasionally	2	Occasionally	2	Cheap;SocialSecurity	NA	Definitely	Respond	NA	ProbablyNot	NA	NA	DefYes	1	Likely	2	DefYes	1	Likely	2	DefYes	1	NA	AlreadyDo	3	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	NA	NA	Likely	2	Likely	2	VeryLikely	1	NA	NA	NA	Diagnose;ImpactKnown;WorseMemory	NA	NotHelp	NA	Checkup;GP;SupportFamily	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	NotatAll	3	GreatExtent	1	Neutral	2	NotatAll	3	Neutral	2	No	41-60	3	Sweden	161	Male	2	VocationSchool	4	DomesticPartner	3	Employed	Yes	Average	AboveAverage	No	Yes
119016	8950730	Consent_Yes_se	Frequently	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Frequently	1	Occasionally	2	Occasionally	2	Occasionally	2	Rarely	3	Frequently	1	Rarely	3	Never	4	Rarely	3	Frequently	1	Rarely	3	yoga	Occasionally	2	Occasionally	2	Frequently	1	Rarely	3	Frequently	1	Rarely	3	Rarely	3	Frequently	1	Rarely	3	NoPain;Quick	NA	Definitely	Respond	NA	DefYes	NA	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	AlreadyDo	3	VeryLikely	1	AlreadyDo	3	NA	NA	VeryLikely	1	NA	NA	NA	NA	NA	Diagnose;FamilySupport;PersonalAdvice	NA	Alone;NoMotivation	NA	Checkup;GP;GroupSupport;MobileApp	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Unknown	3	Unknown	3	GreatExtent	1	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	Neutral	2	NA	NA	Yes	71-80	5	Sweden	161	Female	1	GradSchool	5	DomesticPartner	3	Pensioned	No	Average	Poor	No	Yes
119016	8948307	Consent_Yes_se	Occasionally	Weak	4	Strong	2	Strong	2	Moderate	3	Strong	2	Moderate	3	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	Important	2	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Important	2	Addiction;Alzheimer;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Occasionally	2	Occasionally	2	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	Occasionally	2	Frequently	1	Syr, stickar	Rarely	3	Rarely	3	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Frequently	1	Rarely	3	Occasionally	2	Accurate;Cheap;NoPain	NA	Probably	Information;Respond	NA	ProbablyYes	NA	NA	Unlikely	3	Likely	2	DefYes	1	DefYes	1	DefYes	1	NA	Likely	2	VeryLikely	1	VeryLikely	1	AlreadyDo	3	Unlikely	4	AlreadyDo	3	AlreadyDo	3	Likely	2	AlreadyDo	3	NA	NA	NA	ImpactKnown;PersonalAdvice;WorseMemory	NA	NoInfo;NoMotivation;StartNoFun	NA	Checkup;GP;GroupSupport	NA	No	2	Yes	1	Unknown	3	Unknown	3	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	No	61-70	4	Sweden	161	Female	1	GradSchool	5	DomesticPartner	3	Pensioned	No	Excellent	Excellent	No	No
119016	8943595	Consent_Yes_se	Frequently	VeryStrong	1	VeryStrong	1	Moderate	3	Moderate	3	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	NotImportant	4	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Rarely	3	Occasionally	2	NA	Frequently	1	Frequently	1	NA	NA	Frequently	1	Occasionally	2	Occasionally	2	Rarely	3	Rarely	3	Rarely	3	Cheap;OnlineCriteria;SocialSecurity	NA	Probably	Information;Respond	NA	ProbablyYes	NA	NA	Unlikely	3	Likely	2	DefYes	1	Likely	2	Likely	2	NA	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	Likely	2	AlreadyDo	3	VeryLikely	1	NA	NA	NA	Diagnose;ImpactKnown;WorseMemory	NA	NoInfo;NoNeed;NotHelp	NA	Checkup;GP	NA	Unknown	3	Yes	1	Yes	1	Yes	1	Unknown	3	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	No	26-40	2	Sweden	161	Female	1	GradSchool	5	Unmarried	2	Employed	No	Average	Average	No	Yes
