form_id	submission_id	Consent_Form_cat	Q01_Think_Brain_Frequency_cat	Q02_DietInfl_cat	Q02_DietInfl_cat_dummy	Q02_EducationInfl_cat	Q02_EducationInfl_cat_dummy	Q02_GeneticsInfl_cat	Q02_GeneticsInfl_cat_dummy	Q02_IncomeInfl_cat	Q02_IncomeInfl_cat_dummy	Q02_LifeGoalsInfl_cat	Q02_LifeGoalsInfl_cat_dummy	Q02_PhyEnvironmentInfl_cat	Q02_PhyEnvironmentInfl_cat_dummy	Q02_PhyHealthInfl_cat	Q02_PhyHealthInfl_cat_dummy	Q02_ProfessionInfl_cat	Q02_ProfessionInfl_cat_dummy	Q02_SleepHabitsInfl_cat	Q02_SleepHabitsInfl_cat_dummy	Q02_SocEnvironmentInfl_cat	Q02_SocEnvironmentInfl_cat_dummy	Q02_Substance_Infl_cat	Q02_Substance_Infl_cat_dummy	Q03_Adolescence_cat	Q03_Adolescence_cat_dummy	Q03_Child_cat	Q03_Child_cat_dummy	Q03_MiddleAge_cat	Q03_MiddleAge_cat_dummy	Q03_OlderAge_cat	Q03_OlderAge_cat_dummy	Q03_Womb_cat	Q03_Womb_cat_dummy	Q03_YoungAdult_cat	Q03_YoungAdult_cat_dummy	Q04_Brain_Disease_cat	Q05_AlcoholGen_cat	Q05_AlcoholGen_cat_dummy	Q05_ExcerciseGen_cat	Q05_ExcerciseGen_cat_dummy	Q05_HealthyDietGen_cat	Q05_HealthyDietGen_cat_dummy	Q05_IntellectGen_cat	Q05_IntellectGen_cat_dummy	Q05_ProtectionGen_cat	Q05_ProtectionGen_cat_dummy	Q05_RelaxGen_cat	Q05_RelaxGen_cat_dummy	Q05_SleepGen_cat	Q05_SleepGen_cat_dummy	Q05_SmokeGen_cat	Q05_SmokeGen_cat_dummy	Q05_SocialiseGen_cat	Q05_SocialiseGen_cat_dummy	Q05_SupplementsGen_cat	Q05_SupplementsGen_cat_dummy	Q05_WorkLifeBalanceGen_cat	Q05_WorkLifeBalanceGen_cat_dummy	Q06_BrainHealth_Purpose_Spec_cat	Q06_ExcercisePurp_cat	Q06_ExcercisePurp_cat_dummy	Q06_HealthyDietPurp_cat	Q06_HealthyDietPurp_cat_dummy	Q06_ProtectionPurp_cat	Q06_ProtectionPurp_cat_dummy	Q06_RelaxPurp_cat	Q06_RelaxPurp_cat_dummy	Q06_SleepPurp_cat	Q06_SleepPurp_cat_dummy	Q06_SocialisePurp_cat	Q06_SocialisePurp_cat_dummy	Q06_SupplementsPurp_cat	Q06_SupplementsPurp_cat_dummy	Q06_WorkLifeBalancePurp_cat	Q06_WorkLifeBalancePurp_cat_dummy	Q07_Test_Criteria_cat	Q07_Test_Criteria_Spec_cat	Q08_Take_Test_cat	Q09a_Test_Reason_cat	Q09a_Test_Reason_Spec_cat	Q09b_Test_Nonpreventable_cat	Q09c_No_Test_cat	Q09c_OtherReason_Spec_cat	Q10_FamilyFriends_cat	Q10_FamilyFriends_cat_dummy	Q10_Library_cat	Q10_Library_cat_dummy	Q10_LifestyleChange_cat	Q10_LifestyleChange_cat_dummy	Q10_Plan_cat	Q10_Plan_cat_dummy	Q10_ProfessHelp_cat	Q10_ProfessHelp_cat_dummy	Q10_TestReactionSpec_cat	Q11_BrainStimuli_cat	Q11_BrainStimuli_cat_dummy	Q11_EatHealthy_cat	Q11_EatHealthy_cat_dummy	Q11_ExcerciseMore_cat	Q11_ExcerciseMore_cat_dummy	Q11_ImprSleepingHabits_cat	Q11_ImprSleepingHabits_cat_dummy	Q11_MoreCulture_cat	Q11_MoreCulture_cat_dummy	Q11_MoreRelax_cat	Q11_MoreRelax_cat_dummy	Q11_MoreSocial_cat	Q11_MoreSocial_cat_dummy	Q11_NoAlcohol_cat	Q11_NoAlcohol_cat_dummy	Q11_NoSmoking_cat	Q11_NoSmoking_cat_dummy	Q11_OtherChanges_cat	Q11_OtherChanges_cat_dummy	Q11_OtherChanges_Spec_cat	Q12_MotivateChange_Category_cat	Q12_OtherChangeMotivation_Spec_cat	Q13_NoChange_Motivation_cat	Q13_SpecifyNoMotivation_Spec_cat	Q14_ChangeAssistance_cat	Q14_OtherAssistance_Spec_cat	Q15_FreetestAuth_cat	Q15_FreetestAuth_cat_dummy	Q15_InformAuth_cat	Q15_InformAuth_cat_dummy	Q15_InsAuth_cat	Q15_InsAuth_cat_dummy	Q15_RelaxAuth_cat	Q15_RelaxAuth_cat_dummy	Q15_SubsAuth_cat	Q15_SubsAuth_cat_dummy	Q15_TaxAuth_cat	Q15_TaxAuth_cat_dummy	Q16_BrainHealthSpec_cat	Q16_BrainHealthSpec_cat_dummy	Q16_GP_cat	Q16_GP_cat_dummy	Q16_HealthAuthWebsites_cat	Q16_HealthAuthWebsites_cat_dummy	Q16_Newspaper_cat	Q16_Newspaper_cat_dummy	Q16_OnlineForum_cat	Q16_OnlineForum_cat_dummy	Q16_PublicResearch_cat	Q16_PublicResearch_cat_dummy	Q16_ScientificJournals_cat	Q16_ScientificJournals_cat_dummy	Q16_SocialMedia_cat	Q16_SocialMedia_cat_dummy	Q16_TVRadio_cat	Q16_TVRadio_cat_dummy	Q17_BrainResearch_Part_cat	Q18_Age_cat	Q18_Age_cat_dummy	Q19_Residence_cat	Q19_Residence_cat_dummy	Q20_Sex_cat	Q20_Sex_cat_dummy	Q21_Education_Coded_cat	Q21_Education_Coded_cat_dummy	Q22_Relationship_Status_cat	Q22_Relationship_Status_cat_dummy	Q23_Vocation_categories_cat	Q24_Exp_HealthCare_cat	Q26_Cognitive_Health_cat	Q26_Emotional_Health_cat	Q27_Illness_cat	Q28_BrainDisease_Care_cat
119157	9027637	Consent_Yes_cat	Frequently	VeryStrong	1	Strong	2	Strong	2	Strong	2	Strong	2	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	Important	2	VeryImportant	1	VeryImportant	1	Important	2	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Never	4	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Rarely	3	Never	4	Frequently	1	Frequently	1	Occasionally	2	NA	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Accurate;Cheap;SocialSecurity	NA	Definitely	Information;Respond	NA	ProbablyYes	NA	NA	Likely	2	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	NA	Affordable;Diagnose;WorseMemory	NA	NoInfo;NotHelp	NA	Checkup;GP;GroupSupport;MobileApp	NA	Yes	1	No	2	Yes	1	Yes	1	Yes	1	No	2	GreatExtent	1	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	Yes	41-60	3	Spain	53	Male	1	GradSchool	5	Divorced	4	Employed;Student	No	AboveAverage	Average	No	Yes
119157	9027149	Consent_Yes_cat	Occasionally	Strong	2	Strong	2	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Never	4	Frequently	1	Occasionally	2	Frequently	1	NA	Occasionally	2	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Accurate;Cheap;SocialSecurity	NA	Definitely	Information;Respond	NA	DefYes	NA	NA	Likely	2	Likely	2	DefYes	1	DefYes	1	DefYes	1	NA	AlreadyDo	3	AlreadyDo	3	VeryLikely	1	AlreadyDo	3	Likely	2	VeryLikely	1	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	Family;WorseMemory	NA	NoTime	NA	GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	Yes	41-60	3	Spain	53	Male	1	VocationSchool	4	Unmarried	2	Employed;Student	Yes	Excellent	Excellent	No	No
119157	9000911	Consent_Yes_cat	Occasionally	VeryStrong	1	VeryStrong	1	Strong	2	Moderate	3	VeryStrong	1	Moderate	3	VeryStrong	1	Moderate	3	VeryStrong	1	Strong	2	VeryStrong	1	Important	2	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Rarely	3	Frequently	1	Never	4	Rarely	3	Frequently	1	Occasionally	2	Cantar en una coral, fer sudokus, llegir en un altre idioma	Frequently	1	Frequently	1	Frequently	1	Rarely	3	Frequently	1	Rarely	3	Frequently	1	Rarely	3	Accurate;Cheap;NoPain	NA	Definitely	Information;Respond	NA	ProbablyYes	NA	NA	Unlikely	3	Likely	2	DefYes	1	Likely	2	DefYes	1	Gaudir més del moment present	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	Likely	2	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	Family;ImpactKnown;WorseMemory	NA	NotHelp;NoTime;StartNoFun	NA	Checkup;SupportFamily	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	Yes	41-60	3	Spain	53	Male	1	GradSchool	5	DomesticPartner	3	Employed	Yes	AboveAverage	Average	No	No
119157	8969977	Consent_Yes_cat	Occasionally	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Diabetes;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	Frequently	1	Frequently	1	Llegir en diferents idiomes, exercitar la memòria, escoltar música tranquil·la, observar conscientment el paisatge, fer visites i/o activitats culturals, continuar estudiant	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Accurate;NoPain;SocialSecurity	NA	Definitely	Information;Respond	NA	ProbablyYes	NA	NA	Unlikely	3	DefYes	1	DefYes	1	DefYes	1	DefYes	1	Aconsellaria els meus familiars que es fessin la prova	AlreadyDo	3	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	PersonalAdvice;WorseMemory	NA	NoMotivation	NA	Checkup;GP;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	Neutral	2	NotatAll	3	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Yes	41-60	3	Spain	53	Male	1	GradSchool	5	Unmarried	2	Disabled	Yes	AboveAverage	Average	Yes	Yes
119157	8966227	Consent_Yes_cat	Occasionally	Moderate	3	Strong	2	VeryStrong	1	Moderate	3	Strong	2	Strong	2	Moderate	3	Moderate	3	VeryStrong	1	VeryStrong	1	VeryStrong	1	Important	2	VeryImportant	1	ModImportant	3	ModImportant	3	NotImportant	4	ModImportant	3	Alzheimer;Bipolar;Parkinson;Schizophrenia	Rarely	3	Occasionally	2	Frequently	1	Occasionally	2	Frequently	1	Rarely	3	Frequently	1	Never	4	Frequently	1	Never	4	Occasionally	2	NA	Occasionally	2	Frequently	1	Frequently	1	Never	4	Frequently	1	Frequently	1	Never	4	Occasionally	2	NoPain	NA	Definitely	Respond	NA	DefYes	NA	NA	Unlikely	3	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	Likely	2	VeryLikely	1	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	PersonalAdvice;WorseMemory	NA	NoMotivation;NotHelp;StartNoFun	NA	GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	GreatExtent	1	Neutral	2	Neutral	2	Yes	61-70	4	Spain	53	Male	1	GradSchool	5	DomesticPartner	3	Pensioned	No	Average	Average	No	No
119157	8966032	Consent_Yes_cat	Frequently	Strong	2	Moderate	3	Weak	4	Moderate	3	Strong	2	Strong	2	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	Never	4	Frequently	1	Frequently	1	Frequently	1	NA	Never	4	Never	4	Frequently	1	Never	4	Frequently	1	Occasionally	2	Never	4	Frequently	1	Accurate;NoPain;SocialSecurity	NA	Definitely	Respond	NA	ProbablyNot	NA	NA	Defnot	4	DefYes	1	DefYes	1	Likely	2	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	NA	Diagnose;ImpactKnown;PersonalAdvice	NA	Expensive;NoInfo;NoMotivation	NA	Checkup;GP;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	Yes	41-60	3	Spain	53	Male	1	GradSchool	5	Unmarried	2	Employed	No	Average	Average	No	Yes
119157	8961884	Consent_Yes_cat	Frequently	Strong	2	Moderate	3	VeryStrong	1	Weak	4	Moderate	3	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	4	Frequently	1	Frequently	1	Frequently	1	Rarely	3	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Never	4	Rarely	3	NA	Occasionally	2	Occasionally	2	Never	4	Rarely	3	Rarely	3	Rarely	3	Never	4	Rarely	3	NoPain;OnlineCriteria;SocialSecurity	NA	Definitely	Prepare;Respond	NA	DefYes	NA	NA	Unlikely	3	Unlikely	3	Likely	2	DefYes	1	DefYes	1	NA	Likely	2	AlreadyDo	3	AlreadyDo	3	VeryLikely	1	AlreadyDo	3	Likely	2	Unlikely	4	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	Diagnose;Family;WorseMemory	NA	Expensive;GiveupHobby;NoMotivation	NA	GP;SupportFamily	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	GreatExtent	1	Neutral	2	NotatAll	3	Neutral	2	Yes	41-60	3	Spain	53	Male	1	GradSchool	5	Single	1	Employed	No	BelowAverage	BelowAverage	Yes	Yes
119157	8959120	Consent_Yes_cat	Frequently	Strong	2	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia	Occasionally	2	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	Frequently	1	Frequently	1	Relativitzar els problemes, no tenir pensaments d odi... negatius	NA	NA	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Cheap;NoPain;OnlineCriteria	NA	Definitely	Information;Respond	NA	DefYes	NA	NA	Defnot	4	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	NA	NA	Natura	Diagnose;PersonalAdvice;WorseMemory	NA	Alone;Expensive;GiveupHobby	NA	Checkup;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Neutral	2	NotatAll	3	Neutral	2	GreatExtent	1	Neutral	2	GreatExtent	1	GreatExtent	1	Neutral	2	NotatAll	3	Yes	41-60	3	Spain	53	Male	1	GradSchool	5	Single	1	Employed	Yes	Excellent	Excellent	No	No
119157	8958792	Consent_Yes_cat	Occasionally	Strong	2	Moderate	3	Strong	2	Moderate	3	Moderate	3	VeryStrong	1	Strong	2	Moderate	3	Strong	2	Moderate	3	Strong	2	VeryImportant	1	VeryImportant	1	Important	2	VeryImportant	1	Important	2	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	Occasionally	2	Frequently	1	Frequently	1	Rarely	3	Occasionally	2	NA	Frequently	1	Frequently	1	Never	4	Frequently	1	Occasionally	2	Frequently	1	Never	4	Occasionally	2	Accurate;SocialSecurity	NA	Definitely	LearnRisk;Prepare	NA	DefYes	NA	NA	Unlikely	3	Likely	2	DefYes	1	Likely	2	Likely	2	NA	Likely	2	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	Unlikely	4	AlreadyDo	3	Likely	2	Likely	2	NA	Diagnose;WorseMemory	NA	Expensive	NA	Checkup	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	Yes	61-70	4	Spain	53	Male	1	HighSchool	3	Widowed	5	Pensioned	No	Average	AboveAverage	No	Yes
119157	8957550	Consent_Yes_cat	Frequently	VeryStrong	1	VeryStrong	1	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Never	4	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Never	4	Occasionally	2	Intentar aprendre anglès, llegir, moure’m...	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Accurate;Cheap;SocialSecurity	NA	Definitely	Prepare;Respond	NA	ProbablyYes	NA	NA	DefYes	1	DefYes	1	DefYes	1	Likely	2	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	Likely	2	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose;WorseMemory	NA	OtherMotivationNoChange	Intententaria canviar el que fos necessari	Checkup;GP;MobileApp;SupportFamily	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Yes	61-70	4	Spain	53	Male	1	GradSchool	5	DomesticPartner	3	Pensioned	No	Average	AboveAverage	No	Yes
