form_id	submission_id	Consent_Form_en	Q01_Think_Brain_Frequency_en	Q02_DietInfl_en	Q02_DietInfl_en_dummy	Q02_EducationInfl_en	Q02_EducationInfl_en_dummy	Q02_GeneticsInfl_en	Q02_GeneticsInfl_en_dummy	Q02_IncomeInfl_en	Q02_IncomeInfl_en_dummy	Q02_LifeGoalsInfl_en	Q02_LifeGoalsInfl_en_dummy	Q02_PhyEnvironmentInfl_en	Q02_PhyEnvironmentInfl_en_dummy	Q02_PhyHealthInfl_en	Q02_PhyHealthInfl_en_dummy	Q02_ProfessionInfl_en	Q02_ProfessionInfl_en_dummy	Q02_SleepHabitsInfl_en	Q02_SleepHabitsInfl_en_dummy	Q02_SocEnvironmentInfl_en	Q02_SocEnvironmentInfl_en_dummy	Q02_SubstanceInfl_en	Q02_SubstanceInfl_en_dummy	Q03_Adolescence_en	Q03_Adolescence_en_dummy	Q03_Child_en	Q03_Child_en_dummy	Q03_MiddleAge_en	Q03_MiddleAge_en_dummy	Q03_OlderAge_en	Q03_OlderAge_en_dummy	Q03_Womb_en	Q03_Womb_en_dummy	Q03_YoungAdult_en	Q03_YoungAdult_en_dummy	Q04_Brain_Disease_en	Q05_AlcoholGen_en	Q05_AlcoholGen_en_dummy	Q05_ExcerciseGen_en	Q05_ExcerciseGen_en_dummy	Q05_HealthyDietGen_en	Q05_HealthyDietGen_en_dummy	Q05_IntellectGen_en	Q05_IntellectGen_en_dummy	Q05_ProtectionGen_en	Q05_ProtectionGen_en_dummy	Q05_RelaxGen_en	Q05_RelaxGen_en_dummy	Q05_SleepGen_en	Q05_SleepGen_en_dummy	Q05_SmokeGen_en	Q05_SmokeGen_en_dummy	Q05_SocialiseGen_en	Q05_SocialiseGen_en_dummy	Q05_SupplementsGen_en	Q05_SupplementsGen_en_dummy	Q05_WorkLifeBalanceGen_en	Q05_WorkLifeBalanceGen_en_dummy	Q06_BrainHealth_Purpose_Spec_en	Q06_ExcercisePurp_en	Q06_ExcercisePurp_en_dummy	Q06_HealthyDietPurp_en	Q06_HealthyDietPurp_en_dummy	Q06_OtherPurp_en	Q06_OtherPurp_en_dummy	Q06_ProtectionPurp_en	Q06_ProtectionPurp_en_dummy	Q06_RelaxPurp_en	Q06_RelaxPurp_en_dummy	Q06_SleepPurp_en	Q06_SleepPurp_en_dummy	Q06_SocialisePurp_en	Q06_SocialisePurp_en_dummy	Q06_SupplementsPurp_en	Q06_SupplementsPurp_en_dummy	Q06_WorkLifeBalancePurp_en	Q06_WorkLifeBalancePurp_en_dummy	Q07_Test_Criteria_en	Q07_Test_Criteria_Spec_en	Q08_Take_Test_en	Q09a_Test_Reason_en	Q09a_Test_Reason_Spec_en	Q09b_Test_Nonpreventable_en	Q09c_No_Test_en	Q09c_OtherReason_Spec_en	Q10_FamilyFriends_en	Q10_FamilyFriends_en_dummy	Q10_Library_en	Q10_Library_en_dummy	Q10_LifestyleChange_en	Q10_LifestyleChange_en_dummy	Q10_Plan_en	Q10_Plan_en_dummy	Q10_ProfessHelp_en	Q10_ProfessHelp_en_dummy	Q10_TestReactionSpec_en	Q11_BrainStimuli_en	Q11_BrainStimuli_en_dummy	Q11_EatHealthy_en	Q11_EatHealthy_en_dummy	Q11_ExcerciseMore_en	Q11_ExcerciseMore_en_dummy	Q11_ImprSleepingHabits_en	Q11_ImprSleepingHabits_en_dummy	Q11_MoreCulture_en	Q11_MoreCulture_en_dummy	Q11_MoreRelax_en	Q11_MoreRelax_en_dummy	Q11_MoreSocial_en	Q11_MoreSocial_en_dummy	Q11_NoAlcohol_en	Q11_NoAlcohol_en_dummy	Q11_NoSmoking_en	Q11_NoSmoking_en_dummy	Q11_OtherChanges_en	Q11_OtherChanges_en_dummy	Q11_OtherChanges_Spec_en	Q12_MotivateChange_Category_en	Q12_OtherChangeMotivation_Spec_en	Q13_NoChange_Motivation_en	Q13_SpecifyNoMotivation_Spec_en	Q14_ChangeAssistance_en	Q14_OtherAssistance_Spec_en	Q15_FreetestAuth_en	Q15_FreetestAuth_en_dummy	Q15_InformAuth_en	Q15_InformAuth_en_dummy	Q15_InsAuth_en	Q15_InsAuth_en_dummy	Q15_RelaxAuth_en	Q15_RelaxAuth_en_dummy	Q15_SubsAuth_en	Q15_SubsAuth_en_dummy	Q15_TaxAuth_en	Q15_TaxAuth_en_dummy	Q16_BrainHealthSpec_en	Q16_BrainHealthSpec_en_dummy	Q16_GP_en	Q16_GP_en_dummy	Q16_HealthAuthWebsites_en	Q16_HealthAuthWebsites_en_dummy	Q16_Newspaper_en	Q16_Newspaper_en_dummy	Q16_OnlineForum_en	Q16_OnlineForum_en_dummy	Q16_PublicResearch_en	Q16_PublicResearch_en_dummy	Q16_ScientificJournals_en	Q16_ScientificJournals_en_dummy	Q16_SocialMedia_en	Q16_SocialMedia_en_dummy	Q16_TVRadio_en	Q16_TVRadio_en_dummy	Q17_BrainResearch_Part_en	Q18_Age_en	Q18_Age_en_dummy	Q19_Residence_en	Q19_Residence_en_dummy	Q20_Sex_en	Q20_Sex_en_dummy	Q21_Education_Coded_en	Q21_Education_Coded_en_dummy	Q22_Relationship_Status_en	Q22_Relationship_Status_en_dummy	Q23_Vocation_categories_en	Q24_Exp_HealthCare_en	Q25_Cognitive_Health_en	Q26_Emotional_Health_en	Q27_Illness_en	Q28_BrainDisease_Care_en
123887	8940412	Consent_Yes_en	Frequently	VeryStrong	1	Moderate	3	Moderate	3	Moderate	3	Strong	2	VeryStrong	1	VeryStrong	1	Moderate	3	Strong	2	VeryStrong	1	VeryStrong	1	VeryImportant	1	Important	2	VeryImportant	1	VeryImportant	1	Important	2	VeryImportant	1	Alzheimer;Bipolar;Schizophrenia	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	Never	4	Frequently	1	Meditazione	Frequently	1	Frequently	1	NA	NA	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Never	4	Frequently	1	Accurate;OnlineCriteria	NA	ProbablyNot	NA	NA	NA	Worry	NA	Unlikely	3	Likely	2	DefYes	1	Unlikely	3	Unlikely	3	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	NA	NA	NA	Diagnose;WorseMemory	NA	NoInfo	NA	GP;SupportFamily	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	No	41-60	3	Italy	82	Female	1	HighSchool	3	DomesticPartner	3	Stay-at-home;Student	Yes	Average	AboveAverage	No	No
123887	8847798	Consent_Yes_en	Occasionally	Strong	2	Moderate	3	Strong	2	Weak	4	Moderate	3	VeryStrong	1	Moderate	3	Moderate	3	VeryStrong	1	Moderate	3	VeryStrong	1	Important	2	ModImportant	3	VeryImportant	1	VeryImportant	1	ModImportant	3	ModImportant	3	Addiction;Alzheimer;Anxiety;Depression;Hypertension;Parkinson;Schizophrenia;Stroke	Never	4	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Never	4	Rarely	3	Never	4	Frequently	1	Never	4	Rarely	3	Respirazione	Frequently	1	Occasionally	2	Frequently	1	Frequently	1	Never	4	Rarely	3	Frequently	1	Frequently	1	Occasionally	2	Accurate;OnlineCriteria;Quick	NA	Definitely	Information;Respond	NA	DefNot	NA	NA	Unlikely	3	Likely	2	DefYes	1	DefYes	1	DefYes	1	Respiration	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	AlreadyDo	3	NA	Diagnose;ImpactKnown;WorseMemory	NA	OtherMotivationNoChange	Farei quello che è becessario	GP;GroupSupport;MobileApp	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	GreatExtent	1	NotatAll	3	NotatAll	3	NotatAll	3	NotatAll	3	GreatExtent	1	Neutral	2	NotatAll	3	Neutral	2	No	71-80	5	Italy	82	Male	2	VocationSchool	4	DomesticPartner	3	Pensioned	No	Average	AboveAverage	Yes	No
123887	8845355	Consent_Yes_en	Frequently	VeryStrong	1	Moderate	3	Strong	2	Moderate	3	Moderate	3	VeryStrong	1	Strong	2	Moderate	3	VeryStrong	1	Strong	2	VeryStrong	1	Important	2	Important	2	VeryImportant	1	VeryImportant	1	VeryImportant	1	Important	2	Alzheimer;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Occasionally	2	Never	4	Frequently	1	Occasionally	2	Frequently	1	Leggere	Occasionally	2	Frequently	1	Frequently	1	Never	4	Rarely	3	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Accurate;Cheap;NoPain	NA	Definitely	LearnRisk;Respond	NA	DefYes	NA	NA	Likely	2	Unlikely	3	DefYes	1	DefYes	1	DefYes	1	NA	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Unlikely	4	VeryLikely	1	VeryLikely	1	AlreadyDo	3	NA	NA	NA	Diagnose	NA	NoInfo	NA	GP;SupportFamily	NA	Yes	1	Yes	1	No	2	Unknown	3	Yes	1	No	2	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	Neutral	2	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	No	41-60	3	Italy	82	Female	1	GradSchool	5	DomesticPartner	3	Employed	No	Average	Average	No	No
123887	8845225	Consent_Yes_en	Occasionally	VeryStrong	1	Moderate	3	Weak	4	Strong	2	Moderate	3	Weak	4	Strong	2	Moderate	3	Strong	2	Strong	2	NoInfluence	5	VeryImportant	1	ModImportant	3	VeryImportant	1	VeryImportant	1	NotImportant	4	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Occasionally	2	Occasionally	2	Frequently	1	Rarely	3	Never	4	Occasionally	2	Frequently	1	Never	4	Occasionally	2	Never	4	Frequently	1	Ascoltare musica	Occasionally	2	Occasionally	2	NA	NA	Never	4	Occasionally	2	Frequently	1	Occasionally	2	Never	4	Occasionally	2	Cheap;NoPain;Quick	NA	ProbablyNot	NA	NA	NA	Worry	NA	Defnot	4	Likely	2	DefYes	1	DefYes	1	DefYes	1	NA	AlreadyDo	3	VeryLikely	1	VeryLikely	1	AlreadyDo	3	Likely	2	AlreadyDo	3	Likely	2	VeryLikely	1	AlreadyDo	3	NA	NA	NA	Fun;PersonalAdvice;WorseMemory	NA	NoMotivation;NotHelp;NoTime	NA	GP	NA	Yes	1	Yes	1	Yes	1	Yes	1	Yes	1	No	2	GreatExtent	1	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	No	26-40	2	Italy	82	Female	1	GradSchool	5	DomesticPartner	3	Employed	Yes	Average	BelowAverage	No	No
123887	8844605	Consent_Yes_en	Occasionally	Strong	2	Moderate	3	Strong	2	Moderate	3	Strong	2	Strong	2	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	VeryStrong	1	VeryImportant	1	Important	2	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Frequently	1	Occasionally	2	Occasionally	2	Occasionally	2	Rarely	3	Never	4	Occasionally	2	Never	4	Rarely	3	Never	4	Frequently	1	NA	Never	4	Never	4	Never	4	Rarely	3	Never	4	Never	4	Rarely	3	Never	4	Never	4	Accurate;Cheap;OnlineCriteria	NA	Definitely	Information;Respond	NA	DefYes	NA	NA	Unlikely	3	Unlikely	3	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	Likely	2	Likely	2	AlreadyDo	3	AlreadyDo	3	NA	Diagnose;PersonalAdvice;WorseMemory	NA	NoInfo;NoMotivation	NA	Checkup;GP;SupportFamily	NA	Yes	1	Yes	1	No	2	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	Neutral	2	Neutral	2	NotatAll	3	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	No	26-40	2	Italy	82	Female	1	SpecialSchool	2	Unmarried	2	Employed	Yes	Average	Average	No	Yes
123887	8844592	Consent_Yes_en	Frequently	Strong	2	Weak	4	Strong	2	Moderate	3	VeryStrong	1	VeryStrong	1	Strong	2	Moderate	3	VeryStrong	1	VeryStrong	1	VeryStrong	1	Important	2	VeryImportant	1	Important	2	Important	2	NotImportant	4	Important	2	Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Parkinson;Schizophrenia	Never	4	Rarely	3	Never	4	Never	4	Never	4	Never	4	Frequently	1	Never	4	Frequently	1	Never	4	Rarely	3	NA	Never	4	Never	4	Frequently	1	Rarely	3	Rarely	3	Frequently	1	Frequently	1	Never	4	Rarely	3	Cheap;NoPain;Quick	NA	Definitely	Prepare	NA	DefNot	NA	NA	Unlikely	3	Unlikely	3	Defnot	4	Likely	2	Likely	2	NA	Likely	2	Likely	2	Likely	2	AlreadyDo	3	VeryLikely	1	NotAtAll	5	VeryLikely	1	Likely	2	AlreadyDo	3	VeryLikely	1	NA	Diagnose;Family;WorseMemory	NA	GiveupHobby;NoMotivation;NoTime	NA	GP;GroupSupport;SupportFamily	NA	Unknown	3	Yes	1	Unknown	3	No	2	No	2	Yes	1	Neutral	2	GreatExtent	1	NotatAll	3	NotatAll	3	NotatAll	3	GreatExtent	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	Yes	41-60	3	Italy	82	Female	1	VocationSchool	4	DomesticPartner	3	Unemployed	No	Average	Average	No	No
123887	8844107	Consent_Yes_en	Frequently	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	Strong	2	VeryStrong	1	Moderate	3	VeryStrong	1	VeryStrong	1	VeryStrong	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Important	2	VeryImportant	1	Addiction;Alzheimer;Anxiety;Depression;Diabetes;Hypertension;Parkinson;Stroke	Rarely	3	Frequently	1	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Never	4	Frequently	1	Frequently	1	Frequently	1	ginnastica mentale	Frequently	1	Frequently	1	Frequently	1	Occasionally	2	Frequently	1	Occasionally	2	Frequently	1	Frequently	1	Frequently	1	Accurate;OnlineCriteria;SocialSecurity	NA	Definitely	Respond	NA	ProbablyNot	NA	NA	DefYes	1	DefYes	1	DefYes	1	DefYes	1	DefYes	1	NA	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	AlreadyDo	3	VeryLikely	1	AlreadyDo	3	VeryLikely	1	AlreadyDo	3	NA	NA	NA	Diagnose;Family;WorseMemory	NA	GiveupHobby;NotHelp	NA	SupportFamily	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	Neutral	2	NotatAll	3	NotatAll	3	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	No	61-70	4	Italy	82	Female	1	VocationSchool	4	DomesticPartner	3	Employed	No	Average	AboveAverage	No	Yes
123887	8843538	Consent_Yes_en	Frequently	Moderate	3	Strong	2	Moderate	3	Moderate	3	Strong	2	VeryStrong	1	Strong	2	Moderate	3	VeryStrong	1	VeryStrong	1	VeryStrong	1	Important	2	VeryImportant	1	Important	2	VeryImportant	1	ModImportant	3	Important	2	Addiction;Alzheimer;Anxiety;Bipolar;Cancer;Depression;Migraine;Schizophrenia;Stroke	Frequently	1	Never	4	Rarely	3	Frequently	1	Never	4	Rarely	3	Occasionally	2	Never	4	Rarely	3	Occasionally	2	Occasionally	2	NA	Never	4	Rarely	3	NA	NA	Never	4	Rarely	3	Occasionally	2	Occasionally	2	Occasionally	2	Rarely	3	Cheap;NoPain	NA	Probably	LearnRisk;Respond	NA	ProbablyNot	NA	NA	Unlikely	3	Likely	2	Likely	2	Likely	2	DefYes	1	NA	VeryLikely	1	Likely	2	Likely	2	AlreadyDo	3	VeryLikely	1	Likely	2	Likely	2	Likely	2	AlreadyDo	3	NA	NA	NA	Diagnose;WorseMemory	NA	GiveupHobby;NoMotivation;NotHelp	NA	GP;SupportFamily	NA	Yes	1	Yes	1	Unknown	3	Yes	1	Yes	1	No	2	GreatExtent	1	GreatExtent	1	Neutral	2	NotatAll	3	Neutral	2	Neutral	2	GreatExtent	1	NotatAll	3	NotatAll	3	No	41-60	3	Italy	82	Female	1	GradSchool	5	DomesticPartner	3	Employed	Yes	Average	Poor	No	No
123887	8843340	Consent_Yes_en	Occasionally	Strong	2	Strong	2	VeryStrong	1	Strong	2	Strong	2	VeryStrong	1	VeryStrong	1	Strong	2	Strong	2	NA	NA	VeryStrong	1	VeryImportant	1	Important	2	Important	2	Important	2	Important	2	VeryImportant	1	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Hypertension;Migraine;Parkinson;Schizophrenia	Never	4	Occasionally	2	Frequently	1	Occasionally	2	Frequently	1	Occasionally	2	Occasionally	2	Never	4	Occasionally	2	Frequently	1	Occasionally	2	NA	Occasionally	2	Occasionally	2	NA	NA	Occasionally	2	Occasionally	2	Occasionally	2	Occasionally	2	Occasionally	2	Occasionally	2	Accurate;Cheap;NoPain	NA	Probably	Respond	NA	ProbablyNot	NA	NA	Likely	2	Likely	2	DefYes	1	Likely	2	DefYes	1	NA	Likely	2	AlreadyDo	3	Likely	2	AlreadyDo	3	AlreadyDo	3	AlreadyDo	3	Likely	2	AlreadyDo	3	AlreadyDo	3	NA	NA	NA	Affordable;Family;PersonalAdvice	NA	Expensive;NoInfo	NA	GP;GroupSupport	NA	Unknown	3	Unknown	3	Yes	1	Yes	1	Yes	1	Unknown	3	Neutral	2	Neutral	2	NotatAll	3	NotatAll	3	Neutral	2	NotatAll	3	Neutral	2	NotatAll	3	NotatAll	3	No	41-60	3	Italy	82	Unknown	4	VocationSchool	4	Unmarried	2	Employed;Volunteer-work	Yes	Average	AboveAverage	Yes	No
123887	8842821	Consent_Yes_en	Frequently	VeryStrong	1	Moderate	3	Strong	2	NoInfluence	5	Strong	2	Moderate	3	VeryStrong	1	Moderate	3	Strong	2	Moderate	3	VeryStrong	1	Important	2	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	VeryImportant	1	Alzheimer;Bipolar;Cancer;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	3	Frequently	1	Frequently	1	Frequently	1	Never	4	Occasionally	2	Rarely	3	Rarely	3	Frequently	1	Rarely	3	Occasionally	2	NA	Frequently	1	Frequently	1	NA	NA	Never	4	Occasionally	2	Rarely	3	Frequently	1	Never	4	Occasionally	2	Accurate;Cheap;SocialSecurity	NA	ProbablyNot	NA	NA	NA	Worry	NA	Unlikely	3	Likely	2	DefYes	1	Unlikely	3	DefYes	1	Cercherei nella mia vita le abitudini che la possano favorire	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	VeryLikely	1	Likely	2	VeryLikely	1	VeryLikely	1	VeryLikely	1	NA	NA	NA	Diagnose;WorseMemory	NA	GiveupHobby	NA	Checkup;GP;SupportFamily	NA	Unknown	3	Yes	1	Unknown	3	Yes	1	Yes	1	Yes	1	GreatExtent	1	GreatExtent	1	GreatExtent	1	NotatAll	3	Neutral	2	Neutral	2	GreatExtent	1	NotatAll	3	NotatAll	3	No	26-40	2	Italy	82	Female	1	GradSchool	5	Unmarried	2	Unemployed	No	Average	Excellent	No	No
